AVERAGE     ERRORE: 
181.123           0
180.664    0.458971
180.75    0.278726
180.685    0.207666
180.761    0.178137
180.704    0.156422
180.862    0.206252
180.861    0.178623
180.834    0.159822
180.755    0.163414
180.756    0.147823
180.819     0.14857
180.775    0.143573
180.772    0.132946
180.734    0.129571
180.711    0.123218
180.687    0.118239
180.648    0.118187
180.674    0.114808
180.704    0.112941
180.74    0.113271
180.756    0.109124
180.773    0.105735
180.743    0.105547
180.759    0.102462
180.773    0.099487
180.79   0.0972146
180.804   0.0947098
180.852    0.102851
180.826    0.102702
180.827   0.0993458
180.814   0.0971386
180.827   0.0951542
180.81    0.094016
180.805   0.0913922
180.796   0.0892658
180.807   0.0875038
180.825    0.087042
180.802   0.0878583
180.8   0.0856517
180.812   0.0843266
180.811   0.0823053
180.787   0.0838234
180.81   0.0850911
180.816   0.0834227
180.811   0.0817347
180.81   0.0799896
180.808   0.0783372
180.804   0.0768317
180.81   0.0755939
180.792   0.0763958
180.788   0.0750075
180.786   0.0736157
180.784   0.0722718
180.776   0.0713557
180.772    0.070168
180.765   0.0693527
180.759   0.0684055
180.756   0.0673062
180.756   0.0661753
180.753   0.0651246
180.751   0.0640957
180.751   0.0630703
180.752   0.0620876
180.745   0.0615308
180.747   0.0606263
180.759   0.0607925
180.767   0.0604517
180.769   0.0596186
180.761   0.0593493
180.767   0.0588099
180.766   0.0579935
180.767   0.0572032
180.763    0.056585
180.757   0.0560976
180.76   0.0554161
180.764      0.0548
180.777   0.0558303
180.78   0.0551906
180.77   0.0553988
180.772   0.0547303
180.771   0.0540685
180.771   0.0534138
180.777   0.0530833
180.77   0.0528307
180.76   0.0532962
180.76   0.0526849
180.762   0.0521225
180.761   0.0515514
180.762    0.050982
180.76   0.0504458
180.762    0.049927
180.765   0.0494572
180.767   0.0489934
180.768   0.0484793
180.775   0.0485145
180.778   0.0480983
180.769   0.0483701
180.772   0.0479731
180.777    0.047739
