AVERAGE     ERRORE: 
-0.237236           0
-0.245651  0.00841444
-0.242639  0.00571619
-0.241445  0.00421451
-0.23961  0.00374482
-0.240408  0.00316011
-0.240042  0.00269575
-0.23999  0.00233519
-0.240329  0.00208731
-0.240669  0.00189758
-0.240754  0.00171853
-0.240242  0.00165029
-0.239427  0.00172306
-0.239335   0.0015979
-0.239596   0.0015104
-0.240387  0.00161922
-0.240026  0.00156334
-0.240564   0.0015689
-0.240883  0.00151811
-0.24124  0.00148365
-0.241152  0.00141398
-0.241803  0.00149714
-0.242129  0.00146732
-0.242375  0.00142621
-0.242875  0.00145659
-0.242467  0.00145791
-0.242641  0.00141361
-0.242615  0.00136242
-0.242843  0.00133419
-0.242671  0.00130038
-0.243006  0.00130155
-0.243167  0.00127048
-0.243138  0.00123173
-0.243319  0.00120863
-0.24325  0.00117564
-0.243375  0.00114941
-0.243231  0.00112723
-0.243173  0.00109867
-0.243137  0.00107073
-0.243329  0.00106101
-0.243284  0.00103576
-0.243306  0.00101104
-0.243689  0.00105893
-0.243614  0.00103729
-0.243727  0.00102027
-0.243443  0.00103766
-0.243541  0.00102005
-0.243525  0.00099869
-0.243503 0.000978353
-0.243729 0.000984863
-0.243861 0.000974305
-0.243981 0.000962894
-0.243977 0.000944556
-0.244067 0.000931171
-0.243894 0.000930198
-0.244017 0.000921615
-0.243917 0.000910777
-0.243837  0.00089846
-0.243949 0.000890134
-0.243781 0.000891245
-0.243736 0.000877667
-0.243712 0.000863724
-0.243877  0.00086591
-0.24392 0.000853349
-0.243955 0.000840822
-0.244046 0.000833028
-0.244006 0.000821502
-0.244024 0.000809532
-0.244067 0.000798904
-0.24413 0.000789925
-0.244181 0.000780341
-0.244177 0.000769433
-0.244219 0.000759964
-0.244238  0.00074987
-0.244259 0.000740102
-0.244213 0.000731775
-0.244308 0.000728477
-0.244298 0.000719153
-0.244377 0.000714396
-0.244279 0.000712155
-0.244306 0.000703822
-0.244287 0.000695438
-0.244298 0.000687095
-0.244343 0.000680327
-0.244347 0.000672291
-0.244418   0.0006682
-0.244375 0.000661859
-0.244404 0.000654903
-0.244396 0.000647554
-0.244336 0.000643053
-0.244337 0.000635948
-0.244219 0.000639938
-0.244216 0.000633024
-0.244176 0.000627553
-0.244163 0.000621052
-0.244181 0.000614833
-0.244182 0.000608461
-0.244051  0.00061629
-0.243995 0.000612527
-0.244012 0.000606598
