AVERAGE     ERRORE: 
0.698477           0
0.709033   0.0105558
0.70503  0.00729171
0.720583   0.0163858
0.719196   0.0127679
0.709566   0.0141922
0.713479   0.0126168
0.71079   0.0112525
0.705   0.0114893
0.706828   0.0104376
0.703965  0.00986569
0.70278  0.00908371
0.702893  0.00835657
0.704574  0.00791712
0.70381  0.00740996
0.708611  0.00843197
0.708269  0.00792784
0.709153  0.00752648
0.710522  0.00724978
0.710592   0.0068781
0.710346    0.006547
0.709775  0.00626833
0.710873  0.00608941
0.710964  0.00583087
0.711686  0.00563921
0.711529  0.00542026
0.712189  0.00525729
0.714823  0.00570995
0.712585  0.00594665
0.711962  0.00577869
0.71293  0.00567231
0.714283  0.00565633
0.713407  0.00555171
0.712982  0.00540274
0.713646  0.00528803
0.713755  0.00514019
0.713166  0.00503386
0.712955  0.00490415
0.712407  0.00480813
0.712916  0.00471403
0.712954  0.00459777
0.712928  0.00448704
0.713  0.00438205
0.712478  0.00431302
0.712914  0.00423858
0.712004  0.00424407
0.712154  0.00415548
0.712481  0.00408112
0.712534  0.00399731
0.712943  0.00393787
0.712957  0.00385991
0.713619  0.00384224
0.713627  0.00376906
0.713133  0.00373145
0.712926  0.00366883
0.713431    0.003638
0.713253  0.00357804
0.712011  0.00372872
0.711455  0.00370691
0.712099  0.00370103
0.711782  0.00365362
0.711657  0.00359638
0.711099  0.00358259
0.710949  0.00352935
0.7103  0.00353475
0.710202  0.00348216
0.710542  0.00344657
0.711252  0.00346894
0.710721   0.0034592
0.711004  0.00342112
0.710899  0.00337424
0.711214  0.00334196
0.710917  0.00330923
0.710495  0.00329142
0.710574   0.0032482
0.710676  0.00320681
0.709768  0.00329266
0.709945  0.00325498
0.709572  0.00323505
0.709899  0.00321103
0.709422  0.00320677
0.709383  0.00316766
0.709486  0.00313093
0.708826  0.00316304
0.708794  0.00312576
0.708769   0.0030893
0.709149  0.00307718
0.7084  0.00313279
0.708448  0.00309775
0.708304  0.00306651
0.708408   0.0030344
0.707999  0.00302888
0.708162  0.00300055
0.708376  0.00297618
0.708301  0.00294564
0.708251  0.00291522
0.708606  0.00290679
0.708213  0.00290382
0.708022  0.00288063
0.707712  0.00286847
