AVERAGE     ERRORE: 
0.732345           0
0.725584  0.00676067
0.733164   0.0085264
0.731656    0.006215
0.732895  0.00497104
0.733942   0.0041918
0.732808  0.00371982
0.735032  0.00391435
0.737343  0.00415441
0.736837  0.00375017
0.737007  0.00339645
0.736786  0.00310842
0.736682   0.0028612
0.736718   0.0026492
0.737381   0.0025536
0.735557  0.00300545
0.73635  0.00293236
0.736719  0.00278928
0.736145   0.0027001
0.735261  0.00270981
0.735362  0.00257953
0.735625  0.00247342
0.734889  0.00247535
0.735605  0.00247576
0.735861  0.00238841
0.735861  0.00229471
0.735897  0.00220838
0.735194  0.00224135
0.735866  0.00226481
0.735407  0.00223567
0.734807  0.00224409
0.734431  0.00220511
0.734158  0.00215457
0.734495  0.00211717
0.734546  0.00205642
0.734098  0.00204798
0.73403    0.001993
0.734133  0.00194255
0.734271  0.00189709
0.734232  0.00184946
0.733886   0.0018366
0.733953  0.00179356
0.734024  0.00175282
0.734342   0.0017418
0.734227  0.00170656
0.734617  0.00171409
0.734429  0.00168779
0.734441   0.0016523
0.734269  0.00162735
0.734227  0.00159502
0.734495  0.00158629
0.734234   0.0015773
0.734262   0.0015475
0.7343  0.00151905
0.734462  0.00150003
0.734435  0.00147326
0.73456  0.00145256
0.734572  0.00142735
0.734902  0.00144129
0.73484  0.00141839
0.734838  0.00139495
0.734565  0.00139925
0.734974  0.00143648
0.734959  0.00141394
0.735228  0.00141771
0.735284   0.0013972
0.734991  0.00140702
0.735  0.00138621
0.735161  0.00137535
0.734727  0.00142327
0.734574  0.00141134
0.734683  0.00139581
0.734815  0.00138293
0.735002  0.00137684
0.734925  0.00136056
0.734686  0.00136352
0.734801  0.00135059
0.734782  0.00133331
0.735027   0.0013389
0.73504  0.00132213
0.735314  0.00133401
0.735376  0.00131912
0.735396  0.00130328
0.735593   0.0013027
0.735609  0.00128737
0.735485  0.00127829
0.735242  0.00128666
0.73543  0.00128575
0.73549  0.00127264
0.735592  0.00126258
0.735467  0.00125492
0.735507  0.00124185
0.735503  0.00122843
0.73542  0.00121811
0.735558  0.00121301
0.735439  0.00120613
0.735438  0.00119364
0.735609  0.00119374
0.73569  0.00118435
0.735705  0.00117254
