AVERAGE     ERRORE: 
-35324.8           0
-35324.3    0.472875
-35323.7    0.700979
-35323.7    0.495669
-35323.6    0.394224
-35323.6    0.323597
-35323.5    0.274765
-35323.5    0.244487
-35323.4    0.225839
-35323.4    0.205403
-35323.4    0.188437
-35323.5    0.198524
-35323.4    0.192693
-35323.4    0.178898
-35323.4    0.173391
-35323.3    0.171605
-35323.4    0.176642
-35323.4    0.168993
-35323.4    0.159967
-35323.4    0.151872
-35323.4    0.144711
-35323.5    0.152867
-35323.5    0.147571
-35323.5    0.142809
-35323.4    0.139112
-35323.4     0.13368
-35323.5     0.13099
-35323.4     0.12912
-35323.4    0.124897
-35323.5     0.12165
-35323.5    0.118814
-35323.5    0.115071
-35323.5    0.111813
-35323.5    0.108833
-35323.5    0.105773
-35323.5    0.102904
-35323.5    0.103473
-35323.5    0.100778
-35323.5   0.0985012
-35323.5   0.0981625
-35323.5   0.0959009
-35323.6   0.0957919
-35323.6   0.0953207
-35323.6   0.0931741
-35323.6   0.0916329
-35323.6   0.0903845
-35323.6   0.0889819
-35323.5   0.0883751
-35323.6   0.0896632
-35323.6   0.0894219
-35323.6   0.0876802
-35323.6   0.0859822
-35323.6   0.0878144
-35323.6   0.0861746
-35323.6   0.0846732
-35323.6   0.0832294
-35323.6   0.0836281
-35323.6   0.0824585
-35323.6   0.0811237
-35323.6   0.0799891
-35323.6   0.0787109
-35323.6   0.0794109
-35323.6   0.0805807
-35323.6   0.0795009
-35323.6   0.0787181
-35323.6   0.0784286
-35323.6   0.0781727
-35323.6   0.0770226
-35323.6   0.0758999
-35323.6   0.0796882
-35323.6   0.0786543
-35323.6   0.0783334
-35323.6     0.07727
-35323.6   0.0767739
-35323.6   0.0758097
-35323.6   0.0750359
-35323.6   0.0741115
-35323.6    0.073874
-35323.6   0.0730233
-35323.7   0.0725501
-35323.7   0.0716705
-35323.7   0.0722234
-35323.7   0.0728851
-35323.7   0.0724326
-35323.7   0.0715983
-35323.7   0.0709486
-35323.7   0.0714508
-35323.7    0.070685
-35323.7   0.0703965
-35323.7    0.069611
-35323.7   0.0689087
-35323.7   0.0683768
-35323.7   0.0678003
-35323.7   0.0675183
-35323.7   0.0676175
-35323.7   0.0670161
-35323.7   0.0669618
-35323.7   0.0669671
-35323.7   0.0662964
-35323.7    0.065707
