AVERAGE     ERRORE: 
-1067.42           0
-1067.35   0.0699819
-1067.4   0.0590641
-1067.38   0.0440846
-1067.4   0.0390676
-1067.38   0.0370857
-1067.36    0.036101
-1067.38    0.036494
-1067.39    0.032382
-1067.39   0.0301845
-1067.4    0.027304
-1067.39   0.0249567
-1067.39   0.0245493
-1067.38   0.0227348
-1067.39   0.0213963
-1067.38   0.0203595
-1067.38   0.0207525
-1067.37   0.0196882
-1067.37   0.0186656
-1067.37   0.0177234
-1067.37   0.0168587
-1067.37   0.0161026
-1067.37   0.0154375
-1067.37   0.0147805
-1067.37   0.0141981
-1067.37   0.0136755
-1067.37   0.0131606
-1067.37   0.0126824
-1067.37   0.0123668
-1067.37   0.0119497
-1067.38   0.0131519
-1067.38   0.0127547
-1067.38   0.0125677
-1067.38   0.0122084
-1067.38   0.0119067
-1067.38   0.0117617
-1067.38   0.0114848
-1067.38   0.0112085
-1067.38   0.0110316
-1067.38   0.0107709
-1067.38   0.0105516
-1067.38    0.010298
-1067.38   0.0103446
-1067.38   0.0101278
-1067.38  0.00990486
-1067.38  0.00970536
-1067.37  0.00965044
-1067.37   0.0094962
-1067.38  0.00950576
-1067.38   0.0094014
-1067.37  0.00923727
-1067.37  0.00906658
-1067.37  0.00890765
-1067.37   0.0089514
-1067.37  0.00879462
-1067.37  0.00875747
-1067.37  0.00869528
-1067.37  0.00855658
-1067.37  0.00874634
-1067.37   0.0086075
-1067.37  0.00847856
-1067.37  0.00834192
-1067.37  0.00837035
-1067.36  0.00828544
-1067.36  0.00815759
-1067.36  0.00810191
-1067.36  0.00798145
-1067.36  0.00786804
-1067.36  0.00775334
-1067.36  0.00766549
-1067.36  0.00755757
-1067.36  0.00746599
-1067.36  0.00741457
-1067.36  0.00732454
-1067.36  0.00723663
-1067.36  0.00718772
-1067.36  0.00719352
-1067.36  0.00710123
-1067.36   0.0070148
-1067.36  0.00692969
-1067.36  0.00689114
-1067.36  0.00680719
-1067.36  0.00675613
-1067.36  0.00669149
-1067.36  0.00676054
-1067.36  0.00669365
-1067.36  0.00666454
-1067.36  0.00659281
-1067.36  0.00667692
-1067.36  0.00661059
-1067.36  0.00655396
-1067.36  0.00648343
-1067.36  0.00641522
-1067.36   0.0064046
-1067.36  0.00636378
-1067.36  0.00631113
-1067.36  0.00626621
-1067.36   0.0062174
-1067.36  0.00615463
-1067.36   0.0061267
