AVERAGE     ERRORE: 
5.616           0
5.60992  0.00607931
5.55639   0.0536457
5.54524   0.0395391
5.54202    0.030796
5.54627   0.0255024
5.5473   0.0215779
5.5393   0.0203252
5.53588   0.0182485
5.53121    0.016978
5.52441   0.0167952
5.52689   0.0155311
5.52844   0.0143703
5.52743   0.0133427
5.52386   0.0129221
5.52252   0.0121625
5.52271   0.0114263
5.52128    0.010867
5.52018   0.0103385
5.52378   0.0104503
5.52292  0.00997787
5.52297  0.00951367
5.5242  0.00917329
5.52669  0.00912816
5.52392  0.00918096
5.52464  0.00884961
5.52414  0.00852989
5.52318   0.0082758
5.52546  0.00830385
5.52677  0.00812892
5.52681  0.00786241
5.52988  0.00820939
5.53042  0.00797479
5.53009  0.00774367
5.52789  0.00783297
5.52777  0.00761327
5.52723  0.00742411
5.52736  0.00722732
5.52847   0.0071255
5.52786  0.00697169
5.52806  0.00680242
5.52791  0.00664018
5.52848  0.00650949
5.52942  0.00642873
5.52855  0.00634398
5.53071  0.00656725
5.53026  0.00644179
5.53053  0.00631231
5.53  0.00620517
5.53081   0.0061328
5.5302   0.0060417
5.5306  0.00593776
5.5299  0.00586649
5.53058  0.00579713
5.53131  0.00573691
5.52986  0.00581576
5.53079  0.00578726
5.52995  0.00574765
5.52862  0.00580354
5.52887  0.00571141
5.52951  0.00565278
5.5293  0.00556482
5.52935  0.00547603
5.52924  0.00539082
5.52909  0.00530947
5.52955  0.00524856
5.53037  0.00523486
5.53038   0.0051573
5.52968  0.00512955
5.53049   0.0051206
5.53026   0.0050534
5.5298  0.00500324
5.52965  0.00493673
5.52856  0.00498976
5.52843  0.00492451
5.52846  0.00485937
5.52727  0.00494033
5.52709  0.00488013
5.52616  0.00490674
5.5259  0.00485162
5.52608  0.00479456
5.52613  0.00473598
5.5253  0.00475199
5.52546  0.00469779
5.52488  0.00467743
5.52454  0.00463564
5.52489  0.00459552
5.52502  0.00454475
5.52542  0.00451204
5.52554  0.00446311
5.526  0.00443795
5.52607  0.00438989
5.52596   0.0043436
5.52629  0.00430924
5.52625  0.00426378
5.52608  0.00422274
5.52629  0.00418453
5.52623  0.00414206
5.52557  0.00415377
5.52544  0.00411406
