Accettanza for uniform method is start:
 delta   accettanza 
10 13.56
2.54187 53.467
2.55068 53.57
2.55979 53.167
2.5679 53.051
2.57573 53.068
2.58363 52.593
2.59033 52.608
2.59709 52.665
2.60401 52.359
2.61015 52.199
2.61589 52.271
2.62183 52.217
2.62765 51.873
2.63257 52.008
2.63785 51.801
2.6426 51.134
2.6456 51.534
2.64966 51.289
2.65307 51.49
2.65703 51.474
2.66094 51.103
2.66388 51.193
2.66706 51.423
2.67085 50.937

ACCETANZA FINISHED!
