#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         168     1.11884     1.14284  0.00159812
         169     1.08584     1.14251  0.00162386
         170     1.16183     1.14262  0.00161828
         171     1.13035     1.14255  0.00161041
         172     1.14095     1.14254  0.00160108
         173     1.12456     1.14244  0.00159519
         174     1.14873     1.14247  0.00158643
         175     1.14412     1.14248   0.0015774
         176     1.10428     1.14226   0.0015833
         177     1.16763     1.14241  0.00158083
         178     1.16225     1.14252  0.00157587
         179     1.13267     1.14246  0.00156803
         180     1.11642     1.14232  0.00156598
         181     1.11759     1.14218  0.00156327
         182     1.13452     1.14214  0.00155525
         183     1.12082     1.14202  0.00155111
         184     1.13624     1.14199    0.001543
         185     1.14947     1.14203  0.00153519
         186     1.13039     1.14197  0.00152821
         187     1.14142     1.14197  0.00152004
         188     1.16265     1.14208  0.00151593
         189      1.1382     1.14206  0.00150805
         190     1.12403     1.14196  0.00150309
         191     1.16362     1.14208  0.00149949
         192     1.11785     1.14195  0.00149698
         193     1.11597     1.14182  0.00149527
         194     1.13733     1.14179  0.00148774
         195     1.12801     1.14172  0.00148179
         196     1.15338     1.14178  0.00147542
         197     1.16951     1.14192  0.00147463
         198     1.14008     1.14191  0.00146721
         199     1.11773     1.14179  0.00146486
         200     1.12558     1.14171  0.00145978
         201     1.15253     1.14176  0.00145351
         202     1.14365     1.14177  0.00144634
         203     1.10598      1.1416  0.00144993
         204     1.11589     1.14147  0.00144829
         205     1.14997     1.14151  0.00144182
         206     1.16089     1.14161  0.00143788
         207     1.18973     1.14184  0.00144961
         208     1.18412     1.14204  0.00145682
         209      1.1525     1.14209  0.00145071
         210     1.10165      1.1419  0.00145653
         211     1.12774     1.14183  0.00145117
         212     1.14059     1.14183  0.00144434
         213     1.13013     1.14177   0.0014386
         214     1.12631      1.1417  0.00143369
         215     1.10981     1.14155  0.00143467
         216     1.12353     1.14147  0.00143045
         217     1.14757      1.1415  0.00142414
         218     1.16199     1.14159   0.0014207
         219     1.15283     1.14164  0.00141514
         220     1.15717     1.14171  0.00141047
         221     1.13168     1.14167  0.00140482
         222     1.13512     1.14164   0.0013988
         223     1.15908     1.14171  0.00139471
         224     1.15723     1.14178   0.0013902
         225     1.14086     1.14178  0.00138403
         226     1.13387     1.14175  0.00137835
         227     1.12023     1.14165  0.00137553
         228     1.13196     1.14161  0.00137015
         229     1.15193     1.14165  0.00136491
         230     1.15771     1.14172  0.00136076
         231     1.13591      1.1417   0.0013551
         232     1.12811     1.14164  0.00135053
         233     1.09928     1.14146  0.00135691
         234     1.14168     1.14146  0.00135111
         235     1.16491     1.14156  0.00134904
         236     1.11623     1.14145  0.00134759
         237     1.16037     1.14153  0.00134427
         238     1.12369     1.14146  0.00134071
         239     1.14084     1.14145   0.0013351
         240     1.13273     1.14142  0.00133003
         241     1.13914     1.14141  0.00132455
         242     1.12782     1.14135  0.00132026
         243     1.14326     1.14136  0.00131485
         244     1.12863     1.14131   0.0013105
         245     1.15099     1.14135  0.00130575
         246     1.14366     1.14136  0.00130047
         247     1.16328     1.14144  0.00129823
         248     1.15351     1.14149  0.00129391
         249     1.12718     1.14144  0.00128999
         250     1.15383     1.14148  0.00128578
         251     1.11125     1.14136  0.00128629
         252     1.14579     1.14138   0.0012813
         253     1.10961     1.14126  0.00128238
         254     1.11892     1.14117  0.00128034
         255     1.16515     1.14126  0.00127877
         256      1.1501      1.1413  0.00127424
         257     1.14172      1.1413  0.00126928
         258     1.15911     1.14137  0.00126624
         259     1.13344     1.14134  0.00126172
         260     1.13304     1.14131  0.00125727
         261     1.13457     1.14128  0.00125272
         262      1.1615     1.14136  0.00125031
         263      1.1553     1.14141  0.00124668
         264     1.13718     1.14139  0.00124206
         265     1.15094     1.14143   0.0012379
         266     1.14867     1.14146  0.00123354
         267     1.19396     1.14165   0.0012445
