TEMP:         EN_AVE:          ERROR: 
1.36174     -0.00433729      0.00050259
1.35902       -0.320011     0.000347009
1.3563       -0.272189     0.000557833
1.35359        0.844646      0.00111581
1.35088         1.16459      0.00345665
1.34818        0.211349      0.00236068
1.34548         5.90372       0.0152551
1.34279         3.43722       0.0101748
1.3401       -0.254257     0.000795576
1.33742       -0.217123     0.000551514
1.33475       -0.231318     0.000892614
1.33208        0.429744      0.00307604
1.32941         1.80579      0.00555284
1.32676       -0.307545     0.000575913
1.3241       -0.436195     0.000229636
1.32145      -0.0644861     0.000697844
1.31881        0.107022     0.000859627
1.31617       -0.235202     0.000707064
1.31354        0.986235      0.00161406
1.31091      -0.0452912      0.00153308
1.30829        0.561246      0.00355393
1.30568      -0.0373143     0.000630255
1.30306        0.381209     0.000767267
1.30046       -0.167562     0.000613264
1.29786      -0.0917443     0.000680597
1.29526        -0.41452     0.000283243
1.29267        0.481964      0.00207834
1.29009         2.19551       0.0066484
1.28751        0.514919      0.00293311
1.28493       -0.100941       0.0013855
1.28236        0.767585      0.00339026
1.2798        0.387049      0.00280125
1.27724       -0.373199     0.000357694
1.27468       -0.192969       0.0010193
1.27213        0.628219      0.00137121
1.26959          0.3503      0.00145545
1.26705        0.536414      0.00115449
1.26451       -0.213137     0.000971397
1.26199       -0.277861     0.000683461
1.25946        0.176829     0.000920383
1.25694        -0.14891     0.000685675
1.25443       -0.223446     0.000479553
1.25192       0.0273211      0.00068481
1.24942        0.317944     0.000856387
1.24692        0.332136      0.00287958
1.24442      -0.0256992        0.001771
1.24193       -0.260514     0.000604983
1.23945       0.0285127      0.00168493
1.23697       -0.342304     0.000478519
1.2345        0.571561      0.00156501
1.23203        0.273419      0.00119889
1.22957       -0.019447     0.000745427
1.22711        0.356912     0.000824085
1.22465       -0.362211     0.000291768
1.2222        0.876809      0.00327674
1.21976       -0.246464     0.000784607
1.21732        0.754317      0.00359473
1.21488       -0.209376     0.000912517
1.21245        0.358943     0.000858744
1.21003       -0.436063     0.000288719
1.20761       -0.203618     0.000502101
1.20519       0.0326944      0.00185299
1.20278         2.83969      0.00553862
1.20038        0.537268      0.00208647
1.19798       -0.409084     0.000320336
1.19558       0.0675024     0.000863764
1.19319       -0.128076     0.000860788
1.1908         0.97881      0.00125367
1.18842         2.97882       0.0028249
1.18605       -0.366527     0.000471226
1.18367         0.25955     0.000769892
1.18131      -0.0539684     0.000707028
1.17894        0.142302     0.000857373
1.17659       -0.187054     0.000542751
1.17423      -0.0208103      0.00153627
1.17188         1.01287      0.00442749
1.16954       -0.412513     0.000341809
1.1672      -0.0743154     0.000853896
1.16487         1.03663      0.00115388
1.16254      -0.0837297     0.000699708
1.16021        0.383404      0.00229042
1.15789        0.477088      0.00256908
1.15558      -0.0864024      0.00130504
1.15326         1.96623        0.006546
1.15096      -0.0015521      0.00139794
1.14866       -0.247589     0.000768161
1.14636         1.10701      0.00484959
1.14407        0.284335      0.00263161
1.14178         1.96339      0.00692969
1.13949       -0.244132     0.000832712
1.13722        0.105875      0.00126129
1.13494       -0.142225     0.000897107
1.13267      -0.0176135     0.000751015
1.13041      -0.0860763     0.000691995
1.12814        0.148925      0.00066847
1.12589         1.81173      0.00277932
1.12364       -0.234314      0.00048582
1.12139       -0.128601     0.000657307
1.11915         2.25869      0.00357821
1.11691       -0.215331     0.000860848
1.11467       -0.202354     0.000644266
1.11245      -0.0420415      0.00066409
1.11022       -0.305647     0.000561547
1.108         1.02422      0.00460184
1.10578        0.290807      0.00266098
1.10357       0.0450628      0.00123513
1.10137       -0.270826     0.000426298
1.09916        0.027907     0.000839096
1.09696        0.373741      0.00173725
1.09477       0.0453072       0.0011128
1.09258        0.171397      0.00215415
1.0904       -0.166976     0.000500861
1.08821        0.518227      0.00102862
1.08604       -0.325446     0.000495443
1.08387     -0.00195602      0.00160245
1.0817       0.0306273      0.00059209
1.07953       -0.234356     0.000907743
1.07738        0.133987     0.000820484
