TEMP:             MU:          SIGMA: 
1.31091         0.63434          1.0386
1.30829        0.457847         1.32389
1.30568        0.430572        0.573896
1.30306        0.324079        0.464822
1.30046        0.382713        0.738938
1.29786       0.0837638        0.788602
1.29526         0.71786        0.660425
1.29267         1.07365        0.863353
1.29009          0.4209          1.5902
1.28751        0.395464         1.33175
1.28493        0.442188         1.09966
1.28236        0.018032          1.4446
1.2798        0.665012          1.1807
1.27724        0.666523        0.701548
1.27468       0.0668437         1.11672
1.27213        0.970851        0.363112
1.26959         1.16814        0.702747
1.26705        0.204307        0.501835
1.26451        0.560033        0.962166
1.26199        0.783967        0.811511
1.25946       0.0708138        0.653883
1.25694        0.221279        0.803382
1.25443        0.524748        0.620515
1.25192        0.287422        0.658118
1.24942       0.0701162        0.603774
1.24692        0.288791         1.31416
1.24442        0.261935         1.19614
1.24193        0.436103        0.854747
1.23945        0.911687        0.878238
1.23697        0.708593        0.777383
1.2345        0.659647        0.365222
1.23203        0.937488        0.405368
1.22957       0.0357691        0.747056
1.22711       0.0454754        0.593323
1.22465         0.65158        0.587802
1.2222        0.984355         1.05515
1.21976        0.453566        0.956471
1.21732        0.276189          1.4148
1.21488       0.0340774          1.0992
1.21245        0.284219        0.509575
1.21003        0.808659        0.650509
1.20761        0.432004        0.736344
1.20519        0.580752          1.1039
1.20278         1.26607         1.06123
1.20038         1.08999         0.85969
1.19798        0.731396        0.685277
1.19558        0.501192         0.42654
1.19319        0.767482        0.457619
1.1908         1.30866         0.37677
1.18842         1.53779        0.300507
1.18605        0.911767        0.668617
1.18367         1.13793        0.436996
1.18131       0.0437609        0.767587
1.17894       0.0958886        0.664382
1.17659        0.237218        0.835814
1.17423        0.234239         1.20399
1.17188        0.056098         1.48697
1.16954        0.876539        0.646368
1.1672        0.824693        0.452011
1.16487         1.38283        0.502106
1.16254        0.223518        0.753152
1.16021         1.02395        0.890215
1.15789        0.856569         1.07039
1.15558        0.159128         1.18467
1.15326        0.349514         1.58049
1.15096        0.834909        0.927644
1.14866        0.231097        0.996125
1.14636        0.454239         1.43052
1.14407        0.608825         1.18334
1.14178        0.803834          1.3904
1.13949        0.555951        0.930946
1.13722          1.0882        0.727197
1.13494        0.801751         0.46315
1.13267       0.0248097        0.746863
1.13041        0.328864        0.705551
1.12814        0.419268        0.459581
1.12589        0.535408        0.285341
1.12364        0.504775        0.682983
1.12139        0.226195        0.785451
1.11915          1.3649        0.834897
1.11691        0.252097         1.06309
1.11467        0.260591        0.844264
1.11245        0.397672        0.617349
1.11022        0.655189        0.825763
1.108        0.358139         1.44436
1.10578        0.347293         1.28673
1.10357          1.0676         0.72929
1.10137         1.00451        0.591583
1.09916        0.239835         0.67968
1.09696         1.10093        0.801634
1.09477         1.07863         0.71454
1.09258        0.752951         1.05425
1.0904         0.53672        0.522574
1.08821        0.195955        0.510732
1.08604        0.603151        0.752434
1.08387        0.602054          1.0768
1.0817        0.413053         0.54598
1.07953        0.417564        0.987918
1.07738        0.180852        0.649574
1.07522        0.822578        0.542311
1.07307        0.622662        0.504491
1.07092        0.510464         1.44711
1.06878        0.496184        0.672742
1.06665        0.213128        0.596882
1.06451        0.350597        0.878566
1.06238         0.93418        0.540641
1.06026        0.442973        0.788589
1.05814        0.954713        0.621652
1.05602        0.106035        0.907904
1.05391      0.00800181         1.11152
1.0518        0.417465         1.02184
1.0497        0.494647         1.34592
1.0476        0.456478         1.43086
1.0455        0.753311         1.51269
1.04341        0.656551         1.55305
1.04133        0.731746         1.36755
1.03924        0.351552         1.53898
1.03716        0.264718         1.24327
1.03509        0.120957         1.45763
1.03302          0.5715          1.1262
1.03095         0.90846        0.396687
1.02889         1.28267        0.356423
1.02683         0.96581        0.501355
1.02478         1.13517        0.725001
1.02273        0.917917        0.499329
1.02069        0.705362        0.802685
1.01864       0.0562993         1.38589
1.01661        0.685239        0.795131
1.01457         1.06341        0.765261
1.01254        0.308387        0.982937
1.01052        0.579755        0.759401
1.0085        0.311145        0.555618
1.00648        0.900814        0.837915
1.00447        0.165367         1.03755
1.00246       0.0174374        0.971628
1.00045        0.507224         1.20508
0.998453        0.853314        0.958574
0.996457        0.149019          1.3304
0.994464        0.754313        0.435074
0.992475         0.87428        0.694716
0.99049        0.353359        0.316871
0.988509        0.257503        0.681864
0.986532        0.858744        0.914786
0.984559         1.39857        0.595759
0.98259        0.761805        0.496002
0.980624         1.24801        0.558293
0.978663        0.314575          1.0393
0.976706        0.687648        0.556953
0.974752        0.165308        0.792814
0.972803        0.142654        0.760166
0.970857        0.428334        0.958858
0.968916       0.0854902         1.06651
0.966978        0.288697         1.27611
0.965044        0.411169         1.21129
0.963114        0.306882         1.21891
0.961187        0.305726         1.33774
0.959265         1.17147        0.802533
0.957347        0.737918         1.04051
0.955432         1.35221        0.435171
0.953521        0.894092        0.670357
0.951614        0.415042        0.967625
0.949711        0.321036         1.06057
0.947811        0.865884        0.561739
0.945916         0.87829        0.492006
0.944024        0.356306        0.721326
0.942136        0.232604         1.02629
0.940252        0.750586        0.978655
0.938371        0.630198         1.15927
