           1    0.508694
           2     0.50428
           3    0.503188
           4    0.503728
           5    0.503147
           6    0.503167
           7    0.502926
           8    0.503048
           9    0.502722
          10    0.502929
          11    0.502775
          12    0.503023
          13     0.50297
          14    0.502872
          15    0.502684
          16    0.502623
          17    0.502612
          18    0.502581
          19    0.502646
          20    0.502691
