#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         168      1.2044     1.20544  0.00223848
         169     1.21139     1.20548  0.00222551
         170     1.23699     1.20566  0.00222013
         171     1.20558     1.20566  0.00220715
         172     1.19592     1.20561  0.00219504
         173     1.22741     1.20573  0.00218597
         174     1.21366     1.20578  0.00217388
         175     1.21611     1.20584  0.00216226
         176     1.22077     1.20592  0.00215164
         177     1.21674     1.20598  0.00214035
         178       1.217     1.20605  0.00212922
         179     1.21653      1.2061  0.00211813
         180     1.21582     1.20616  0.00210705
         181     1.22761     1.20628  0.00209874
         182      1.2378     1.20645  0.00209434
         183     1.20421     1.20644  0.00208294
         184     1.21875      1.2065  0.00207269
         185     1.15668     1.20623  0.00207891
         186     1.16484     1.20601  0.00207961
         187      1.2014     1.20599  0.00206864
         188     1.19738     1.20594  0.00205814
         189     1.21142     1.20597  0.00204745
         190     1.20963     1.20599  0.00203677
         191     1.21125     1.20602  0.00202629
         192       1.191     1.20594  0.00201725
         193     1.17956      1.2058  0.00201142
         194     1.16789     1.20561  0.00201052
         195     1.22684     1.20572  0.00200316
         196     1.23011     1.20584   0.0019968
         197      1.2151     1.20589  0.00198722
         198      1.2318     1.20602  0.00198149
         199     1.20507     1.20601  0.00197153
         200     1.20245       1.206  0.00196176
         201     1.20963     1.20601  0.00195208
         202     1.19842     1.20598  0.00194278
         203     1.16541     1.20578  0.00194346
         204     1.17623     1.20563  0.00193932
         205     1.17095     1.20546  0.00193723
         206     1.20829     1.20548  0.00192787
         207     1.19739     1.20544  0.00191895
         208     1.23988      1.2056  0.00191686
         209     1.23682     1.20575   0.0019135
         210     1.23094     1.20587  0.00190814
         211     1.21036     1.20589  0.00189922
         212      1.2192     1.20596  0.00189129
         213      1.2307     1.20607  0.00188598
         214     1.23802     1.20622  0.00188306
         215     1.24011     1.20638  0.00188089
         216     1.22408     1.20646  0.00187397
         217     1.21622     1.20651  0.00186587
         218     1.22657      1.2066  0.00185958
         219     1.22195     1.20667  0.00185241
         220     1.22062     1.20673  0.00184508
         221     1.22033     1.20679  0.00183775
         222     1.22274     1.20687  0.00183088
         223      1.2306     1.20697  0.00182576
         224     1.22604     1.20706  0.00181959
         225     1.24439     1.20722  0.00181906
         226     1.24567     1.20739  0.00181894
         227     1.21967     1.20745  0.00181173
         228     1.23577     1.20757  0.00180804
         229     1.26948     1.20784  0.00182025
         230     1.27153     1.20812  0.00183328
         231     1.27651     1.20841  0.00184909
         232     1.28237     1.20873  0.00186839
         233     1.26358     1.20897  0.00187514
         234     1.24248     1.20911  0.00187259
         235     1.24656     1.20927  0.00187139
         236      1.2359     1.20938  0.00186686
         237     1.23067     1.20947  0.00186114
         238     1.23585     1.20958  0.00185662
         239     1.25602     1.20978  0.00185899
         240      1.2231     1.20983  0.00185207
         241     1.22632      1.2099  0.00184565
         242     1.19487     1.20984  0.00183907
         243     1.19745     1.20979  0.00183221
         244      1.2128      1.2098  0.00182474
         245     1.22006     1.20984  0.00181777
         246     1.20267     1.20981  0.00181062
         247     1.18787     1.20973  0.00180546
         248     1.17242     1.20958  0.00180444
         249     1.20775     1.20957  0.00179721
         250     1.20197     1.20954  0.00179027
         251     1.18149     1.20943  0.00178663
         252     1.17167     1.20928  0.00178581
         253     1.18555     1.20918  0.00178121
         254     1.17862     1.20906  0.00177826
         255     1.20186     1.20903  0.00177151
         256     1.20674     1.20902  0.00176461
         257     1.24019     1.20915  0.00176191
         258     1.23182     1.20923  0.00175727
         259     1.20441     1.20922  0.00175058
         260       1.221     1.20926  0.00174444
         261     1.21107     1.20927  0.00173777
         262     1.19771     1.20922  0.00173169
         263     1.21145     1.20923  0.00172513
         264     1.23733     1.20934  0.00172187
         265     1.20845     1.20934  0.00171538
         266     1.18688     1.20925  0.00171101
         267     1.18265     1.20915   0.0017075
         268     1.17282     1.20902   0.0017065
         269     1.20451       1.209  0.00170024
         270     1.19518     1.20895  0.00169471
         271     1.22678     1.20901  0.00168973
         272     1.25329     1.20918  0.00169134
         273     1.22947     1.20925  0.00168678
         274     1.18857     1.20917  0.00168231
         275     1.15367     1.20897  0.00168826
