Accettanza for uniform method is start:
 sigma   accettanza 
0.0529 98.019
0.0554402 98.045
0.0581038 97.928
0.0608886 97.806
0.0637995 97.74
0.0668453 97.569
0.070025 97.484
0.0733501 97.33
0.0768217 97.228
0.0804499 97.034
0.0842338 97.023
0.0881947 96.733
0.0923163 96.703
0.0966277 96.53
0.101124 96.313
0.105807 96.18
0.110693 96.104
0.115797 95.83
0.121104 95.822
0.126653 95.447
0.132409 95.424
0.138423 95.17
0.144676 94.959
0.151181 94.678
0.157935 94.704
0.164995 94.37
0.172316 94.115
0.179918 93.803
0.187799 93.395
0.195948 93.284
0.20443 92.719
0.213163 92.548
0.222232 92.342
0.231642 91.681
0.241297 91.634
0.251344 91.152
0.261687 90.806
0.272365 90.221
0.28332 89.905
0.294626 89.54
0.306275 89.027
0.318228 88.708
0.330546 88.095
0.343139 87.763
0.356096 87.391
0.369411 87.072
0.383106 86.361
0.397036 85.879
0.411281 85.098
0.425717 84.847
0.440552 84.354
0.455686 83.608
0.471001 83.143
0.486611 82.56
0.502455 82.33
0.5187 81.326
0.534949 80.885
0.551471 80.632
0.568363 79.934
0.585377 79.164
0.602448 78.69
0.619733 78.104
0.63715 77.481
0.654659 76.921
0.672283 76.228
0.689916 75.703
0.707649 75.301
0.725553 74.424
0.743274 73.982
0.761099 73.115
0.778692 72.707
0.796374 72.276
0.814114 71.758
0.831827 70.974
0.849274 70.644
0.866806 70
0.884143 69.538
0.901417 68.768
0.918335 68.41
0.935241 67.809
0.951897 67.269
0.968335 66.658
0.984466 66.462
1.00067 65.519
1.0162 65.388
1.03184 64.738
1.04705 64.621
1.06235 63.873
1.07709 63.555
1.09169 62.863
1.10574 62.705
1.11978 62.062
1.13329 61.683
1.14653 61.705
1.15995 61.091
1.17282 60.565
1.18521 60.348
1.19747 60.008
1.20946 59.637
1.22111 59.169
1.23231 59.026
1.24343 58.489
1.25399 58.234
1.26431 58.229
1.27472 57.668
1.28449 57.558
1.2942 57.159
1.30346 56.917
1.31248 56.74
1.32133 56.307
1.32966 56.293
1.33803 56.136
1.34624 55.479
1.35361 55.831
1.36151 55.869
1.3695 55.357
1.37683 54.871
1.38354 54.969
1.39041 54.57
1.39677 54.781
1.40345 54.459
1.4097 54.138
1.41554 53.942
1.42112 54.148
1.42701 53.62
1.43218 53.378
1.43702 53.448
1.44197 53.376
1.44684 53.007
1.45119 52.889
1.45538 53.087
1.45987 53.074
1.46436 52.84
1.46852 52.418
1.47207 52.838
1.47625 52.647
1.48016 52.536
1.48391 52.741
1.48798 52.007
1.49096 51.927
1.49384 51.9
1.49668 52.089
1.4998 51.647
1.50227 51.947
1.5052 51.824
1.50794 51.31
1.50992 51.762
1.51258 51.665
1.5151 51.688
1.51766 51.518
1.51996 51.614
1.52241 51.415
1.52457 51.293
1.52654 51.066
1.52816 51.606
1.53062 50.992
1.53214 51.365
1.53423 50.806
1.53547 51.04
1.53706 51.09
1.53874 50.998
1.54027 50.684
1.54133 50.989
1.54285 50.515
1.54365 50.659
1.54466 50.737
1.5458 50.531
1.54662 50.707
1.54772 50.735
1.54885 50.793
1.55008 50.453
1.55078 50.803
1.55203 50.856
1.55336 50.702
1.55445 50.486
1.5552 50.528
1.55602 50.692
1.5571 50.377
1.55769 50.561
1.55856 50.682
1.55963 50.052
1.55971 50.723
1.56083 50.371
1.56141 50.515
1.56222 50.402
1.56285 50.357
1.5634 50.536
1.56424 50.526
1.56506 50.272
1.56549 50.816
1.56677 50.31
1.56725 50.329
1.56777 50.126
1.56797 50.091
1.56811 50.322
1.56861 50.259
1.56902 50.39
1.56963 50.21
1.56996 50.252
1.57036 50.403
1.57099 50.46
1.57171 49.873
1.57151 50.085
1.57165 50.315
1.57214 50.052
1.57222 50.305
1.5727 50.195
1.57301 50.108
1.57318 49.948
1.5731 50.154
1.57334 49.878
1.57315 50.64
1.57415 49.909
1.57401 50.571
1.57491 50.23
1.57527 50.215
1.57561 49.999

ACCETANZA FINISHED!
