Accettanza for gaussian method is start:
sigma accettanza
0.0529 95.806
0.0553231 95.601
0.0578459 95.436
0.0604742 95.236
0.0632098 94.936
0.0660502 94.799
0.0690092 94.476
0.0720785 94.272
0.0752695 93.943
0.0785771 93.72
0.0820125 93.531
0.0855826 93.168
0.089277 93.055
0.0931208 92.537
0.0970819 92.288
0.101187 91.832
0.10542 91.721
0.109818 91.363
0.114361 90.97
0.119046 90.773
0.1239 90.268
0.128889 89.783
0.134017 89.29
0.139282 88.915
0.144703 88.639
0.150294 88.145
0.156027 87.893
0.161939 87.403
0.167996 86.967
0.174206 86.311
0.180532 85.911
0.187015 85.401
0.193635 84.915
0.200396 84.399
0.20729 83.629
0.214261 83.373
0.221411 82.704
0.228652 82.29
0.236035 81.575
0.243488 81.085
0.251057 80.72
0.25877 80.074
0.266552 79.591
0.274439 78.945
0.282383 78.011
0.290293 77.87
0.298383 76.987
0.306436 76.835
0.314659 76.16
0.32289 75.347
0.331075 74.671
0.339243 74.516
0.347559 73.771
0.355821 73.192
0.364074 72.383
0.372223 72.233
0.380498 71.353
0.388623 71.051
0.396804 70.458
0.404922 70.033
0.413033 69.312
0.42101 68.897
0.428966 68.164
0.436758 68.097
0.444662 67.404
0.4524 67.018
0.460099 66.206
0.467556 66.162
0.475112 65.887
0.48266 65.06
0.489929 64.659
0.497111 64.548
0.504343 63.405
0.511104 62.844
0.517669 62.673
0.524229 62.519
0.530792 62.072
0.5372 61.948
0.543618 61.095
0.549649 61.173
0.555791 60.612
0.561689 60.293
0.56747 60.366
0.573353 59.8
0.578971 59.026
0.584197 59.308
0.589635 58.659
0.594741 58.296
0.599675 58.156
0.604565 57.76
0.609257 57.751
0.613979 57.291
0.618456 57.14
0.622872 56.826
0.627123 56.714
0.631334 56.774
0.63561 56.07
0.639469 56.078
0.643355 55.884
0.647141 55.457
0.650672 55.589
0.654309 55.469
0.657887 55.091
0.661237 55.258
0.664713 54.591
0.667765 54.403
0.670705 54.551
0.673758 54.655
0.676894 54.332
0.679826 53.966
0.682522 53.77
0.685096 53.47
0.687473 53.484
0.689868 53.434
0.692237 53.572
0.69471 52.918
0.696737 53.497
0.699173 53.283
0.701469 52.969
0.703551 52.206
0.705103 52.613
0.706946 52.217
0.708513 51.972
0.70991 52.019
0.711344 52.384
0.713039 52.031
0.714488 52.176
0.716042 52.066
0.717522 52.342
0.719202 51.902
0.72057 52.092
0.722077 51.462
0.723133 52.078
0.724636 51.88
0.725998 51.683
0.72722 51.368
0.728215 51.527
0.729327 51.451
0.730385 51.228
0.731282 51.081
0.732073 51.432
0.733121 51.465
0.734195 51.139
0.735031 50.97
0.735744 51.28
0.736686 50.77
0.737253 50.838
0.737871 50.554
0.73828 50.532
0.738672 51.279
0.739617 51.408
0.740659 50.839
0.74128 50.922
0.741963 50.778
0.742541 50.889
0.743201 50.892
0.743864 50.615
0.744321 50.319
0.744559 50.389
0.744848 50.81
0.745452 50.634
0.745924 50.9
0.746596 50.487
0.746959 51.135
0.747807 50.524
0.748199 50.288
0.748414 50.389
0.748705 50.751
0.749268 50.462
0.749614 50.405
0.749917 50.799
0.750517 50.539
0.750921 50.58
0.751357 50.102
0.751433 50.506
0.751814 50.391
0.752108 49.978
0.752091 50.826
0.752712 50.402
0.753015 50.14
0.75312 50.262
0.753318 50.697
0.753843 50.267
0.754044 50.344
0.754303 50.811
0.754915 50.09
0.754983 50.447
0.75532 50.289
0.755539 50.233
0.755715 50.135
0.755817 50.332
0.756068 50.264
0.756267 50.327
0.756515 50.298
0.75674 49.842
0.756621 50.467
0.756974 49.927
0.756919 50.01
0.756919 49.875
0.756824 49.931
0.756772 50.341
0.75703 49.986
0.757019 49.988
0.75701 50.252
0.757201 50.342
0.75746 50.039
0.757489 50.115
0.757577 50.223
0.757745 50.39
0.758041 50.149
0.758154 49.729
0.757948 50.449
0.758289 50.277
0.758499 49.931
0.758446 50.297
0.758672 49.879
0.75858 49.74
0.758383 50.111
0.758467 50.041
0.758498 50.075
0.758555 50.104
0.758634 49.919
0.758572 49.627
0.758289 50.054
0.75833 50.232
0.758506 50.05
0.758544 50.504
0.758926 49.994

ACCETANZA FINISHED!
