#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     0.80625     0.80625           0
           2    0.810604    0.808427  0.00153943
           3    0.811497     0.80945  0.00132333
           4    0.805217    0.808392  0.00135098
           5    0.812758    0.809265  0.00133344
           6     0.80888    0.809201  0.00111274
           7    0.808529    0.809105 0.000957909
           8    0.813874    0.809701  0.00100672
           9    0.806714    0.809369 0.000947983
          10    0.807468    0.809179 0.000872034
          11    0.810015    0.809255 0.000796064
          12    0.807927    0.809144 0.000737377
          13    0.808901    0.809126 0.000680893
          14    0.807152    0.808985 0.000646681
          15    0.811877    0.809178  0.00063167
          16    0.805568    0.808952 0.000631184
          17    0.811083    0.809077  0.00060638
          18    0.811521    0.809213 0.000587697
          19    0.812521    0.809387 0.000581987
          20    0.808775    0.809357 0.000553692
          21    0.813092    0.809534 0.000555165
          22    0.809564    0.809536 0.000529932
          23     0.80739    0.809443 0.000515042
          24    0.810011    0.809466 0.000494126
          25    0.809604    0.809472 0.000474392
          26    0.811287    0.809542 0.000461258
          27    0.808857    0.809516  0.00044487
          28    0.814524    0.809695 0.000463547
          29     0.81136    0.809752 0.000451104
          30    0.806278    0.809637 0.000450693
          31    0.812503    0.809729 0.000445537
          32     0.80847     0.80969 0.000433347
          33    0.805539    0.809564 0.000438085
          34    0.814772    0.809717 0.000451181
          35    0.802187    0.809502 0.000486898
          36    0.811916    0.809569 0.000477967
          37    0.810257    0.809588  0.00046541
          38    0.813909    0.809701 0.000466847
          39     0.80907    0.809685 0.000455157
          40     0.81146     0.80973 0.000445935
          41    0.810907    0.809758 0.000435982
          42    0.810343    0.809772 0.000425823
          43    0.807983    0.809731 0.000417949
          44    0.802319    0.809562  0.00044109
          45    0.816566    0.809718 0.000457923
          46    0.807574    0.809671 0.000450332
          47    0.809901    0.809676 0.000440778
          48    0.809971    0.809682 0.000431638
          49    0.811063     0.80971 0.000423748
          50    0.813876    0.809794 0.000423385
          51    0.806632    0.809732 0.000419598
          52    0.813287      0.8098 0.000417061
          53    0.800909    0.809632  0.00044164
          54    0.811359    0.809664 0.000434618
          55    0.814473    0.809752 0.000435422
          56    0.809684    0.809751 0.000427648
          57    0.809761    0.809751 0.000420146
          58      0.8087    0.809733 0.000413292
          59    0.812107    0.809773 0.000408242
          60    0.812057    0.809811 0.000403209
          61    0.809571    0.809807 0.000396618
          62    0.806483    0.809753 0.000393827
          63    0.811326    0.809778 0.000388365
          64    0.807074    0.809736 0.000384589
          65    0.807231    0.809698 0.000380598
          66    0.809072    0.809688 0.000374949
          67    0.807572    0.809656  0.00037068
          68    0.809344    0.809652 0.000365258
          69     0.80964    0.809652 0.000359964
          70    0.811421    0.809677 0.000355708
          71    0.809278    0.809671 0.000350743
          72    0.809515    0.809669 0.000345878
          73    0.807154    0.809635 0.000342852
          74    0.806209    0.809588  0.00034133
          75    0.812091    0.809622 0.000338405
          76    0.811501    0.809647 0.000334855
          77    0.807492    0.809619 0.000331673
          78    0.809332    0.809615 0.000327442
          79    0.811227    0.809635 0.000323932
