#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.775054    0.775054           0
           2    0.779275    0.777164  0.00149227
           3     0.78409    0.779473  0.00213145
           4    0.771068    0.777372  0.00242221
           5     0.78022    0.777941  0.00200365
           6    0.776718    0.777738  0.00168005
           7    0.777804    0.777747  0.00144007
           8    0.777696    0.777741  0.00126007
           9     0.77561    0.777504  0.00114208
          10     0.77868    0.777622  0.00103391
          11    0.777998    0.777656 0.000940486
          12     0.77361    0.777319 0.000920555
          13     0.77691    0.777287  0.00085028
          14    0.776875    0.777258 0.000790054
          15    0.777019    0.777242 0.000737544
          16    0.777599    0.777264 0.000691785
          17    0.779638    0.777404  0.00066503
          18     0.77742    0.777405 0.000628084
          19    0.774995    0.777278 0.000607702
          20    0.781911    0.777509 0.000619897
          21    0.775731    0.777425 0.000596137
          22      0.7784    0.777469 0.000570685
          23    0.780068    0.777582 0.000556947
          24    0.776036    0.777518 0.000537454
          25    0.772943    0.777335 0.000546218
          26    0.783819    0.777584  0.00057935
          27     0.77159    0.777362 0.000598919
          28     0.77755    0.777369 0.000577566
          29    0.779358    0.777437 0.000561711
          30     0.77687    0.777418 0.000543305
          31    0.779205    0.777476 0.000528826
          32    0.778808    0.777518 0.000513936
          33    0.779329    0.777573 0.000501285
          34    0.775833    0.777521 0.000489147
          35    0.776413     0.77749 0.000476195
          36    0.778702    0.777523 0.000464157
          37    0.780202    0.777596 0.000457222
          38     0.77574    0.777547 0.000447791
          39    0.779945    0.777608 0.000440512
          40    0.780638    0.777684 0.000435963
          41     0.77883    0.777712 0.000426225
          42     0.77852    0.777731  0.00041651
          43    0.777019    0.777715 0.000407153
          44    0.778195    0.777726 0.000398046
          45     0.77987    0.777773 0.000392043
          46     0.77605    0.777736 0.000385306
          47    0.776045      0.7777 0.000378784
          48    0.782081    0.777791 0.000381733
          49    0.776661    0.777768  0.00037464
          50    0.777787    0.777769 0.000367147
          51    0.778018    0.777773 0.000359981
          52    0.771505    0.777653 0.000372694
          53     0.77897    0.777678  0.00036649
          54    0.779704    0.777715 0.000361619
          55    0.779186    0.777742 0.000356031
          56    0.779665    0.777776 0.000351325
          57    0.780521    0.777824 0.000348445
          58    0.777733    0.777823 0.000342441
          59    0.780989    0.777877 0.000340817
          60    0.775069     0.77783 0.000338333
          61    0.781395    0.777888 0.000337798
          62    0.774609    0.777835 0.000336465
          63    0.776584    0.777815  0.00033171
          64    0.774011    0.777756 0.000331812
          65    0.778941    0.777774 0.000327207
          66    0.778605    0.777787 0.000322492
          67    0.780685     0.77783 0.000320566
          68    0.777362    0.777823 0.000315925
          69    0.776777    0.777808  0.00031171
          70    0.778985    0.777825  0.00030771
          71    0.778366    0.777832 0.000303471
          72    0.777093    0.777822  0.00029943
          73    0.775964    0.777797 0.000296407
          74    0.778535    0.777807  0.00029257
          75    0.775656    0.777778  0.00029007
          76    0.780546    0.777814  0.00028853
          77    0.778234     0.77782 0.000284835
          78    0.773897     0.77777 0.000285588
          79    0.781286    0.777814 0.000285421
          80    0.777556    0.777811 0.000281871
          81    0.776752    0.777798 0.000278694
          82    0.780332    0.777829 0.000277003
          83    0.774849    0.777793 0.000275982
          84    0.778536    0.777802 0.000272838
          85    0.778515     0.77781 0.000269758
          86    0.779202    0.777826 0.000267106
          87    0.774545    0.777789 0.000266686
          88    0.778078    0.777792 0.000263676
          89    0.778832    0.777804 0.000260972
          90    0.769327    0.777709 0.000274543
          91    0.779039    0.777724 0.000271915
          92    0.778971    0.777738 0.000269297
          93    0.782176    0.777785 0.000270597
          94    0.775333    0.777759 0.000268972
          95    0.781692    0.777801 0.000269308
          96    0.777219    0.777795 0.000266571
          97    0.778003    0.777797 0.000263832
          98    0.777742    0.777796  0.00026114
          99    0.777987    0.777798 0.000258509
         100    0.776214    0.777782 0.000256409
         101    0.775371    0.777758 0.000254979
         102    0.778862    0.777769 0.000252709
         103    0.777206    0.777764 0.000250315
         104    0.775789    0.777745 0.000248627
         105    0.783334    0.777798 0.000251893
         106    0.778882    0.777808 0.000249724
         107    0.776406    0.777795 0.000247734
         108    0.779095    0.777807 0.000245733
         109    0.777732    0.777806 0.000243479
         110    0.775859    0.777789 0.000241908
         111    0.778493    0.777795 0.000239812
         112    0.776789    0.777786 0.000237839
         113    0.777471    0.777783 0.000235751
         114    0.774138    0.777751 0.000235841
         115    0.781513    0.777784 0.000236048
         116    0.779401    0.777798 0.000234424
         117    0.777355    0.777794 0.000232451
         118    0.777798    0.777794 0.000230481
         119    0.772688    0.777751 0.000232504
         120    0.776791    0.777743 0.000230704
         121    0.776528    0.777733 0.000229016
         122    0.778001    0.777735 0.000227149
         123    0.781199    0.777764 0.000227041
         124    0.778158    0.777767 0.000225232
         125    0.779684    0.777782 0.000223952
         126    0.781295     0.77781 0.000223903
         127    0.780419    0.777831  0.00022308
         128    0.777703     0.77783  0.00022134
         129    0.779347    0.777841 0.000219936
         130    0.781177    0.777867 0.000219736
         131    0.776666    0.777858  0.00021825
         132    0.780406    0.777877 0.000217449
         133    0.779756    0.777891 0.000216273
         134    0.777006    0.777885 0.000214759
         135       0.776    0.777871 0.000213622
         136    0.779407    0.777882 0.000212349
         137     0.77865    0.777888 0.000210873
         138    0.773694    0.777857 0.000211524
         139    0.776158    0.777845 0.000210355
         140     0.77853     0.77785 0.000208909
         141    0.776945    0.777843 0.000207526
         142    0.775878     0.77783 0.000206526
         143    0.778181    0.777832 0.000205096
         144     0.77937    0.777843  0.00020395
         145    0.776625    0.777834 0.000202716
         146    0.781187    0.777857 0.000202624
         147    0.778793    0.777864 0.000201346
         148    0.774355     0.77784 0.000201376
         149    0.775372    0.777823 0.000200705
         150    0.781238    0.777846 0.000200653
         151    0.775423     0.77783 0.000199965
         152    0.776619    0.777822 0.000198808
         153     0.78208     0.77785 0.000199447
         154     0.77469    0.777829 0.000199205
         155    0.777227    0.777826 0.000197957
         156     0.77486    0.777807 0.000197599
         157    0.776916    0.777801 0.000196422
         158    0.777374    0.777798 0.000195197
         159    0.780923    0.777818 0.000194957
         160    0.780003    0.777831 0.000194216
         161    0.779416    0.777841 0.000193259
         162    0.775164    0.777825 0.000192771
         163    0.780711    0.777842   0.0001924
         164    0.779076     0.77785 0.000191374
         165    0.782333    0.777877 0.000192133
         166    0.775278    0.777862 0.000191612
         167    0.780864    0.777879 0.000191306
         168    0.777167    0.777875 0.000190215
         169    0.777025     0.77787 0.000189156
         170    0.779157    0.777878 0.000188194
         171    0.781342    0.777898 0.000188181
         172    0.774416    0.777878 0.000188173
         173    0.778433    0.777881 0.000187112
         174    0.776864    0.777875 0.000186128
         175    0.775919    0.777864   0.0001854
         176    0.780269    0.777878 0.000184849
         177    0.777013    0.777873  0.00018387
         178    0.781987    0.777896 0.000184284
         179    0.778033    0.777897 0.000183256
         180    0.778921    0.777902 0.000182326
         181    0.776662    0.777895 0.000181447
         182    0.776359    0.777887 0.000180647
         183    0.777658    0.777886 0.000179664
         184    0.781387    0.777905 0.000179692
         185    0.779719    0.777915 0.000178989
         186    0.780278    0.777927 0.000178477
         187    0.776132    0.777918  0.00017778
         188    0.770554    0.777879 0.000181098
         189    0.783077    0.777906 0.000182216
         190    0.778554    0.777909 0.000181289
         191     0.77929    0.777917 0.000180484
         192    0.777239    0.777913 0.000179579
         193    0.777801    0.777913 0.000178649
         194     0.78024    0.777925 0.000178131
         195    0.778475    0.777927  0.00017724
         196    0.776877    0.777922 0.000176416
         197    0.774824    0.777906  0.00017622
         198    0.775673    0.777895 0.000175691
         199    0.780135    0.777906 0.000175169
         200    0.774789    0.777891 0.000174985
         201    0.779543    0.777899 0.000174307
         202    0.776238    0.777891 0.000173638
         203    0.777152    0.777887 0.000172821
         204     0.78296    0.777912 0.000173754
         205    0.777501     0.77791 0.000172918
         206    0.775534    0.777898 0.000172463
         207    0.777348    0.777896  0.00017165
         208    0.780173    0.777907 0.000171173
         209    0.777737    0.777906 0.000170356
         210    0.771343    0.777875 0.000172388
         211    0.778381    0.777877 0.000171588
         212    0.779069    0.777883 0.000170871
         213    0.778924    0.777888 0.000170138
         214    0.779238    0.777894  0.00016946
         215    0.781163    0.777909 0.000169353
         216    0.781014    0.777923 0.000169178
         217    0.772608    0.777899 0.000170162
         218    0.783579    0.777925 0.000171364
         219    0.778192    0.777926 0.000170586
         220    0.781034     0.77794 0.000170395
         221    0.776107    0.777932 0.000169826
         222    0.777725    0.777931 0.000169063
         223    0.775259    0.777919 0.000168729
         224    0.774477    0.777904 0.000168674
         225    0.780964    0.777917 0.000168472
         226    0.779743    0.777925  0.00016792
         227    0.775308    0.777914 0.000167576
         228    0.778808    0.777918 0.000166887
         229    0.777744    0.777917  0.00016616
         230    0.780443    0.777928   0.0001658
         231    0.775429    0.777917 0.000165435
         232     0.77721    0.777914  0.00016475
         233    0.779083    0.777919 0.000164119
         234    0.775178    0.777908 0.000163835
         235     0.78214    0.777926 0.000164125
         236    0.774033    0.777909 0.000164256
         237    0.778026     0.77791 0.000163563
         238    0.779433    0.777916 0.000163001
         239    0.770524    0.777885 0.000165227
         240    0.779085     0.77789 0.000164615
         241    0.773331    0.777871 0.000165015
         242    0.780016     0.77788 0.000164571
         243    0.780238     0.77789  0.00016418
         244     0.77945    0.777896 0.000163631
         245    0.779708    0.777903  0.00016313
         246    0.777458    0.777902 0.000162477
         247    0.775652    0.777893 0.000162075
         248    0.783599    0.777916 0.000163046
         249    0.777555    0.777914 0.000162398
         250    0.782027    0.777931 0.000162579
         251     0.77863    0.777933 0.000161956
         252    0.778738    0.777936 0.000161344
         253    0.777362    0.777934 0.000160723
         254    0.773598    0.777917 0.000160994
         255    0.780566    0.777928 0.000160698
         256    0.780293    0.777937 0.000160335
         257    0.776189     0.77793 0.000159856
         258    0.776527    0.777925 0.000159328
         259    0.782233    0.777941 0.000159579
         260     0.77446    0.777928 0.000159526
         261    0.781297    0.777941 0.000159436
