TEMP:         EN_AVE:          ERROR: 
0.29629     -0.00285041     0.000740975
0.293327      -0.0211019     0.000765783
0.290394      -0.0750078     0.000825236
0.28749        0.376918      0.00147511
0.284615        0.449061      0.00200298
0.281769        0.525665      0.00213822
0.278951        0.553181      0.00194892
0.276162       0.0363856      0.00129572
0.2734       -0.283011     0.000750722
0.270666      -0.0648983      0.00121124
0.267959       0.0349208      0.00177436
0.26528       -0.157577      0.00105514
0.262627       -0.179814      0.00102213
0.260001       -0.269782     0.000771325
0.257401       -0.268412     0.000674438
0.254827       -0.270822     0.000501358
0.252278       -0.294957     0.000606499
0.249756       -0.267536     0.000877746
0.247258       -0.257474     0.000831956
0.244785       -0.278241     0.000681975
0.242338       -0.153564       0.0012801
0.239914       -0.203608      0.00104863
0.237515       -0.378654     0.000479483
0.23514       -0.434592     0.000196429
0.232789       -0.305414       0.0003608
0.230461        -0.41464     0.000224357
0.228156       -0.404008     0.000345137
0.225875       -0.369572     0.000485048
0.223616       -0.314548     0.000368991
0.22138       -0.329732     0.000331828
0.219166       -0.355004      0.00030182
0.216974       -0.232753     0.000449161
0.214804       -0.303433     0.000603015
0.212656       -0.311373     0.000457999
0.21053       -0.373405     0.000281187
0.208425       -0.399588     0.000222439
0.20634       -0.382348     0.000261798
0.204277       -0.163105      0.00049485
0.202234       -0.141191     0.000504704
0.200212       0.0727922     0.000719146
0.19821       0.0132008     0.000598634
0.196228       -0.209982     0.000550926
0.194265       -0.127607     0.000509484
0.192323       -0.332647     0.000362108
0.190399       -0.387261     0.000415779
0.188495       -0.284583     0.000660619
0.18661       -0.358619     0.000461899
0.184744       -0.273437     0.000670875
0.182897        -0.35302     0.000562507
0.181068       -0.250623     0.000791153
0.179257       -0.152234     0.000866548
0.177465       -0.334079     0.000606796
0.17569       -0.376706     0.000450621
0.173933       -0.436715      0.00023587
0.172194       -0.433436     0.000219255
0.170472       -0.404343     0.000318277
0.168767       -0.444352     0.000199307
0.167079       -0.443677     0.000243992
0.165409       -0.439877     0.000238109
0.163755       -0.226714     0.000571667
0.162117       -0.226556     0.000473839
0.160496       -0.275059     0.000397652
0.158891       -0.346356     0.000350806
0.157302       -0.384382      0.00033042
0.155729       -0.389744     0.000305659
0.154172       -0.370359     0.000317317
0.15263        -0.33158     0.000441146
0.151104        -0.22644     0.000561278
0.149593        -0.16699     0.000669005
0.148097         0.11334      0.00105502
0.146616        0.156291      0.00103561
0.14515     -0.00818375     0.000661056
0.143698        -0.29277      0.00039257
0.142261       -0.134283     0.000531144
0.140838       -0.285904     0.000390563
0.13943       -0.428863     0.000276995
0.138036       -0.400835     0.000385846
0.136655       -0.438302     0.000251351
0.135289       -0.441149     0.000203489
0.133936       -0.426563     0.000289197
0.132597       -0.358264     0.000334264
0.131271       -0.411522     0.000219524
0.129958       -0.375294     0.000508285
0.128658        -0.44159     0.000214448
0.127372        -0.43378     0.000253035
0.126098       -0.442265     0.000233245
0.124837       -0.443353     0.000197198
0.123589       -0.430651     0.000227204
0.122353       -0.444209     0.000230879
0.121129       -0.423022     0.000304761
0.119918       -0.373645     0.000419123
0.118719       -0.410056     0.000313125
0.117532       -0.373517     0.000425703
0.116356       -0.393247     0.000357545
0.115193       -0.444384     0.000205346
0.114041       -0.441626     0.000215806
0.1129       -0.440446     0.000201253
0.111771        -0.41589     0.000223943
0.110654       -0.411768     0.000289281
0.109547       -0.430365     0.000240625
0.108452       -0.424388     0.000277399
0.107367       -0.413762     0.000313037
0.106294       -0.424211     0.000260438
0.105231       -0.375783     0.000502562
0.104178       -0.394809       0.0003845
0.103137       -0.338147     0.000526209
0.102105       -0.388235     0.000310768
0.101084        -0.43422     0.000222232
0.100073       -0.434899     0.000292601
0.0990725       -0.433664     0.000240413
0.0980818        -0.42222     0.000261192
0.097101       -0.430096     0.000320088
0.09613       -0.439236     0.000208805
0.0951687       -0.443199     0.000199566
0.094217       -0.419286     0.000268693
0.0932748       -0.425471     0.000247184
0.0923421        -0.42853     0.000228726
0.0914186       -0.383894     0.000296712
0.0905044       -0.389718     0.000237237
0.0895994       -0.432791     0.000230917
0.0887034       -0.418222     0.000240156
0.0878164       -0.429159     0.000209233
0.0869382       -0.442678     0.000212163
0.0860688       -0.433435     0.000276086
0.0852081       -0.440356     0.000234423
0.0843561       -0.444426     0.000222561
0.0835125       -0.443721     0.000206132
0.0826774       -0.442103     0.000230561
0.0818506       -0.444276     0.000233624
0.0810321       -0.443771     0.000205633
0.0802218       -0.443626     0.000202788
0.0794196       -0.434706     0.000299729
0.0786254       -0.433004     0.000251991
0.0778391       -0.435749     0.000229895
0.0770607       -0.425802     0.000300845
0.0762901       -0.442063     0.000234781
0.0755272       -0.438592     0.000246941
0.0747719       -0.439616     0.000219799
0.0740242       -0.421378     0.000274453
0.073284       -0.432118      0.00025615
0.0725511       -0.430092     0.000292256
0.0718256       -0.426352      0.00028924
0.0711074       -0.428215     0.000314395
0.0703963       -0.427254     0.000298563
0.0696923       -0.438076     0.000264937
0.0689954       -0.434697     0.000294016
0.0683055       -0.417767     0.000238305
0.0676224       -0.424215     0.000228171
0.0669462       -0.434778     0.000230941
0.0662767       -0.443724     0.000214398
0.0656139       -0.439592     0.000187658
0.0649578       -0.439541     0.000241951
0.0643082       -0.435562     0.000215834
0.0636651        -0.41894     0.000258016
0.0630285       -0.407566     0.000225635
0.0623982       -0.381155     0.000310786
0.0617742       -0.385393     0.000298582
0.0611565       -0.380084     0.000295692
0.0605449       -0.399461     0.000321091
0.0599395       -0.406816     0.000318644
0.0593401       -0.401559     0.000298321
0.0587467       -0.395264       0.0003156
0.0581592       -0.391938     0.000309792
0.0575776       -0.394949     0.000280306
0.0570018       -0.400764     0.000296747
0.0564318       -0.399823     0.000345054
0.0558675       -0.409118     0.000269108
0.0553088       -0.404529     0.000289372
0.0547557       -0.400212     0.000311285
0.0542082       -0.375844     0.000350215
0.0536661       -0.379869     0.000353668
0.0531294       -0.372623      0.00026487
0.0525981       -0.380131     0.000301722
0.0520722       -0.400378     0.000271479
0.0515514       -0.377915     0.000313555
0.0510359       -0.382905     0.000344758
0.0505256       -0.396088     0.000262343
0.0500203        -0.41698     0.000257201
0.0495201       -0.416484     0.000235513
0.0490249        -0.40648     0.000260878
0.0485347       -0.393123     0.000300781
0.0480493       -0.415264     0.000268253
0.0475688       -0.409382     0.000253692
0.0470931        -0.40465     0.000312927
0.0466222       -0.401833      0.00034402
0.046156       -0.392036     0.000389225
0.0456944        -0.39189     0.000420562
0.0452375       -0.404277     0.000336466
0.0447851       -0.386464     0.000405186
0.0443372       -0.397116     0.000365399
0.0438939       -0.403062     0.000367505
0.0434549       -0.398818      0.00030362
0.0430204        -0.41113      0.00031733
0.0425902       -0.414805     0.000272063
0.0421643       -0.413063     0.000317561
0.0417426       -0.421982      0.00031701
0.0413252       -0.421827     0.000286407
0.040912       -0.415598     0.000334893
0.0405028       -0.423028     0.000297491
0.0400978       -0.417278     0.000363686
0.0396968       -0.422268     0.000300704
0.0392999       -0.403117     0.000374659
0.0389069       -0.403428     0.000422594
0.0385178       -0.400897     0.000365273
0.0381326       -0.412819     0.000297406
0.0377513       -0.409291     0.000364347
0.0373738        -0.40965     0.000371482
0.037       -0.420308     0.000315319
0.03663       -0.411969     0.000349582
0.0362637       -0.430275     0.000291125
0.0359011       -0.428848     0.000288295
0.0355421       -0.434603     0.000235043
0.0351867       -0.434131     0.000255296
0.0348348       -0.428496     0.000205346
0.0344865       -0.432655     0.000227391
0.0341416       -0.424058     0.000228209
0.0338002       -0.422912     0.000218203
0.0334622        -0.43356     0.000218113
0.0331276       -0.439732     0.000206238
0.0327963       -0.443258     0.000188084
0.0324683       -0.439632      0.00020602
0.0321436       -0.437069     0.000209186
0.0318222       -0.438587     0.000214086
0.031504       -0.438551     0.000197548
0.0311889       -0.438948     0.000234692
0.030877       -0.441026     0.000233575
0.0305683       -0.442566     0.000227389
0.0302626       -0.443723     0.000222411
0.02996       -0.443989     0.000228028
0.0296604       -0.443685     0.000190686
0.0293638       -0.442282     0.000239513
0.0290701       -0.444123     0.000227326
0.0287794       -0.442665     0.000216045
0.0284916       -0.444094     0.000230269
0.0282067       -0.443343     0.000223372
0.0279246       -0.440401     0.000212527
0.0276454       -0.441043     0.000200474
0.0273689       -0.443852     0.000241113
0.0270953       -0.440324     0.000241435
0.0268243       -0.432646     0.000270102
0.0265561       -0.436504     0.000279681
0.0262905       -0.442314     0.000252169
0.0260276       -0.438719     0.000257001
0.0257673       -0.436979     0.000228041
0.0255096       -0.434004     0.000247149
0.0252546         -0.4326     0.000253092
0.025002        -0.43373     0.000255272
0.024752       -0.433908     0.000256562
0.0245045       -0.442734     0.000237023
0.0242594       -0.442387     0.000211356
0.0240168       -0.442246     0.000229985
0.0237767        -0.44244     0.000217092
0.0235389       -0.439819     0.000206567
0.0233035       -0.441932     0.000222938
0.0230705       -0.439549     0.000217571
0.0228398        -0.43841      0.00024055
0.0226114       -0.441609      0.00023317
0.0223853       -0.441198     0.000228039
0.0221614       -0.444255     0.000206088
0.0219398       -0.443931     0.000230476
0.0217204        -0.44416     0.000226303
0.0215032        -0.44443     0.000206882
0.0212882       -0.444453     0.000213788
0.0210753        -0.44319     0.000209012
0.0208645       -0.440579      0.00022919
0.0206559       -0.435025     0.000211519
0.0204493       -0.434179     0.000206573
0.0202448       -0.436223     0.000226195
0.0200424       -0.439027     0.000228931
0.0198419       -0.440938     0.000196226
0.0196435       -0.439441     0.000221315
0.0194471       -0.440854     0.000197075
0.0192526       -0.438412     0.000244798
0.0190601       -0.440609     0.000244685
0.0188695       -0.441034     0.000203507
0.0186808       -0.432668     0.000252137
0.018494       -0.433695     0.000230967
0.0183091       -0.433595      0.00020007
0.018126       -0.436064     0.000249912
0.0179447       -0.436521     0.000204793
0.0177653       -0.438839     0.000225419
0.0175876       -0.439137     0.000245634
0.0174117       -0.436156     0.000239257
0.0172376        -0.43675     0.000255691
0.0170652       -0.436182     0.000280162
0.0168946       -0.437994     0.000255472
0.0167256       -0.439658     0.000225954
0.0165584        -0.43816     0.000235585
0.0163928       -0.437325     0.000251578
0.0162289       -0.435137     0.000242975
0.0160666       -0.438589     0.000275788
0.0159059       -0.440072     0.000268862
0.0157469        -0.44125     0.000234306
0.0155894       -0.440644     0.000227957
0.0154335       -0.439826     0.000226797
0.0152792       -0.441038     0.000241988
0.0151264        -0.44024     0.000212686
0.0149751       -0.438945     0.000219948
0.0148254       -0.439942     0.000223407
0.0146771       -0.440671     0.000189956
0.0145303       -0.441579     0.000203234
0.014385       -0.439874     0.000241815
0.0142412       -0.438809     0.000216387
0.0140988       -0.439421     0.000221862
0.0139578       -0.438126     0.000219077
0.0138182       -0.439581       0.0002219
0.01368       -0.435419     0.000206533
0.0135432        -0.43657     0.000238579
0.0134078       -0.436682     0.000212672
0.0132737       -0.435422     0.000239178
0.013141       -0.435895     0.000267584
0.0130096       -0.433422     0.000231324
0.0128795       -0.433468     0.000264429
0.0127507        -0.43532     0.000224903
0.0126232       -0.433381     0.000269029
