#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.53039     2.53039           0
           2     2.52668     2.52854  0.00131156
           3     2.52966     2.52891 0.000926468
           4     2.52683     2.52839 0.000828553
           5     2.52134     2.52698  0.00142491
           6      2.5291     2.52733  0.00123033
           7     2.52358      2.5268  0.00116553
           8     2.53033     2.52724   0.0011003
           9     2.51448     2.52582  0.00165611
          10     2.52823     2.52606  0.00150793
          11     2.52482     2.52595  0.00137503
          12     2.52805     2.52612  0.00127156
          13     2.53027     2.52644  0.00121309
          14     2.52533     2.52636  0.00112906
          15     2.52394      2.5262  0.00106533
          16     2.51908     2.52576  0.00108767
          17     2.53652     2.52639  0.00119394
          18     2.52929     2.52655  0.00113845
          19      2.5382     2.52716  0.00123261
          20     2.52435     2.52702  0.00117898
          21     2.52337     2.52685  0.00113561
          22     2.52919     2.52696  0.00108896
          23      2.5268     2.52695  0.00104163
          24     2.52671     2.52694  0.00099828
          25     2.53835      2.5274  0.00105753
          26     2.52888     2.52745   0.0010184
          27     2.52405     2.52733  0.00098844
          28     2.53211      2.5275 0.000967798
          29     2.53466     2.52775  0.00096541
          30     2.52847     2.52777 0.000933528
          31      2.5367     2.52806  0.00094682
          32     2.51879     2.52777 0.000960535
          33     2.51999     2.52753 0.000959915
          34     2.52651      2.5275 0.000932156
          35     2.52222     2.52735 0.000917646
          36     2.52802     2.52737 0.000892346
          37     2.52521     2.52731 0.000870134
          38      2.5324     2.52745 0.000857496
          39      2.5285     2.52747 0.000835933
          40      2.5302     2.52754 0.000817804
          41     2.53204     2.52765 0.000805199
          42     2.53238     2.52776 0.000793866
          43     2.53849     2.52801 0.000813668
          44     2.53666     2.52821 0.000818553
          45     2.54338     2.52855 0.000866982
          46     2.52177      2.5284 0.000860551
          47     2.52683     2.52836 0.000842891
          48     2.53794     2.52856 0.000848622
          49     2.52266     2.52844 0.000839811
          50     2.51629      2.5282 0.000857476
