#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.682247   -0.682247           0
           2   -0.682194   -0.682221  1.9007e-05
           3   -0.682112   -0.682184 3.22289e-05
           4   -0.682094   -0.682162 3.10676e-05
           5   -0.682009   -0.682131 3.69135e-05
           6    -0.68241   -0.682178  5.2332e-05
           7   -0.682456   -0.682217 5.80238e-05
           8     -0.6822   -0.682215 5.08094e-05
           9   -0.682289   -0.682223 4.58126e-05
          10   -0.682173   -0.682218 4.15091e-05
          11   -0.682302   -0.682226 3.84191e-05
          12   -0.682199   -0.682224 3.52826e-05
          13   -0.682121   -0.682216 3.34385e-05
          14   -0.682352   -0.682226 3.24287e-05
          15   -0.682433   -0.682239 3.30804e-05
          16   -0.682352   -0.682246 3.17504e-05
          17   -0.682464   -0.682259 3.23523e-05
          18   -0.682338   -0.682264  3.0849e-05
          19   -0.682058   -0.682253 3.10651e-05
          20    -0.68211   -0.682246 3.03205e-05
          21    -0.68242   -0.682254 2.99976e-05
          22   -0.682468   -0.682264 3.01773e-05
          23    -0.68233   -0.682267 2.90019e-05
          24   -0.682117    -0.68226 2.84504e-05
          25   -0.682058   -0.682252 2.84351e-05
          26    -0.68213   -0.682248 2.77252e-05
          27    -0.68197   -0.682237 2.85346e-05
          28   -0.682225   -0.682237 2.75191e-05
          29   -0.682392   -0.682242 2.70864e-05
          30   -0.682402   -0.682248 2.67028e-05
          31   -0.682203   -0.682246 2.58805e-05
          32   -0.682104   -0.682242 2.54494e-05
          33   -0.682501   -0.682249  2.5861e-05
          34   -0.682278    -0.68225 2.51135e-05
          35   -0.681993   -0.682243 2.54464e-05
          36   -0.682063   -0.682238 2.52251e-05
          37   -0.682396   -0.682242 2.49002e-05
          38   -0.682248   -0.682242 2.42453e-05
          39   -0.682458   -0.682248 2.42445e-05
          40   -0.682339    -0.68225 2.37456e-05
          41   -0.682504   -0.682256 2.39569e-05
          42   -0.682069   -0.682252  2.3798e-05
          43   -0.682244   -0.682252 2.32453e-05
          44   -0.682524   -0.682258 2.35264e-05
          45   -0.682027   -0.682253 2.35559e-05
          46   -0.682523   -0.682259 2.37627e-05
          47   -0.682071   -0.682255 2.35908e-05
          48   -0.682393   -0.682258 2.32744e-05
          49   -0.682332   -0.682259  2.2849e-05
          50   -0.682368   -0.682261 2.24964e-05
