#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     44.4944     44.4944           0
           2     44.4481     44.4712   0.0163641
           3     43.9556     44.2993    0.140755
           4     44.1413     44.2598    0.110975
           5     44.0337     44.2146   0.0975629
           6     43.9799     44.1755   0.0887955
           7     44.1142     44.1667   0.0765407
           8     43.9322     44.1374   0.0723705
           9     44.3097     44.1566   0.0668121
          10     44.2946     44.1704   0.0615399
          11     44.4919     44.1996   0.0625047
          12     44.4222     44.2181   0.0599863
          13     43.9416     44.1969   0.0590244
          14     44.2711     44.2022   0.0550459
          15     43.9487     44.1853   0.0539075
          16     44.0208      44.175   0.0515085
          17     43.9801     44.1635   0.0497374
          18     44.2158     44.1664   0.0470589
          19     44.3709     44.1772   0.0457958
          20     44.6514     44.2009    0.049263
          21     44.3285      44.207   0.0472903
          22     43.7545     44.1864   0.0494119
          23     43.9264     44.1751   0.0485392
          24     44.3466     44.1823     0.04704
          25     44.2289     44.1841   0.0451954
          26     43.9197      44.174   0.0445867
          27     44.3719     44.1813   0.0435338
          28     44.2667     44.1843   0.0420858
          29     44.4187     44.1924   0.0414034
          30      44.614     44.2065   0.0423406
          31     44.1197     44.2037   0.0410671
          32     44.3154     44.2072    0.039932
          33     44.0705      44.203   0.0389362
          34     44.0584     44.1988   0.0380225
          35     44.1893     44.1985   0.0369371
          36      43.615     44.1823   0.0393062
          37     44.0765     44.1794   0.0383477
          38     43.7655     44.1685   0.0388549
          39     43.9682     44.1634   0.0381967
          40     44.2013     44.1644   0.0372535
          41     44.8588     44.1813    0.040011
          42     43.9017     44.1746   0.0396083
          43     44.1298     44.1736   0.0387009
          44     44.5958     44.1832   0.0389926
          45     43.9472     44.1779   0.0384771
          46     44.5843     44.1868   0.0386415
          47     43.9514     44.1818   0.0381425
          48     44.2564     44.1833   0.0373796
          49     43.8896     44.1773   0.0370943
          50     44.0892     44.1756   0.0363943
