#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.980939    0.980939           0
           2    0.980946    0.980942 2.44659e-06
           3    0.981095    0.980993  4.1472e-05
           4    0.981002    0.980995 3.11598e-05
           5    0.980749    0.980946  5.0617e-05
           6    0.980809    0.980923 4.70211e-05
           7    0.980817    0.980908 4.26956e-05
           8    0.980956    0.980914 3.77832e-05
           9    0.981145     0.98094 4.13772e-05
          10    0.980925    0.980938  3.7266e-05
          11    0.981027    0.980946 3.47492e-05
          12    0.980949    0.980947  3.1854e-05
          13    0.980953    0.980947 2.94077e-05
          14    0.980997    0.980951 2.75251e-05
          15    0.980892    0.980947  2.5967e-05
          16    0.980622    0.980926 3.12727e-05
          17    0.980623    0.980909 3.41542e-05
          18    0.980994    0.980913 3.25814e-05
          19     0.98061    0.980897 3.45482e-05
          20    0.980805    0.980893 3.31283e-05
          21    0.980858    0.980891 3.15926e-05
          22    0.981011    0.980897  3.0627e-05
          23    0.981062    0.980904 3.01261e-05
          24    0.980925    0.980905 2.88836e-05
          25    0.980831    0.980902 2.78767e-05
          26    0.980966    0.980904 2.69136e-05
          27    0.981015    0.980908 2.62258e-05
          28    0.981033    0.980913 2.56632e-05
          29    0.980921    0.980913   2.478e-05
          30    0.980819     0.98091 2.41494e-05
          31    0.980935    0.980911 2.33839e-05
          32    0.981004    0.980914 2.28358e-05
          33    0.980816    0.980911 2.23353e-05
          34    0.980929    0.980911 2.16848e-05
          35    0.980944    0.980912 2.10849e-05
          36    0.981155    0.980919 2.15551e-05
          37    0.981189    0.980926 2.21788e-05
          38    0.980672    0.980919 2.25774e-05
          39    0.980793    0.980916 2.22306e-05
          40    0.980966    0.980917 2.17098e-05
          41    0.980874    0.980916 2.12062e-05
          42    0.980994    0.980918 2.07821e-05
          43    0.980932    0.980919 2.03011e-05
          44    0.980935    0.980919 1.98431e-05
          45    0.980844    0.980917 1.94723e-05
          46    0.981043     0.98092 1.92396e-05
          47    0.981049    0.980923 1.90263e-05
          48    0.981027    0.980925 1.87538e-05
          49    0.980881    0.980924 1.83923e-05
          50    0.980859    0.980923  1.8071e-05
