#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     5.60201     5.60201           0
           2     5.61921     5.61061  0.00608174
           3     5.57496     5.59873   0.0105148
           4     5.61434     5.60263  0.00858001
           5     5.60436     5.60298  0.00687093
           6     5.61358     5.60474  0.00594892
           7     5.62717     5.60795  0.00589923
           8     5.60577     5.60768  0.00516811
           9     5.58498     5.60515  0.00517267
          10     5.57014     5.60165  0.00571923
          11     5.58388     5.60004  0.00542273
          12     5.59742     5.59982   0.0049752
          13     5.59799     5.59968  0.00459448
          14     5.58887     5.59891  0.00433069
          15      5.6137     5.59989  0.00415274
          16     5.59836      5.5998  0.00389431
          17     5.60836      5.6003  0.00369768
          18     5.60693     5.60067  0.00351055
          19     5.60575     5.60094  0.00333596
          20     5.61527     5.60165  0.00324521
          21     5.60523     5.60182  0.00309514
          22     5.62942     5.60308  0.00319863
          23     5.61838     5.60374  0.00312802
          24     5.61538     5.60423  0.00303505
          25     5.60175     5.60413  0.00291526
          26     5.61182     5.60442  0.00281811
          27     5.60322     5.60438  0.00271409
          28     5.57322     5.60327  0.00283616
          29     5.60063     5.60318  0.00273982
          30       5.603     5.60317   0.0026485
          31     5.61569     5.60357  0.00259366
          32     5.62524     5.60425  0.00259949
          33     5.60458     5.60426  0.00252074
          34     5.58103     5.60358  0.00253755
          35     5.61895     5.60402  0.00250276
          36     5.61586     5.60435  0.00245475
          37     5.60591     5.60439  0.00238877
          38     5.59753     5.60421  0.00233271
          39     5.58241     5.60365  0.00233891
          40      5.5903     5.60332  0.00230413
          41     5.58692     5.60292  0.00228235
          42     5.58107      5.6024  0.00228649
          43     5.60353     5.60242  0.00223346
          44     5.58923     5.60212  0.00220273
          45     5.57559     5.60153   0.0022313
          46     5.57091     5.60087  0.00227995
          47     5.62844     5.60145  0.00230569
          48     5.59645     5.60135     0.00226
          49     5.60949     5.60152  0.00221998
          50     5.59111     5.60131   0.0021853
