#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.662934    0.662934           0
           2    0.663752    0.663343 0.000289221
           3     0.66312    0.663268 0.000202131
           4    0.662757    0.663141 0.000187666
           5    0.663026    0.663118 0.000151536
           6    0.663766    0.663226 0.000160214
           7    0.663914    0.663324 0.000164786
           8    0.663861    0.663391  0.00015726
           9    0.663751    0.663431 0.000144778
          10    0.662957    0.663384 0.000137834
          11    0.662861    0.663336 0.000133245
          12    0.664195    0.663408 0.000140043
          13    0.662881    0.663367 0.000135008
          14    0.663268     0.66336 0.000125549
          15     0.66358    0.663375 0.000118031
          16    0.663641    0.663391 0.000111818
          17    0.663921    0.663423 0.000109495
          18    0.663665    0.663436 0.000104237
          19    0.663613    0.663445 9.91642e-05
          20    0.663063    0.663426 9.60302e-05
          21    0.663495    0.663429 9.15133e-05
          22    0.663441     0.66343  8.7355e-05
          23    0.663117    0.663416 8.46112e-05
          24    0.663447    0.663418 8.10954e-05
          25    0.663895    0.663437 8.00675e-05
          26    0.663623    0.663444 7.73066e-05
          27    0.662787     0.66342 7.81757e-05
          28    0.662976    0.663404 7.69722e-05
          29    0.663901    0.663421 7.62059e-05
          30    0.663869    0.663436 7.51138e-05
          31    0.662892    0.663418 7.47096e-05
          32    0.663933    0.663434 7.40859e-05
          33    0.664385    0.663463  7.7242e-05
          34    0.662368    0.663431 8.14074e-05
          35      0.6633    0.663427 7.91681e-05
          36    0.662077     0.66339 8.53983e-05
          37     0.66346    0.663392 8.31115e-05
          38     0.66302    0.663382 8.14984e-05
          39     0.66374    0.663391 7.99242e-05
          40    0.663216    0.663387 7.80458e-05
          41    0.664103    0.663404 7.80741e-05
          42    0.663038    0.663395 7.67005e-05
          43    0.661715    0.663356 8.42914e-05
          44    0.663764    0.663366 8.28845e-05
          45    0.662911    0.663355 8.16551e-05
          46    0.663962    0.663369 8.09389e-05
          47    0.663255    0.663366 7.92528e-05
          48    0.663451    0.663368 7.76215e-05
          49    0.663443     0.66337 7.60523e-05
          50    0.664089    0.663384 7.58811e-05
