#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.646428   -0.646428           0
           2   -0.646331   -0.646379 3.41108e-05
           3   -0.646388   -0.646382 2.28641e-05
           4   -0.646347   -0.646373 1.87711e-05
           5   -0.646238   -0.646346 2.84454e-05
           6   -0.646322   -0.646342 2.39869e-05
           7   -0.646688   -0.646392  5.0113e-05
           8   -0.646626   -0.646421 5.16787e-05
           9   -0.646301   -0.646408 4.76195e-05
          10   -0.646453   -0.646412  4.3075e-05
          11   -0.646408   -0.646412 3.91609e-05
          12    -0.64651    -0.64642 3.67358e-05
          13   -0.646431   -0.646421  3.3919e-05
          14   -0.646584   -0.646432 3.34385e-05
          15    -0.64665   -0.646447  3.4208e-05
          16   -0.646534   -0.646452 3.24951e-05
          17   -0.646452   -0.646452 3.05836e-05
          18   -0.646758   -0.646469 3.32735e-05
          19   -0.646434   -0.646467 3.15739e-05
          20   -0.646538   -0.646471 3.01922e-05
          21   -0.646565   -0.646475  2.9087e-05
          22   -0.646546   -0.646479 2.79393e-05
          23   -0.646766   -0.646491 2.93849e-05
          24   -0.646393   -0.646487 2.84461e-05
          25   -0.646309    -0.64648 2.81897e-05
          26   -0.646577   -0.646484 2.73519e-05
          27   -0.646276   -0.646476 2.73992e-05
          28    -0.64656   -0.646479 2.65847e-05
          29    -0.64654   -0.646481 2.57525e-05
          30   -0.646695   -0.646488 2.58627e-05
          31   -0.646316   -0.646483  2.5619e-05
          32   -0.646353   -0.646479 2.51389e-05
          33    -0.64667   -0.646484 2.50343e-05
          34   -0.646466   -0.646484 2.43036e-05
          35   -0.646445   -0.646483 2.36345e-05
          36   -0.646501   -0.646483 2.29832e-05
          37   -0.646537   -0.646485 2.24079e-05
          38   -0.646823   -0.646494 2.35242e-05
          39   -0.646731     -0.6465  2.3695e-05
          40   -0.646534   -0.646501 2.31185e-05
          41   -0.646448   -0.646499 2.25901e-05
          42   -0.646612   -0.646502 2.22102e-05
          43   -0.646377   -0.646499  2.1882e-05
          44   -0.646469   -0.646498 2.13954e-05
          45   -0.646325   -0.646495 2.12643e-05
          46   -0.646466   -0.646494 2.08109e-05
          47   -0.646354   -0.646491 2.05796e-05
          48   -0.646744   -0.646496 2.08155e-05
          49   -0.646581   -0.646498  2.0463e-05
          50   -0.646649   -0.646501 2.02757e-05
