#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.892381   -0.892381           0
           2   -0.891632   -0.892006 0.000264981
           3   -0.892285   -0.892099 0.000192251
           4   -0.891739   -0.892009 0.000163927
           5   -0.891967   -0.892001 0.000131356
           6   -0.892113    -0.89202  0.00011079
           7   -0.891801   -0.891989 9.92529e-05
           8   -0.891661   -0.891948 9.49163e-05
           9   -0.892022   -0.891956  8.4727e-05
          10   -0.892111   -0.891971 7.76648e-05
          11   -0.892053   -0.891979 7.09545e-05
          12   -0.892527   -0.892024 7.83856e-05
          13   -0.891859   -0.892012  7.3377e-05
          14    -0.89217   -0.892023 6.90052e-05
          15   -0.892259   -0.892039 6.61699e-05
          16   -0.891992   -0.892036 6.20999e-05
          17   -0.891782   -0.892021 6.02128e-05
          18   -0.891721   -0.892004  5.9126e-05
          19   -0.891786   -0.891993 5.71229e-05
          20   -0.891644   -0.891975 5.68629e-05
          21   -0.892157   -0.891984 5.48128e-05
          22   -0.891801   -0.891976 5.29503e-05
          23   -0.891867   -0.891971 5.08596e-05
          24   -0.892057   -0.891974 4.88663e-05
          25    -0.89224   -0.891985 4.80539e-05
          26   -0.891674   -0.891973 4.76712e-05
          27   -0.891621    -0.89196 4.76612e-05
          28   -0.892003   -0.891962 4.59831e-05
          29   -0.892047   -0.891965 4.44909e-05
          30   -0.892278   -0.891975 4.42165e-05
          31   -0.892094   -0.891979 4.29564e-05
          32   -0.891756   -0.891972 4.21722e-05
          33   -0.891954   -0.891971 4.08978e-05
          34   -0.891734   -0.891964 4.02855e-05
          35   -0.892068   -0.891967 3.92421e-05
          36   -0.891862   -0.891964 3.82609e-05
          37   -0.892137   -0.891969   3.751e-05
          38   -0.892108   -0.891973 3.67005e-05
          39    -0.89238   -0.891983  3.7216e-05
          40   -0.891842    -0.89198 3.64526e-05
          41   -0.892068   -0.891982 3.56278e-05
          42   -0.891698   -0.891975 3.54133e-05
          43    -0.89219    -0.89198 3.49411e-05
          44   -0.892568   -0.891993 3.66113e-05
          45      -0.892   -0.891994  3.5798e-05
          46   -0.892521   -0.892005 3.68093e-05
          47   -0.891801   -0.892001 3.62807e-05
          48   -0.892685   -0.892015 3.82223e-05
          49   -0.892074   -0.892016 3.74613e-05
          50    -0.89174   -0.892011 3.71183e-05
