#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     15.2072     15.2072           0
           2     15.1502     15.1787    0.020124
           3     15.2802     15.2125   0.0307042
           4      15.136     15.1934   0.0283745
           5     15.2741     15.2095   0.0269021
           6     15.2693     15.2195   0.0241945
           7     15.2252     15.2203    0.020752
           8     15.1868     15.2161   0.0185759
           9     15.1864     15.2128   0.0168031
          10     15.2943      15.221   0.0169816
          11      15.276      15.226    0.016158
          12     15.2007     15.2239   0.0149478
          13      15.257     15.2264   0.0140135
          14     15.2478     15.2279   0.0130955
          15     15.1017     15.2195   0.0146808
          16     15.0619     15.2097   0.0167446
          17     15.0901     15.2026   0.0171726
          18     15.3598     15.2114   0.0183038
          19     15.3133     15.2167   0.0181095
          20     15.1506     15.2134   0.0175035
          21     15.2045      15.213   0.0166752
          22     15.2185     15.2133   0.0159191
          23     15.3415     15.2188   0.0161736
          24     15.1933     15.2178   0.0155345
          25      15.057     15.2113    0.016189
          26     15.1776       15.21   0.0156182
          27     15.1712     15.2086    0.015106
          28     15.0732     15.2038   0.0153208
          29     15.2606     15.2057   0.0149175
          30     15.2356     15.2067   0.0144533
          31     15.2424     15.2079   0.0140329
          32     15.2458     15.2091   0.0136444
          33     15.2288     15.2097    0.013244
          34      15.263     15.2112    0.012947
          35     15.1629     15.2098   0.0126504
          36     15.2087     15.2098    0.012299
          37     15.1677     15.2087   0.0120191
          38      15.161     15.2074   0.0117683
          39     15.3305     15.2106   0.0118819
          40     15.1307     15.2086   0.0117516
          41     15.2189     15.2088   0.0114677
          42     15.2498     15.2098    0.011236
          43     15.1263     15.2079   0.0111411
          44     15.2598      15.209   0.0109501
          45     15.2695     15.2104   0.0107889
          46     15.2588     15.2114   0.0106055
          47     15.2058     15.2113   0.0103806
          48     15.2054     15.2112    0.010165
          49     15.2908     15.2128   0.0100867
          50     15.2173     15.2129   0.0098854
