#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.84849    -0.84849           0
           2   -0.848244   -0.848367 8.69458e-05
           3   -0.848426   -0.848387 6.01412e-05
           4   -0.847971   -0.848283 0.000100746
           5   -0.848449   -0.848316 8.59163e-05
           6   -0.848605   -0.848364  8.4029e-05
           7   -0.848353   -0.848363 7.20416e-05
           8   -0.848118   -0.848332 6.92173e-05
           9   -0.848208   -0.848318  6.2874e-05
          10   -0.848405   -0.848327 5.71769e-05
          11   -0.848369   -0.848331 5.21084e-05
          12   -0.848004   -0.848304 5.44248e-05
          13   -0.848378   -0.848309  5.0542e-05
          14   -0.848479   -0.848321 4.83556e-05
          15   -0.847946   -0.848296 5.11902e-05
          16   -0.848174   -0.848289 4.85618e-05
          17   -0.848277   -0.848288 4.57105e-05
          18   -0.848454   -0.848297 4.40915e-05
          19   -0.848795   -0.848323 4.89286e-05
          20   -0.847997   -0.848307 4.91242e-05
          21   -0.848194   -0.848302 4.70801e-05
          22   -0.848335   -0.848303 4.49638e-05
          23   -0.848924    -0.84833 5.04623e-05
          24   -0.848345   -0.848331 4.83634e-05
          25   -0.848044   -0.848319 4.77726e-05
          26   -0.848231   -0.848316 4.60571e-05
          27   -0.848271   -0.848314 4.43814e-05
          28   -0.847994   -0.848303 4.42426e-05
          29   -0.848344   -0.848304 4.27395e-05
          30   -0.848322   -0.848305 4.13191e-05
          31   -0.848245   -0.848303 4.00318e-05
          32   -0.848486   -0.848309 3.91892e-05
          33   -0.848337   -0.848309 3.80112e-05
          34   -0.848768   -0.848323 3.92096e-05
          35   -0.848203    -0.84832 3.82397e-05
          36   -0.848238   -0.848317 3.72446e-05
          37   -0.848345   -0.848318 3.62457e-05
          38   -0.848078   -0.848312 3.58391e-05
          39   -0.848653    -0.84832  3.5974e-05
          40   -0.848013   -0.848313 3.58872e-05
          41   -0.848222   -0.848311 3.50805e-05
          42   -0.848308    -0.84831 3.42453e-05
          43   -0.848276    -0.84831 3.34582e-05
          44   -0.848518   -0.848314 3.30305e-05
          45   -0.848314   -0.848314 3.22965e-05
          46   -0.848609   -0.848321 3.22225e-05
          47   -0.848313   -0.848321 3.15373e-05
          48   -0.848474   -0.848324 3.10417e-05
          49   -0.848513   -0.848328 3.06477e-05
          50   -0.848498   -0.848331 3.02229e-05
