#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.935417   -0.935417           0
           2   -0.935459   -0.935438 1.47785e-05
           3   -0.935187   -0.935355 6.89288e-05
           4   -0.934753   -0.935204   0.0001401
           5   -0.935607   -0.935285 0.000133252
           6   -0.934938   -0.935227 0.000122919
           7   -0.935857   -0.935317 0.000134307
           8   -0.935046   -0.935283 0.000121723
           9   -0.935628   -0.935321 0.000114064
          10   -0.934935   -0.935283 0.000108991
          11   -0.935041   -0.935261 0.000101267
          12   -0.935033   -0.935242 9.45936e-05
          13   -0.934921   -0.935217 9.04805e-05
          14   -0.935025   -0.935203 8.50515e-05
          15   -0.936017   -0.935258 9.51111e-05
          16   -0.934972    -0.93524 9.08289e-05
          17   -0.934543   -0.935199 9.42889e-05
          18   -0.935557   -0.935219 9.11236e-05
          19   -0.935364   -0.935226 8.66478e-05
          20   -0.935511   -0.935241 8.34788e-05
          21   -0.934709   -0.935215 8.32477e-05
          22   -0.935458   -0.935226 8.01897e-05
          23   -0.935069   -0.935219 7.69943e-05
          24    -0.93571    -0.93524 7.64526e-05
          25   -0.935329   -0.935243 7.34778e-05
          26   -0.934852   -0.935228 7.21805e-05
          27   -0.935612   -0.935243 7.08926e-05
          28   -0.935295   -0.935245 6.83856e-05
          29    -0.93503   -0.935237 6.64257e-05
          30   -0.934903   -0.935226   6.514e-05
          31   -0.934218   -0.935193 7.06832e-05
          32   -0.935282   -0.935196  6.8529e-05
          33   -0.934449   -0.935174  7.0096e-05
          34    -0.93537   -0.935179 6.82718e-05
          35   -0.934945   -0.935173 6.66494e-05
          36   -0.935347   -0.935178 6.49747e-05
          37   -0.935178   -0.935178 6.32186e-05
          38     -0.9349    -0.93517 6.19748e-05
          39   -0.934995   -0.935166 6.05482e-05
          40    -0.93444   -0.935148  6.1694e-05
          41   -0.934751   -0.935138 6.09415e-05
          42    -0.93496   -0.935134 5.96378e-05
          43   -0.934047   -0.935108 6.33838e-05
          44   -0.934507   -0.935095 6.33992e-05
          45   -0.934276   -0.935077 6.45489e-05
          46   -0.935196   -0.935079 6.31975e-05
          47   -0.935011   -0.935078 6.18695e-05
          48   -0.935117   -0.935079 6.05861e-05
          49   -0.934951   -0.935076 5.94053e-05
          50   -0.934363   -0.935062 5.99021e-05
