#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     0.21213     0.21213           0
           2    0.211981    0.212055 5.30114e-05
           3    0.212536    0.212216 0.000135527
           4    0.212933    0.212395 0.000185632
           5    0.212159    0.212348 0.000154371
           6    0.212361     0.21235 0.000128656
           7     0.21242     0.21236 0.000110668
           8    0.212496    0.212377 9.81299e-05
           9      0.2128    0.212424 9.78548e-05
          10    0.212263    0.212408 8.93892e-05
          11    0.212807    0.212444 8.83303e-05
          12    0.212227    0.212426 8.27981e-05
          13    0.212475     0.21243 7.65156e-05
          14    0.212628    0.212444 7.23482e-05
          15    0.212848    0.212471 7.23645e-05
          16      0.2131     0.21251 7.77918e-05
          17    0.212205    0.212492 7.52638e-05
          18    0.212641    0.212501  7.1536e-05
          19    0.212761    0.212514 6.90662e-05
          20    0.212692    0.212523 6.61801e-05
          21    0.212116    0.212504  6.5803e-05
          22    0.212639     0.21251  6.3098e-05
          23    0.212188    0.212496 6.18897e-05
          24    0.212662    0.212503 5.96948e-05
          25    0.212833    0.212516 5.87524e-05
          26    0.212851    0.212529 5.78843e-05
          27    0.212391    0.212524  5.5967e-05
          28    0.212147     0.21251  5.5565e-05
          29    0.212714    0.212517 5.40917e-05
          30    0.212553    0.212519 5.23017e-05
          31    0.212557     0.21252 5.06295e-05
          32    0.212138    0.212508 5.04315e-05
          33    0.212344    0.212503 4.91465e-05
          34    0.212761    0.212511 4.82841e-05
          35    0.212728    0.212517 4.73012e-05
          36    0.212878    0.212527   4.704e-05
          37    0.212375    0.212523 4.59463e-05
          38    0.212737    0.212528 4.50818e-05
          39    0.212582     0.21253 4.39471e-05
          40    0.212376    0.212526 4.30163e-05
          41    0.212708     0.21253 4.21948e-05
          42    0.212323    0.212525 4.14781e-05
          43    0.212435    0.212523 4.05673e-05
          44    0.212413    0.212521 3.97224e-05
          45    0.212854    0.212528 3.95253e-05
          46    0.212261    0.212522 3.90903e-05
          47    0.212224    0.212516 3.87715e-05
          48    0.212326    0.212512 3.81649e-05
          49    0.212618    0.212514 3.74475e-05
          50     0.21246    0.212513 3.67145e-05
