#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.396543    0.396543           0
           2    0.396863    0.396703 0.000113189
           3    0.396319    0.396575 0.000128975
           4    0.396714     0.39661 0.000101345
           5    0.397369    0.396762 0.000158111
           6    0.396286    0.396682 0.000150305
           7    0.397139    0.396748 0.000142316
           8    0.398065    0.396912 0.000198064
           9    0.399001    0.397144 0.000280844
          10    0.397445    0.397174 0.000254364
          11    0.396327    0.397097 0.000242637
          12    0.397732     0.39715 0.000228104
          13     0.39698    0.397137 0.000210932
          14    0.396488    0.397091 0.000200896
          15    0.396365    0.397042 0.000193238
          16    0.396076    0.396982 0.000190358
          17    0.397464     0.39701 0.000181256
          18    0.395695    0.396937 0.000185328
          19    0.397624    0.396973 0.000179065
          20    0.396725    0.396961 0.000170543
          21    0.396625    0.396945 0.000163172
          22    0.398239    0.397004 0.000166023
          23    0.396348    0.396975 0.000161236
          24    0.397721    0.397006 0.000157482
          25    0.396921    0.397003 0.000151219
          26    0.397239    0.397012 0.000145675
          27      0.3987    0.397075 0.000153107
          28    0.397381    0.397085  0.00014803
          29    0.395942    0.397046 0.000148082
          30    0.397523    0.397062 0.000143995
          31    0.396735    0.397051 0.000139735
          32    0.398024    0.397082 0.000138637
          33    0.395917    0.397047 0.000138853
          34    0.396129     0.39702 0.000137367
          35    0.396888    0.397016 0.000133493
          36    0.398662    0.397061  0.00013739
          37    0.397016     0.39706 0.000133682
          38    0.397143    0.397062 0.000130182
          39    0.397181    0.397065  0.00012688
          40    0.397251     0.39707 0.000123792
          41    0.397444    0.397079 0.000121107
          42    0.396723    0.397071 0.000118521
          43     0.39854    0.397105 0.000120589
          44    0.397886    0.397123 0.000119149
          45    0.397329    0.397127 0.000116589
          46    0.397545    0.397136 0.000114408
          47     0.39599    0.397112 0.000114545
          48    0.397672    0.397124 0.000112752
          49    0.397808    0.397138 0.000111312
          50    0.397898    0.397153 0.000110119
