#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.998951    0.998951           0
           2    0.999003    0.998977 1.83671e-05
           3    0.998975    0.998976 1.22542e-05
           4    0.998984    0.998978 9.33841e-06
           5    0.999007    0.998984 9.04984e-06
           6    0.999001    0.998987  7.9948e-06
           7    0.998974    0.998985  7.0595e-06
           8    0.998989    0.998986 6.19325e-06
           9     0.99903    0.998991 7.20752e-06
          10    0.999037    0.998995 7.84755e-06
          11    0.999028    0.998998  7.6676e-06
          12    0.999023       0.999  7.3008e-06
          13     0.99902    0.999002 6.89265e-06
          14    0.999017    0.999003 6.48157e-06
          15    0.999011    0.999003 6.07215e-06
          16    0.999013    0.999004  5.7222e-06
          17    0.998986    0.999003 5.48355e-06
          18    0.999053    0.999006 5.83484e-06
          19    0.999005    0.999006 5.52781e-06
          20    0.998991    0.999005 5.29976e-06
          21    0.999007    0.999005 5.04862e-06
          22    0.998996    0.999005 4.83687e-06
          23    0.999043    0.999006 4.90297e-06
          24    0.998987    0.999005 4.76305e-06
          25    0.998978    0.999004 4.70032e-06
          26    0.999033    0.999005 4.64538e-06
          27    0.998972    0.999004 4.63189e-06
          28    0.999015    0.999005 4.48263e-06
          29    0.999052    0.999006 4.61948e-06
          30    0.999006    0.999006 4.46549e-06
          31    0.999032    0.999007 4.39734e-06
          32    0.999023    0.999008  4.2895e-06
          33    0.998995    0.999007 4.17621e-06
          34    0.999016    0.999007 4.06085e-06
          35    0.999039    0.999008 4.04623e-06
          36    0.999021    0.999009 3.94985e-06
          37    0.999008    0.999009  3.8432e-06
          38    0.999049     0.99901 3.88817e-06
          39    0.998974    0.999009 3.89432e-06
          40    0.999025    0.999009 3.81818e-06
          41    0.999027     0.99901  3.7491e-06
          42    0.998977    0.999009 3.73727e-06
          43    0.999026    0.999009 3.67168e-06
          44    0.999018    0.999009 3.59367e-06
          45     0.99903     0.99901 3.54134e-06
          46    0.998988    0.999009 3.49647e-06
          47    0.998993    0.999009 3.43847e-06
          48    0.999014    0.999009 3.36813e-06
          49    0.999012    0.999009 3.29988e-06
          50    0.998981    0.999009 3.28135e-06
