#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.439522    0.439522           0
           2    0.439103    0.439312 0.000147959
           3    0.441423    0.440016 0.000582848
           4     0.44059    0.440159 0.000454452
           5    0.440307    0.440189 0.000364524
           6    0.440023    0.440161 0.000304818
           7    0.441434    0.440343 0.000310799
           8    0.441662    0.440508 0.000312653
           9    0.442156    0.440691 0.000327163
          10     0.44051    0.440673 0.000294949
          11    0.440332    0.440642 0.000269756
          12    0.440928    0.440666 0.000248326
          13    0.439523    0.440578 0.000244292
          14    0.440174    0.440549 0.000228541
          15     0.44025    0.440529 0.000214173
          16    0.439038    0.440436 0.000220141
          17    0.439908    0.440405 0.000209369
          18    0.440502     0.44041 0.000197807
          19    0.440153    0.440397 0.000187858
          20    0.439754    0.440364 0.000181193
          21    0.440105    0.440352 0.000172985
          22    0.442843    0.440465 0.000198743
          23    0.440036    0.440447 0.000190975
          24     0.43979    0.440419 0.000184966
          25    0.441017    0.440443 0.000179107
          26    0.439669    0.440414 0.000174674
          27    0.439539    0.440381 0.000171184
          28     0.43893    0.440329 0.000172737
          29    0.440233    0.440326 0.000166812
          30    0.440988    0.440348 0.000162705
          31    0.440691    0.440359 0.000157831
          32    0.439964    0.440347 0.000153381
          33    0.439541    0.440322 0.000150665
          34     0.43925    0.440291 0.000149496
          35    0.440364    0.440293 0.000145239
          36    0.440457    0.440297 0.000141277
          37    0.440258    0.440296 0.000137462
          38    0.440082    0.440291  0.00013396
          39    0.441047     0.44031  0.00013192
          40    0.439273    0.440284 0.000131147
          41    0.440443    0.440288 0.000128006
          42    0.440836    0.440301  0.00012562
          43    0.438874    0.440268 0.000127006
          44    0.439528    0.440251 0.000125228
          45    0.441527    0.440279 0.000125612
          46    0.439276    0.440258 0.000124762
          47    0.440554    0.440264 0.000122267
          48    0.441079    0.440281 0.000120895
          49    0.440893    0.440293 0.000119071
          50    0.439154    0.440271 0.000118849
