#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      2.9742      2.9742           0
           2      2.9696      2.9719   0.0016257
           3     2.98354     2.97578  0.00334691
           4     2.98227      2.9774  0.00287669
           5     2.99574     2.98107  0.00400755
           6     2.97131     2.97944  0.00365494
           7     2.98079     2.97964   0.0031379
           8     2.97433     2.97897  0.00281481
           9     2.96492     2.97741  0.00290326
          10      2.9797     2.97764   0.0026219
          11     2.97966     2.97782  0.00238997
          12     2.98378     2.97832  0.00224169
          13     2.97462     2.97804  0.00208726
          14     2.98198     2.97832  0.00195714
          15     2.98604     2.97883   0.0018931
          16      2.9821     2.97904  0.00178578
          17     2.98075     2.97914  0.00168356
          18     2.98536     2.97948  0.00162517
          19     2.98163      2.9796  0.00154357
          20     2.97962      2.9796   0.0014664
          21     2.97553      2.9794  0.00140932
          22     2.97945      2.9794  0.00134527
          23     2.98488     2.97964  0.00130764
          24     2.99192     2.98015  0.00134947
          25     2.96128      2.9794  0.00149184
          26     2.97676      2.9793  0.00143791
          27     2.99589     2.97991  0.00151023
          28     2.98604     2.98013  0.00147209
          29     2.98044     2.98014  0.00142136
          30     2.98412     2.98027  0.00138017
          31     2.97513     2.98011   0.0013456
          32     2.98822     2.98036  0.00132721
          33     2.99076     2.98068  0.00132385
          34      2.9866     2.98085  0.00129631
          35     2.98483     2.98096  0.00126426
          36     2.98995     2.98121  0.00125355
          37     2.97503     2.98105  0.00123078
          38     2.97501     2.98089   0.0012086
          39     2.99069     2.98114  0.00120349
          40     2.98231     2.98117  0.00117376
          41     2.98276     2.98121  0.00114577
          42      2.9801     2.98118   0.0011188
          43     2.97611     2.98106  0.00109897
          44     2.97936     2.98103  0.00107468
          45     2.97625     2.98092  0.00105601
          46     2.98319     2.98097  0.00103421
          47     2.97401     2.98082  0.00102276
          48     2.98268     2.98086  0.00100219
          49     2.99351     2.98112  0.00101446
          50     2.97662     2.98103 0.000998144
