#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.90465     1.90465           0
           2     1.91022     1.90744    0.001968
           3     1.90325     1.90604  0.00173782
           4     1.90149      1.9049  0.00163352
           5     1.90857     1.90564  0.00146198
           6     1.90463     1.90547  0.00122798
           7     1.90457     1.90534  0.00105919
           8     1.89919     1.90457   0.0011731
           9     1.92268     1.90658  0.00216501
          10     1.91189     1.90711  0.00201238
          11     1.91129     1.90749  0.00186489
          12     1.90605     1.90737  0.00171334
          13     1.90411     1.90712  0.00159986
          14     1.90887     1.90725  0.00149047
          15     1.90802      1.9073  0.00139199
          16      1.9136     1.90769  0.00135948
          17     1.91541     1.90815  0.00135325
          18     1.90829     1.90815   0.0012781
          19     1.91228     1.90837  0.00122914
          20     1.90685      1.9083  0.00117003
          21     1.90598     1.90818   0.0011195
          22     1.91163     1.90834  0.00107952
          23     1.90853     1.90835  0.00103261
          24     1.90212     1.90809   0.0010217
          25      1.9081     1.90809 0.000980831
          26     1.91309     1.90828  0.00096174
          27     1.90539     1.90818 0.000932083
          28     1.90291     1.90799 0.000917541
          29     1.90116     1.90775 0.000915602
          30     1.91904     1.90813 0.000959263
          31     1.91341      1.9083 0.000943353
          32     1.90477     1.90819 0.000920294
          33     1.90144     1.90798 0.000914847
          34     1.90854       1.908 0.000888086
          35     1.90517     1.90792 0.000866394
          36     1.90472     1.90783 0.000846873
          37     1.90792     1.90783 0.000823988
          38     1.90717     1.90782 0.000802486
          39     1.91487       1.908  0.00080203
          40     1.91125     1.90808 0.000786086
          41     1.90612     1.90803 0.000768363
          42     1.90386     1.90793 0.000756465
          43     1.90441     1.90785   0.0007433
          44     1.90978     1.90789 0.000727698
          45     1.90548     1.90784 0.000713494
          46     1.90709     1.90782 0.000698171
          47     1.90647     1.90779 0.000683908
          48     1.90508     1.90774 0.000671997
          49     1.90836     1.90775 0.000658402
          50     1.90877     1.90777 0.000645547
