#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     3.58417     3.58417           0
           2     3.59057     3.58737  0.00226245
           3     3.58086      3.5852   0.0023265
           4      3.5681     3.58092  0.00409236
           5      3.5813       3.581  0.00327459
           6     3.58188     3.58115  0.00273215
           7     3.58569     3.58179  0.00241791
           8     3.57604     3.58108  0.00221999
           9      3.6077     3.58403  0.00341665
          10     3.59218     3.58485  0.00317055
          11     3.58229     3.58462  0.00289087
          12     3.57245      3.5836  0.00282208
          13     3.57382     3.58285  0.00270346
          14     3.57319     3.58216  0.00259695
          15     3.58205     3.58215  0.00242383
          16     3.59445     3.58292  0.00239119
          17     3.56562      3.5819   0.0024576
          18      3.5855      3.5821  0.00232916
          19     3.58009       3.582  0.00220899
          20     3.58217     3.58201  0.00209856
          21     3.58801     3.58229  0.00201803
          22     3.58689      3.5825  0.00193708
          23     3.58686     3.58269  0.00186213
          24     3.57437     3.58234  0.00181655
          25     3.58281     3.58236  0.00174398
          26     3.58734     3.58255  0.00168739
          27     3.57964     3.58245  0.00162834
          28     3.58079     3.58239  0.00157126
          29     3.57974      3.5823  0.00151971
          30     3.59407     3.58269  0.00151886
          31     3.59701     3.58315  0.00153853
          32     3.58773     3.58329  0.00149709
          33     3.56955     3.58288  0.00150853
          34     3.60138     3.58342  0.00155921
          35     3.57807     3.58327  0.00152213
          36     3.57677     3.58309  0.00149051
          37     3.58772     3.58321  0.00145547
          38     3.58741     3.58332  0.00142135
          39     3.58827     3.58345  0.00139056
          40     3.58792     3.58356  0.00136029
          41     3.58312     3.58355  0.00132716
          42     3.57913     3.58345  0.00129973
          43     3.57746     3.58331  0.00127694
          44     3.57285     3.58307  0.00126985
          45     3.57947     3.58299  0.00124414
          46     3.57584     3.58283  0.00122676
          47     3.57002     3.58256  0.00123059
          48     3.58902      3.5827  0.00121229
          49     3.58289      3.5827  0.00118756
          50     3.58916     3.58283  0.00117082
