#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.229657    0.229657           0
           2    0.229333    0.229495 0.000114334
           3    0.229992    0.229661 0.000155226
           4    0.230419     0.22985  0.00020127
           5    0.229941    0.229868 0.000161838
           6    0.229672    0.229836 0.000138133
           7    0.229998    0.229859 0.000120321
           8    0.229907    0.229865 0.000105434
           9    0.229999     0.22988 9.47691e-05
          10     0.23023    0.229915 9.15455e-05
          11    0.230138    0.229935 8.54423e-05
          12    0.229587    0.229906 8.30967e-05
          13    0.230061    0.229918 7.75582e-05
          14     0.23008     0.22993 7.28758e-05
          15    0.230346    0.229957 7.31029e-05
          16    0.230344    0.229981 7.24188e-05
          17    0.230021    0.229984 6.81964e-05
          18     0.23036    0.230005 6.75382e-05
          19    0.230196    0.230015 6.47274e-05
          20    0.230389    0.230034 6.41447e-05
          21    0.229415    0.230004 6.75178e-05
          22    0.230291    0.230017 6.56947e-05
          23    0.229885    0.230011   6.309e-05
          24    0.230012    0.230011 6.04612e-05
          25    0.230587    0.230034 6.22736e-05
          26    0.230344    0.230046 6.10089e-05
          27    0.229708    0.230034 6.00189e-05
          28    0.229641     0.23002 5.94946e-05
          29    0.230418    0.230033 5.90058e-05
          30    0.230244     0.23004 5.74528e-05
          31    0.229849    0.230034 5.59312e-05
          32    0.230049    0.230035 5.41852e-05
          33    0.229755    0.230026 5.32027e-05
          34    0.230209    0.230032 5.19081e-05
          35    0.229883    0.230027 5.05976e-05
          36    0.230276    0.230034 4.96608e-05
          37     0.22972    0.230026 4.90385e-05
          38    0.230376    0.230035 4.86038e-05
          39    0.230306    0.230042 4.78533e-05
          40    0.230003    0.230041 4.66671e-05
          41    0.230183    0.230044 4.56577e-05
          42     0.22999    0.230043 4.45894e-05
          43    0.229746    0.230036  4.4086e-05
          44    0.230078    0.230037 4.30943e-05
          45    0.230222    0.230041 4.23309e-05
          46    0.229809    0.230036 4.17096e-05
          47    0.229567    0.230026 4.19982e-05
          48    0.229922    0.230024 4.11799e-05
          49    0.230198    0.230028 4.04926e-05
          50    0.230031    0.230028 3.96828e-05
