#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1  0.00077006  0.00077006           0
           2    0.017971  0.00937051  0.00608144
           3  -0.0171081  0.00054432  0.00826872
           4   0.0043564  0.00149734  0.00625622
           5  -0.0108474-0.000971608   0.0054705
           6  0.00626274 0.000234117  0.00468974
           7  -0.0103224 -0.00127396  0.00425535
           8  0.00673718-0.000272565  0.00383945
           9   0.0184954  0.00181276  0.00393864
          10  -0.0165662  -2.513e-05  0.00395038
          11  -0.0185535 -0.00170953    0.003934
          12  0.00308588 -0.00130991  0.00362641
          13   0.0009798 -0.00113378  0.00335173
          14  -0.0210539 -0.00255664  0.00340095
          15  -0.0107435 -0.00310243  0.00321772
          16  0.00063478 -0.00286886  0.00302508
          17 -0.00328442  -0.0028933  0.00284723
          18  0.00547416 -0.00242844  0.00272673
          19  -0.0153892 -0.00311059  0.00266718
          20   0.0213704 -0.00188654  0.00280065
          21   0.0089972 -0.00136827  0.00271482
          22  0.00121748 -0.00125073  0.00259396
          23   0.0157991-0.000509437  0.00258493
          24  0.00742734-0.000178738  0.00249829
          25  0.00324232 -4.1896e-05   0.0024021
          26   0.0105442 0.000365261  0.00234397
          27  -0.0009329 0.000317181  0.00225765
          28  -0.0214638-0.000460713  0.00230714
          29 -0.00554244-0.000635945  0.00223423
          30 -0.00144542-0.000662927  0.00215992
          31  -0.0125679 -0.00104696  0.00212411
          32  -0.0038774 -0.00113541  0.00205957
          33 -0.00513886 -0.00125673  0.00200073
          34 -0.00727646 -0.00143378  0.00194971
          35   0.0134638 -0.00100813  0.00193991
          36  -0.0250641 -0.00167636   0.0019978
          37   0.0193135 -0.00110906  0.00202274
          38   0.0119698-0.000764882  0.00199858
          39  0.00387248-0.000645975  0.00195087
          40 -0.00182114-0.000675354  0.00190232
          41  -0.0134138-0.000986047  0.00188112
          42  0.00272606-0.000897663  0.00183841
          43  0.00434016-0.000775853  0.00179968
          44  0.00471992 -0.00065095  0.00176311
          45  0.00422176-0.000542667  0.00172725
          46  0.00231484-0.000480547  0.00169082
          47   0.0107487-0.000241628  0.00167164
          48  -0.0105981-0.000457387  0.00165068
          49  -0.0225666-0.000908597  0.00167753
          50   0.0118602-0.000653221   0.0016633
