#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.270907    0.270907           0
           2    0.270104    0.270506 0.000283765
           3    0.270133    0.270381 0.000214641
           4    0.270711    0.270464 0.000176115
           5    0.270569    0.270485 0.000142136
           6    0.270113    0.270423 0.000131294
           7    0.270292    0.270404 0.000113857
           8     0.27075    0.270447 0.000107523
           9    0.270056    0.270404 0.000104002
          10    0.270018    0.270365 0.000100512
          11    0.270189    0.270349 9.26503e-05
          12    0.270846    0.270391  9.3734e-05
          13    0.270183    0.270375 8.78785e-05
          14    0.270464    0.270381 8.18309e-05
          15     0.27077    0.270407 8.03873e-05
          16    0.270131     0.27039 7.71956e-05
          17    0.271342    0.270446  9.0727e-05
          18     0.27049    0.270448 8.57204e-05
          19    0.270498    0.270451 8.12493e-05
          20    0.270644     0.27046 7.77568e-05
          21    0.269964    0.270437 7.75587e-05
          22    0.270493    0.270439 7.40749e-05
          23    0.270304    0.270434 7.10867e-05
          24    0.270328    0.270429 6.82594e-05
          25    0.270493    0.270432 6.55774e-05
          26    0.270551    0.270436 6.32156e-05
          27    0.270262     0.27043 6.12039e-05
          28    0.270198    0.270422 5.95762e-05
          29    0.270823    0.270435 5.91092e-05
          30    0.270572     0.27044 5.73136e-05
          31     0.27094    0.270456 5.76891e-05
          32    0.270009    0.270442  5.7554e-05
          33    0.270652    0.270448 5.61605e-05
          34    0.270473    0.270449 5.45135e-05
          35    0.270133     0.27044 5.36984e-05
          36    0.270128    0.270432  5.2904e-05
          37    0.270207    0.270425 5.18204e-05
          38    0.270364    0.270424 5.04821e-05
          39    0.270167    0.270417 4.96158e-05
          40    0.270425    0.270417 4.83758e-05
          41    0.270352    0.270416 4.72222e-05
          42    0.270383    0.270415 4.61044e-05
          43    0.270138    0.270409 4.54805e-05
          44    0.270401    0.270408 4.44472e-05
          45    0.270693    0.270415 4.39078e-05
          46    0.270607    0.270419 4.31522e-05
          47    0.270392    0.270418 4.22378e-05
          48    0.270677    0.270424 4.16999e-05
          49    0.270114    0.270417 4.13242e-05
          50    0.269985    0.270409 4.13911e-05
