#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0889468   0.0889468           0
           2   0.0880682   0.0885075 0.000310625
           3   0.0900232   0.0890127 0.000461584
           4   0.0868804   0.0884796 0.000577042
           5   0.0910968   0.0890031 0.000657495
           6    0.088918   0.0889889 0.000548065
           7   0.0884605   0.0889134 0.000474939
           8   0.0883907   0.0888481 0.000420043
           9    0.088606   0.0888212 0.000374232
          10   0.0874334   0.0886824 0.000361627
          11   0.0862017   0.0884569 0.000392825
          12   0.0879824   0.0884173 0.000362074
          13   0.0885832   0.0884301 0.000334446
          14   0.0871944   0.0883418 0.000321993
          15   0.0865722   0.0882239 0.000321413
          16   0.0897871   0.0883216 0.000315825
          17   0.0899733   0.0884187 0.000311835
          18   0.0856367   0.0882642 0.000330601
          19   0.0885143   0.0882773 0.000313463
          20   0.0884051   0.0882837 0.000297855
          21   0.0885608   0.0882969 0.000283963
          22   0.0857057   0.0881791 0.000294472
          23   0.0863818    0.088101 0.000291853
          24   0.0903546   0.0881949 0.000294411
          25   0.0888077   0.0882194 0.000283653
          26   0.0880458   0.0882127 0.000272822
          27   0.0889613   0.0882404 0.000264122
          28   0.0888987    0.088264 0.000255734
          29   0.0884655   0.0882709  0.00024701
          30   0.0862255   0.0882027 0.000248007
          31   0.0887396     0.08822 0.000240611
          32   0.0857391   0.0881425 0.000245265
          33   0.0904116   0.0882113 0.000247283
          34   0.0901027   0.0882669 0.000246188
          35   0.0881891   0.0882647 0.000239164
          36   0.0898062   0.0883075 0.000236323
          37   0.0865964   0.0882613 0.000234417
          38   0.0877678   0.0882483 0.000228607
          39   0.0883835   0.0882517 0.000222772
          40   0.0880837   0.0882475 0.000217242
          41   0.0851686   0.0881724 0.000224548
          42   0.0872852   0.0881513 0.000220193
          43   0.0864692   0.0881122  0.00021852
          44   0.0895435   0.0881447 0.000215961
          45   0.0882051   0.0881461 0.000211166
          46   0.0873022   0.0881277 0.000207371
          47   0.0882847   0.0881311 0.000202985
          48   0.0878813   0.0881259 0.000198823
          49   0.0855573   0.0880734 0.000201557
          50   0.0872248   0.0880565  0.00019824
