#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.935431   -0.935431           0
           2   -0.935278   -0.935355 5.38957e-05
           3    -0.93486    -0.93519 0.000139331
           4   -0.934831     -0.9351 0.000130192
           5   -0.934974   -0.935075 0.000106571
           6   -0.934793   -0.935028 9.86357e-05
           7   -0.934954   -0.935017 8.51149e-05
           8   -0.934614   -0.934967  8.8144e-05
           9   -0.935191   -0.934992   8.178e-05
          10   -0.935065   -0.934999 7.39297e-05
          11   -0.935385   -0.935034 7.50734e-05
          12   -0.935217   -0.935049 7.03392e-05
          13   -0.934773   -0.935028 6.80625e-05
          14   -0.935111   -0.935034 6.34579e-05
          15   -0.934818    -0.93502 6.08468e-05
          16   -0.934844   -0.935009 5.80265e-05
          17   -0.934759   -0.934994 5.64473e-05
          18   -0.935091   -0.934999 5.35664e-05
          19   -0.935185   -0.935009 5.16309e-05
          20   -0.935496   -0.935033 5.44886e-05
          21   -0.935289   -0.935046 5.32326e-05
          22   -0.934525   -0.935022 5.58186e-05
          23    -0.93467   -0.935007  5.5444e-05
          24   -0.935214   -0.935015  5.3806e-05
          25   -0.935006   -0.935015 5.16551e-05
          26   -0.934641   -0.935001 5.16277e-05
          27   -0.935383   -0.935015 5.16184e-05
          28    -0.93523   -0.935022 5.03446e-05
          29   -0.935364   -0.935034 4.99656e-05
          30   -0.935482   -0.935049 5.04855e-05
          31   -0.934935   -0.935045 4.89917e-05
          32   -0.935182    -0.93505 4.76468e-05
          33    -0.93498   -0.935048 4.62502e-05
          34   -0.934765   -0.935039 4.56325e-05
          35   -0.935156   -0.935043 4.44497e-05
          36   -0.934478   -0.935027 4.58963e-05
          37   -0.934872   -0.935023 4.48458e-05
          38   -0.934456   -0.935008  4.6079e-05
          39   -0.934926   -0.935006 4.49454e-05
          40   -0.934905   -0.935003 4.38916e-05
          41   -0.935992   -0.935027 4.90026e-05
          42   -0.934708    -0.93502 4.84217e-05
          43   -0.935005   -0.935019 4.72969e-05
          44   -0.935701   -0.935035 4.86937e-05
          45   -0.934604   -0.935025 4.85448e-05
          46   -0.935834   -0.935043 5.05754e-05
          47   -0.934652   -0.935035 5.01769e-05
          48   -0.935133   -0.935037 4.91732e-05
          49    -0.93454   -0.935026 4.92046e-05
          50     -0.9349   -0.935024 4.82853e-05
