#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.804677   -0.804677           0
           2   -0.804435   -0.804556 8.55741e-05
           3   -0.804257   -0.804456 9.94674e-05
           4   -0.804209   -0.804394 9.17864e-05
           5   -0.804296   -0.804375 7.55128e-05
           6   -0.804817   -0.804449 9.21493e-05
           7   -0.804473   -0.804452 7.90508e-05
           8   -0.804497   -0.804458 6.93699e-05
           9   -0.804484   -0.804461  6.1726e-05
          10   -0.804292   -0.804444 5.78191e-05
          11    -0.80444   -0.804443 5.25638e-05
          12   -0.804266   -0.804429 5.02143e-05
          13   -0.804539   -0.804437 4.70678e-05
          14    -0.80446   -0.804439 4.37346e-05
          15   -0.804465   -0.804441 4.08538e-05
          16   -0.804276    -0.80443 3.95751e-05
          17   -0.804692   -0.804446 4.01372e-05
          18   -0.804446   -0.804446 3.79073e-05
          19   -0.804708   -0.804459 3.83494e-05
          20   -0.804102   -0.804442 4.03773e-05
          21    -0.80474   -0.804456 4.08762e-05
          22   -0.804363   -0.804452 3.92353e-05
          23   -0.804438   -0.804451 3.75339e-05
          24   -0.804709   -0.804462 3.74771e-05
          25   -0.804242   -0.804453 3.69921e-05
          26   -0.804356   -0.804449 3.57557e-05
          27   -0.804215   -0.804441 3.54678e-05
          28   -0.804346   -0.804437 3.43608e-05
          29   -0.804405   -0.804436 3.31943e-05
          30    -0.80433   -0.804433 3.22745e-05
          31   -0.804308   -0.804429  3.1482e-05
          32   -0.804643   -0.804435 3.12024e-05
          33   -0.804627   -0.804441 3.07955e-05
          34   -0.804498   -0.804443 2.99345e-05
          35   -0.804312   -0.804439 2.93101e-05
          36   -0.804085   -0.804429 3.01043e-05
          37   -0.804396   -0.804428 2.93038e-05
          38   -0.804642   -0.804434 2.90673e-05
          39   -0.804677    -0.80444 2.89804e-05
          40   -0.804153   -0.804433 2.91343e-05
          41   -0.804457   -0.804434 2.84297e-05
          42   -0.804451   -0.804434 2.77559e-05
          43   -0.804486   -0.804435 2.71365e-05
          44   -0.804439   -0.804435 2.65199e-05
          45    -0.80448   -0.804436  2.5949e-05
          46   -0.804939   -0.804447 2.75919e-05
          47   -0.804251   -0.804443 2.73197e-05
          48   -0.804617   -0.804447 2.69903e-05
          49   -0.804748   -0.804453 2.71315e-05
          50     -0.8043    -0.80445 2.67607e-05
