#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.320655    0.320655           0
           2    0.320166    0.320411 0.000173057
           3     0.32065     0.32049 0.000132469
           4    0.319788    0.320315 0.000181613
           5     0.31954     0.32016 0.000200777
           6    0.320766    0.320261 0.000191085
           7    0.320485    0.320293 0.000166449
           8    0.319995    0.320256 0.000149762
           9    0.320671    0.320302 0.000140052
          10    0.320221    0.320294 0.000126281
          11    0.320508    0.320313 0.000116289
          12    0.321146    0.320383 0.000125604
          13    0.320043    0.320356 0.000118632
          14    0.320388    0.320359  0.00011018
          15    0.320638    0.320377 0.000104399
          16    0.320446    0.320382 9.79631e-05
          17    0.320245    0.320374 9.25277e-05
          18    0.320193    0.320364  8.7929e-05
          19    0.320224    0.320356 8.36079e-05
          20    0.320858    0.320381 8.31078e-05
          21    0.320575     0.32039 7.96583e-05
          22    0.321024    0.320419 8.10682e-05
          23    0.320532    0.320424 7.76913e-05
          24    0.320514    0.320428 7.45448e-05
          25    0.320778    0.320442 7.28677e-05
          26    0.320651     0.32045 7.05086e-05
          27    0.320145    0.320439 6.87949e-05
          28    0.320759     0.32045 6.72796e-05
          29    0.320579    0.320455 6.51068e-05
          30    0.320686    0.320462 6.33936e-05
          31    0.320475    0.320463 6.13499e-05
          32    0.319979    0.320448 6.12679e-05
          33    0.320701    0.320455 5.98889e-05
          34    0.320371    0.320453 5.81791e-05
          35    0.320964    0.320467  5.8319e-05
          36    0.320053    0.320456 5.78251e-05
          37    0.319769    0.320437 5.91677e-05
          38    0.320507    0.320439 5.76393e-05
          39    0.320475     0.32044 5.61686e-05
          40    0.320314    0.320437 5.48529e-05
          41    0.320678    0.320443 5.38291e-05
          42    0.319949    0.320431 5.38136e-05
          43    0.320013    0.320421 5.34312e-05
          44    0.320851    0.320431 5.31003e-05
          45    0.320239    0.320427 5.20907e-05
          46    0.320065    0.320419 5.15494e-05
          47     0.32082    0.320427 5.11552e-05
          48     0.32068    0.320433 5.03584e-05
          49    0.320182    0.320428 4.95898e-05
          50    0.320325    0.320426 4.86407e-05
