#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.973981   -0.973981           0
           2   -0.974661   -0.974321 0.000240204
           3     -0.9749   -0.974514 0.000224772
           4   -0.974005   -0.974387 0.000201437
           5   -0.974181   -0.974346 0.000165298
           6   -0.974261   -0.974332 0.000138349
           7   -0.974233   -0.974318 0.000119294
           8   -0.973818   -0.974255 0.000119591
           9   -0.973539   -0.974176 0.000130104
          10   -0.974113   -0.974169 0.000117245
          11   -0.974684   -0.974216 0.000115557
          12   -0.974667   -0.974254 0.000111861
          13   -0.974794   -0.974295 0.000110698
          14   -0.973989   -0.974273 0.000104923
          15   -0.973714   -0.974236 0.000104334
          16   -0.974013   -0.974222 9.87414e-05
          17   -0.974089   -0.974214 9.32417e-05
          18   -0.975004   -0.974258 9.78384e-05
          19   -0.973982   -0.974244 9.37643e-05
          20   -0.973763    -0.97422  9.2104e-05
          21   -0.973703   -0.974195 9.09408e-05
          22   -0.974092    -0.97419 8.69285e-05
          23   -0.973835   -0.974175 8.45113e-05
          24   -0.974303    -0.97418 8.11574e-05
          25   -0.974017   -0.974174 7.81717e-05
          26   -0.973748   -0.974157 7.68641e-05
          27   -0.973559   -0.974135 7.71462e-05
          28   -0.973824   -0.974124 7.51848e-05
          29   -0.975131   -0.974159 8.02156e-05
          30   -0.974206    -0.97416 7.75575e-05
          31   -0.973557   -0.974141 7.74556e-05
          32   -0.974819   -0.974162 7.78774e-05
          33   -0.973966   -0.974156 7.57445e-05
          34   -0.974871   -0.974177 7.63778e-05
          35   -0.973828   -0.974167 7.48429e-05
          36   -0.973265   -0.974142 7.68489e-05
          37   -0.973655   -0.974129 7.58904e-05
          38   -0.973752   -0.974119 7.45402e-05
          39   -0.973871   -0.974113 7.28988e-05
          40   -0.973444   -0.974096 7.29693e-05
          41   -0.973262   -0.974076 7.39727e-05
          42   -0.974093   -0.974076 7.22126e-05
          43    -0.97373   -0.974068 7.09805e-05
          44   -0.974456   -0.974077 6.99123e-05
          45   -0.973832   -0.974071 6.85699e-05
          46   -0.973683   -0.974063 6.75976e-05
          47   -0.973623   -0.974054 6.68054e-05
          48   -0.974752   -0.974068 6.69793e-05
          49    -0.97391   -0.974065 6.56904e-05
          50    -0.97421   -0.974069 6.56803e-05
