#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.670456    0.670456           0
           2    0.674778    0.672617  0.00152798
           3    0.662969    0.669401  0.00281648
           4    0.675212    0.670854  0.00245858
           5    0.666497    0.669983  0.00211565
           6    0.682117    0.672005  0.00255277
           7    0.677938    0.672852  0.00232453
           8    0.672717    0.672836  0.00203402
           9    0.673157    0.672871  0.00180833
          10     0.67482    0.673066  0.00163797
          11    0.675955    0.673329  0.00150997
          12    0.671028    0.673137  0.00139626
          13    0.675563    0.673324  0.00130126
          14    0.667759    0.672926  0.00126756
          15    0.667498    0.672564  0.00123363
          16    0.668933    0.672337  0.00117722
          17    0.678542    0.672702  0.00116317
          18    0.680909    0.673158  0.00118453
          19     0.66166    0.672553  0.00126738
          20    0.669694     0.67241  0.00121204
          21    0.669043     0.67225  0.00116488
          22    0.677328    0.672481  0.00113457
          23    0.673747    0.672536  0.00108658
          24    0.670204    0.672439  0.00104564
          25    0.666849    0.672215  0.00102743
          26    0.679986    0.672514  0.00103048
          27    0.674324    0.672581 0.000994491
          28     0.66561    0.672332 0.000989644
          29    0.681011    0.672631 0.000999751
          30     0.67534    0.672721 0.000970495
          31    0.672965    0.672729  0.00093922
          32     0.66926    0.672621 0.000916104
          33    0.671342    0.672582 0.000889162
          34    0.677572    0.672729 0.000875036
          35    0.670833    0.672675 0.000851711
          36    0.671666    0.672647 0.000828513
          37    0.675753    0.672731 0.000810362
          38    0.677409    0.672854 0.000798336
          39    0.663134    0.672605 0.000815837
          40    0.678444    0.672751 0.000808399
          41     0.67514    0.672809 0.000790779
          42    0.671955    0.672789 0.000772212
          43    0.673892    0.672814 0.000754681
          44    0.675442    0.672874 0.000739888
          45     0.67968    0.673025 0.000738743
          46    0.666371    0.672881 0.000736709
          47    0.671423     0.67285 0.000721686
          48     0.67584    0.672912 0.000709335
          49     0.66838    0.672819 0.000700863
          50    0.676243    0.672888 0.000690183
