#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     10.2928     10.2928           0
           2     10.2762     10.2845  0.00586906
           3     10.2529      10.274  0.00944042
           4     10.2213     10.2608    0.013416
           5     10.2436     10.2574   0.0111678
           6     10.2071      10.249   0.0120432
           7     10.2276     10.2459   0.0107042
           8     10.3342      10.257   0.0139337
           9      10.263     10.2576   0.0124018
          10     10.2501     10.2569   0.0111847
          11     10.2549     10.2567   0.0101693
          12      10.257     10.2567  0.00932191
          13     10.2435     10.2557  0.00866049
          14     10.2463      10.255   0.0080677
          15     10.2171     10.2525  0.00791633
          16     10.2301     10.2511  0.00754466
          17     10.2125     10.2488  0.00743424
          18      10.209     10.2466   0.0073429
          19      10.333     10.2512  0.00824519
          20     10.1677      10.247  0.00882638
          21     10.2935     10.2492  0.00867887
          22     10.2235      10.248  0.00836264
          23     10.2474      10.248  0.00799909
          24     10.3112     10.2506   0.0080879
          25     10.3017     10.2527   0.0080181
          26      10.303     10.2546  0.00793978
          27     10.2374      10.254  0.00767142
          28     10.2373     10.2534  0.00742064
          29     10.2446     10.2531  0.00717087
          30     10.2097     10.2516  0.00707605
          31      10.233      10.251  0.00687319
          32     10.2468     10.2509  0.00665967
          33     10.2853      10.252  0.00653912
          34     10.3171     10.2539  0.00662149
          35     10.2679     10.2543  0.00644438
          36     10.2048     10.2529  0.00641035
          37     10.2596     10.2531  0.00623965
          38     10.2782     10.2537  0.00611025
          39     10.2597     10.2539  0.00595551
          40      10.239     10.2535  0.00581826
          41     10.2553     10.2536  0.00567651
          42     10.2754     10.2541  0.00556522
          43     10.2382     10.2537  0.00544809
          44      10.248     10.2536  0.00532584
          45     10.2366     10.2532  0.00522085
          46     10.2689     10.2535  0.00511854
          47     10.2785     10.2541  0.00503708
          48     10.2522      10.254   0.0049323
          49     10.3022      10.255  0.00492877
          50     10.1915     10.2537  0.00499113
