#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.97641     2.97641           0
           2     2.98161     2.97901  0.00184057
           3     2.97389      2.9773  0.00185569
           4      2.9793      2.9778   0.0014576
           5     2.97984     2.97821  0.00122186
           6     2.98156     2.97877  0.00113871
           7     2.98627     2.97984   0.0013917
           8      2.9676     2.97831  0.00187973
           9     3.00193     2.98094  0.00298555
          10     2.99158       2.982  0.00287057
          11     2.98598     2.98236  0.00263226
          12     2.97733     2.98194  0.00244609
          13     2.97226      2.9812  0.00236854
          14     2.98047     2.98115  0.00219992
          15     2.97684     2.98086  0.00207188
          16     2.98606     2.98118  0.00196768
          17     2.97668     2.98092  0.00186971
          18     2.98441     2.98111  0.00177584
          19     2.98565     2.98135  0.00169832
          20     2.97714     2.98114  0.00162642
          21     2.97631     2.98091  0.00156514
          22     2.97522     2.98065  0.00151523
          23     2.98095     2.98067   0.0014494
          24     2.97231     2.98032  0.00143022
          25     2.97455     2.98009   0.0013915
          26     2.99163     2.98053  0.00140703
          27      2.9876     2.98079  0.00137904
          28     2.97622     2.98063  0.00133942
          29     2.97596     2.98047  0.00130288
          30     2.99131     2.98083  0.00130859
          31     2.99744     2.98136  0.00137172
          32     2.97936      2.9813  0.00133028
          33     2.97362     2.98107  0.00131016
          34     2.98925     2.98131   0.0012935
          35     2.97142     2.98103  0.00128703
          36     2.97074     2.98074  0.00128262
          37     2.99236     2.98106  0.00128585
          38     2.98829     2.98125  0.00126601
          39     2.98948     2.98146  0.00125104
          40     2.99034     2.98168   0.0012393
          41      2.9846     2.98175  0.00121112
          42     2.97939     2.98169  0.00118358
          43     2.97485     2.98154  0.00116672
          44     2.97856     2.98147  0.00114217
          45     2.97905     2.98141  0.00111805
          46     2.97739     2.98133  0.00109717
          47      2.9712     2.98111  0.00109479
          48     2.98393     2.98117  0.00107356
          49     2.97747     2.98109  0.00105429
          50     2.98098     2.98109  0.00103321
