#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      78.997      78.997           0
           2     79.5115     79.2543     0.18189
           3      79.783     79.4305    0.188186
           4     78.8656     79.2893    0.186768
           5     79.1046     79.2523    0.153022
           6     79.1384     79.2334    0.128691
           7      79.119      79.217    0.111339
           8     78.7118     79.1539    0.113933
           9     78.4056     79.0707    0.128068
          10     78.9351     79.0572    0.115976
          11     79.6643     79.1124    0.117837
          12     79.7018     79.1615    0.117812
          13     79.6811     79.2014    0.115331
          14     78.8297     79.1749    0.110108
          15     78.6704     79.1413    0.107782
          16      78.889     79.1255    0.102193
          17     79.0989     79.1239   0.0961932
          18     79.8643     79.1651   0.0992545
          19     78.7812     79.1449   0.0960648
          20     78.5678      79.116   0.0954962
          21     78.7332     79.0978   0.0926727
          22     79.1575     79.1005      0.0885
          23     78.6578     79.0812   0.0867199
          24      79.106     79.0823   0.0831127
          25      78.936     79.0764   0.0799938
          26     78.6385     79.0596   0.0786701
          27     78.5532     79.0408   0.0779599
          28     78.8057     79.0324   0.0756267
          29     80.0997     79.0692   0.0814826
          30     79.1002     79.0703    0.078773
          31     78.5531     79.0536   0.0779783
          32     79.6567     79.0724   0.0777858
          33     78.8679     79.0662   0.0756753
          34     79.7726      79.087   0.0762483
          35     78.7888     79.0785   0.0745443
          36     78.1597      79.053   0.0767182
          37     78.6938     79.0433   0.0752563
          38     78.6936     79.0341   0.0738363
          39     78.8401     79.0291   0.0721102
          40     78.4793     79.0153   0.0716054
          41     78.2713     78.9972   0.0721216
          42     79.0525     78.9985   0.0704164
          43     78.7134     78.9919   0.0690903
          44     79.4148     79.0015   0.0681853
          45     78.7916     78.9968   0.0668294
          46     78.5454      78.987   0.0660932
          47     78.5373     78.9774    0.065376
          48     79.5682     78.9897   0.0651621
          49     78.6663     78.9831   0.0641658
          50     79.5674     78.9854   0.0641658
