#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.804657   -0.804657           0
           2    -0.80432   -0.804489  0.00011902
           3   -0.804281   -0.804419 9.74587e-05
           4   -0.804374   -0.804408 7.37489e-05
           5   -0.804556   -0.804438 6.46282e-05
           6   -0.804479   -0.804445 5.42278e-05
           7    -0.80479   -0.804494 6.52053e-05
           8   -0.804063    -0.80444 7.61054e-05
           9   -0.804433   -0.804439  6.7654e-05
          10   -0.804179   -0.804413 6.57214e-05
          11   -0.804337   -0.804406 6.01106e-05
          12   -0.804252   -0.804393 5.64655e-05
          13   -0.804404   -0.804394  5.2128e-05
          14   -0.804611    -0.80441 5.06468e-05
          15   -0.804497   -0.804416 4.76042e-05
          16   -0.804557   -0.804424 4.54403e-05
          17   -0.804688    -0.80444 4.53411e-05
          18   -0.804426   -0.804439 4.28283e-05
          19   -0.804361   -0.804435   4.077e-05
          20   -0.804565   -0.804442 3.92437e-05
          21   -0.804512   -0.804445 3.75182e-05
          22   -0.804401   -0.804443 3.58659e-05
          23   -0.804561   -0.804448  3.4675e-05
          24   -0.804283   -0.804441 3.39042e-05
          25   -0.804749   -0.804453 3.47116e-05
          26   -0.804712   -0.804463 3.47766e-05
          27     -0.8043   -0.804457 3.40123e-05
          28   -0.804204   -0.804448  3.3979e-05
          29   -0.804303   -0.804443 3.31746e-05
          30   -0.804478   -0.804444 3.20887e-05
          31   -0.804586   -0.804449 3.13759e-05
          32   -0.804398   -0.804447 3.04354e-05
          33   -0.804646   -0.804453 3.01034e-05
          34   -0.804779   -0.804463 3.07043e-05
          35   -0.804503   -0.804464  2.9848e-05
          36   -0.804509   -0.804465 2.90453e-05
          37   -0.804783   -0.804474 2.95036e-05
          38   -0.804708    -0.80448 2.93628e-05
          39   -0.804449   -0.804479 2.86208e-05
          40   -0.804676   -0.804484 2.83257e-05
          41   -0.804129   -0.804476 2.89287e-05
          42   -0.804547   -0.804477 2.82896e-05
          43   -0.804059   -0.804468 2.92554e-05
          44   -0.804125    -0.80446 2.96115e-05
          45   -0.804825   -0.804468  3.0042e-05
          46   -0.804978   -0.804479 3.13677e-05
          47   -0.804476   -0.804479 3.07004e-05
          48   -0.804563   -0.804481 3.01106e-05
          49   -0.804798   -0.804487 3.01835e-05
          50   -0.804831   -0.804494 3.03548e-05
