#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.421251    0.421251           0
           2    0.419878    0.420565 0.000485255
           3    0.419196    0.420108 0.000493376
           4    0.421351    0.420419 0.000457464
           5    0.419976     0.42033 0.000374465
           6    0.419443    0.420182 0.000339975
           7    0.419713    0.420115 0.000297953
           8    0.420002    0.420101 0.000261047
           9    0.422081    0.420321 0.000311243
          10    0.419423    0.420231 0.000292794
          11    0.420771     0.42028 0.000270249
          12    0.420578    0.420305 0.000248862
          13    0.418898    0.420197 0.000252159
          14    0.421004    0.420254 0.000240645
          15    0.420234    0.420253 0.000224606
          16    0.421221    0.420314 0.000218568
          17    0.419789    0.420283 0.000207877
          18    0.419724    0.420252 0.000198637
          19    0.419758    0.420226 0.000189873
          20    0.420279    0.420228 0.000180398
          21    0.419703    0.420203 0.000173533
          22    0.420731    0.420227 0.000167297
          23    0.419447    0.420193 0.000163432
          24    0.419683    0.420172 0.000158003
          25    0.420125     0.42017 0.000151694
          26    0.420492    0.420183 0.000146365
          27    0.420387     0.42019 0.000141139
          28    0.420462      0.4202 0.000136432
          29    0.421017    0.420228 0.000134608
          30    0.420164    0.420226 0.000130138
          31    0.419473    0.420202 0.000128189
          32    0.419961    0.420194 0.000124403
          33    0.419062     0.42016 0.000125276
          34    0.420054    0.420157 0.000121631
          35    0.420062    0.420154 0.000118185
          36    0.419853    0.420146 0.000115199
          37    0.419438    0.420127 0.000113662
          38    0.419957    0.420122 0.000110759
          39    0.419657     0.42011  0.00010856
          40    0.420904     0.42013 0.000107642
          41    0.420832    0.420147  0.00010637
          42    0.419761    0.420138 0.000104234
          43    0.419553    0.420124 0.000102694
          44      0.4193    0.420106 0.000102053
          45    0.420658    0.420118 0.000100522
          46    0.420055    0.420117  9.8346e-05
          47    0.419415    0.420102  9.7379e-05
          48    0.418756    0.420074  9.9304e-05
          49    0.419536    0.420063 9.78807e-05
          50    0.419112    0.420044 9.77528e-05
