#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1  0.00020562  0.00020562           0
           2 -0.00010068   5.247e-05 0.000108293
           3    2.52e-06   3.582e-05 7.34644e-05
           4   9.748e-05  5.1235e-05 5.66925e-05
           5   7.088e-05  5.5164e-05 4.54899e-05
           6  0.00024966   8.758e-05 4.80906e-05
           7  0.00053768  0.00015188 7.24084e-05
           8  -5.124e-05  0.00012649 6.76626e-05
           9  0.00030372 0.000146182 6.29449e-05
          10  -5.388e-05 0.000126176 5.97452e-05
          11  0.00027642 0.000139835 5.58533e-05
          12  0.00052968 0.000172322 5.99065e-05
          13 -0.00019654 0.000143948 6.16527e-05
          14    4.34e-05 0.000136766 5.76657e-05
          15 -0.00029158 0.000108209 6.04801e-05
          16 -0.00025248 8.56663e-05 6.07563e-05
          17 -0.00048042 5.23671e-05 6.56767e-05
          18  -1.102e-05 4.88456e-05 6.21224e-05
          19  0.00053378 7.43684e-05  6.3881e-05
          20  -0.0002677  5.7265e-05 6.29349e-05
          21  0.00063898 8.49657e-05 6.57522e-05
          22 -0.00062992 5.24709e-05 7.03361e-05
          23  0.00039414 6.73261e-05 6.88289e-05
          24  0.00034144 7.87475e-05  6.6902e-05
          25 -0.00012932 7.04248e-05 6.47415e-05
          26  0.00035522 8.13785e-05 6.31713e-05
          27 -0.00045346 6.15696e-05 6.38619e-05
          28 -0.00012344 5.49621e-05  6.1922e-05
          29   0.0007102 7.75566e-05 6.37758e-05
          30   6.294e-05 7.70693e-05 6.16518e-05
          31 -0.00052496  5.7649e-05 6.26471e-05
          32  0.00050928 7.17625e-05 6.22589e-05
          33  0.00105764 0.000101638 6.71586e-05
          34   0.0005206  0.00011396 6.63042e-05
          35 -0.00076506 8.88451e-05 6.90026e-05
          36  0.00077312 0.000107853 6.96546e-05
          37   -9.46e-05 0.000102381 6.79866e-05
          38  0.00027412 0.000106901 6.63476e-05
          39   7.598e-05 0.000106108 6.46511e-05
          40 -0.00024642 9.72945e-05 6.36327e-05
          41     0.00025 0.000101019 6.21896e-05
          42 -0.00018992 9.40919e-05 6.10934e-05
          43 -0.00088808 7.12507e-05 6.37998e-05
          44 -0.00010564 6.72305e-05 6.24763e-05
          45 -0.00102306 4.30018e-05  6.5618e-05
          46 -0.00048524 3.15183e-05 6.51886e-05
          47 -0.00032828  2.3863e-05 6.42496e-05
          48   -2.18e-06 2.33204e-05 6.29133e-05
          49 -0.00028672 1.69931e-05 6.19467e-05
          50  -0.0002305 1.20432e-05 6.09052e-05
