#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.436926    0.436926           0
           2    0.435883    0.436405 0.000368798
           3    0.435655    0.436155 0.000319593
           4     0.43584    0.436076 0.000249207
           5    0.435402    0.435941 0.000232995
           6    0.432715    0.435404 0.000527796
           7    0.435281    0.435386 0.000452688
           8    0.436375     0.43551 0.000412618
           9    0.437087    0.435685 0.000402263
          10    0.435988    0.435715 0.000363175
          11    0.437081    0.435839  0.00035075
          12    0.435573    0.435817  0.00032222
          13    0.435315    0.435779  0.00029974
          14    0.435743    0.435776 0.000278341
          15     0.43539     0.43575 0.000260971
          16    0.436211    0.435779 0.000246247
          17    0.435275    0.435749 0.000233541
          18     0.43512    0.435714  0.00022317
          19    0.436804    0.435772 0.000218662
          20    0.436762    0.435821 0.000213259
          21    0.435993    0.435829  0.00020326
          22    0.435423    0.435811 0.000194857
          23    0.437929    0.435903 0.000207001
          24     0.43542    0.435883 0.000199352
          25    0.435892    0.435883 0.000191378
          26    0.436746    0.435917  0.00018687
          27    0.435827    0.435913 0.000179978
          28    0.436379     0.43593 0.000174319
          29    0.435239    0.435906  0.00016993
          30    0.436081    0.435912 0.000164366
          31    0.434778    0.435875 0.000163079
          32    0.436256    0.435887 0.000158415
          33    0.434159    0.435835 0.000162035
          34    0.435912    0.435837 0.000157285
          35    0.435903    0.435839 0.000152802
          36    0.435157     0.43582 0.000149726
          37    0.436917     0.43585 0.000148586
          38    0.434238    0.435807 0.000150606
          39    0.435572    0.435801 0.000146865
          40     0.43798    0.435856 0.000152961
          41    0.436571    0.435873 0.000150221
          42    0.435572    0.435866 0.000146816
          43    0.437184    0.435897 0.000146566
          44    0.435027    0.435877 0.000144561
          45    0.435579     0.43587   0.0001415
          46    0.435286    0.435858 0.000138992
          47    0.435907    0.435859 0.000136039
          48    0.435824    0.435858 0.000133206
          49    0.435942     0.43586 0.000130499
          50    0.435498    0.435852  0.00012809
