#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.64667    -0.64667           0
           2   -0.646333   -0.646501 0.000119147
           3   -0.646533   -0.646512 7.99083e-05
           4   -0.646561   -0.646524 6.08564e-05
           5   -0.646532   -0.646526 4.87032e-05
           6   -0.646547   -0.646529 4.07161e-05
           7   -0.646505   -0.646526 3.50487e-05
           8   -0.646326   -0.646501  3.8514e-05
           9   -0.646602   -0.646512 3.58252e-05
          10   -0.646653   -0.646526 3.49049e-05
          11   -0.646592   -0.646532 3.22365e-05
          12   -0.646292   -0.646512 3.52327e-05
          13   -0.646366   -0.646501 3.42732e-05
          14   -0.646486     -0.6465 3.18424e-05
          15   -0.646512     -0.6465 2.97301e-05
          16   -0.646551   -0.646504 2.80418e-05
          17   -0.646637   -0.646511  2.7461e-05
          18   -0.646647   -0.646519 2.69449e-05
          19   -0.646348    -0.64651 2.69852e-05
          20   -0.646449   -0.646507 2.58098e-05
          21   -0.646449   -0.646504 2.47262e-05
          22   -0.646549   -0.646506 2.36845e-05
          23   -0.646795   -0.646519 2.57778e-05
          24   -0.646536   -0.646519 2.47133e-05
          25   -0.646346   -0.646513 2.46812e-05
          26   -0.646772   -0.646523 2.56661e-05
          27   -0.646123   -0.646508 2.86732e-05
          28   -0.646398   -0.646504 2.79175e-05
          29    -0.64649   -0.646503 2.69589e-05
          30    -0.64656   -0.646505 2.61257e-05
          31   -0.646667    -0.64651 2.57999e-05
          32   -0.646587   -0.646513 2.51059e-05
          33   -0.646491   -0.646512 2.43536e-05
          34   -0.646598   -0.646515 2.37669e-05
          35   -0.646556   -0.646516  2.3117e-05
          36   -0.646541   -0.646517 2.24853e-05
          37    -0.64659   -0.646519  2.1966e-05
          38   -0.646503   -0.646518 2.13915e-05
          39   -0.646436   -0.646516 2.09464e-05
          40    -0.64657   -0.646517 2.04654e-05
          41   -0.646478   -0.646516 1.99882e-05
          42    -0.64673   -0.646522 2.01478e-05
          43   -0.646419   -0.646519 1.98197e-05
          44   -0.646301   -0.646514 1.99814e-05
          45   -0.646343    -0.64651 1.98964e-05
          46    -0.64659   -0.646512 1.95388e-05
          47    -0.64635   -0.646509 1.94234e-05
          48   -0.646724   -0.646513 1.95305e-05
          49   -0.646585   -0.646515  1.9187e-05
          50   -0.646723   -0.646519 1.92527e-05
