#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.229899    0.229899           0
           2    0.229771    0.229835 4.52915e-05
           3    0.229941    0.229871 4.16917e-05
           4    0.229607    0.229805 6.51782e-05
           5    0.229818    0.229807  5.2195e-05
           6    0.229869    0.229818  4.4505e-05
           7    0.230498    0.229915 9.77712e-05
           8    0.230091    0.229937 8.79865e-05
           9     0.23009    0.229954 7.98299e-05
          10    0.230197    0.229978 7.54559e-05
          11     0.22962    0.229946 7.52783e-05
          12    0.230036    0.229953 6.93849e-05
          13    0.229885    0.229948 6.42469e-05
          14    0.230256     0.22997  6.3313e-05
          15    0.230129     0.22998 5.99702e-05
          16    0.230306    0.230001 5.95675e-05
          17    0.230232    0.230014 5.75985e-05
          18    0.229713    0.229998 5.67813e-05
          19    0.230318    0.230015 5.62469e-05
          20    0.229921     0.23001 5.36304e-05
          21    0.229818    0.230001 5.18447e-05
          22    0.229945    0.229998 4.95501e-05
          23    0.230125    0.230004    4.77e-05
          24    0.230136    0.230009 4.60283e-05
          25    0.230148    0.230015 4.45202e-05
          26    0.229789    0.230006 4.36494e-05
          27    0.230048    0.230008   4.206e-05
          28    0.230471    0.230024 4.36927e-05
          29    0.230748    0.230049 4.87919e-05
          30    0.230179    0.230053 4.73585e-05
          31    0.230411    0.230065 4.72137e-05
          32    0.229621    0.230051  4.7737e-05
          33    0.229765    0.230042 4.70698e-05
          34    0.230331    0.230051 4.64421e-05
          35    0.229969    0.230049 4.51746e-05
          36     0.22999    0.230047  4.3949e-05
          37     0.23005    0.230047 4.27613e-05
          38     0.23033    0.230054 4.22802e-05
          39    0.229712    0.230046 4.20997e-05
          40    0.229671    0.230036 4.20756e-05
          41    0.230338    0.230044 4.16865e-05
          42    0.229444    0.230029 4.30686e-05
          43    0.229908    0.230027 4.21594e-05
          44    0.230085    0.230028 4.12225e-05
          45    0.229727    0.230021 4.08456e-05
          46    0.230153    0.230024 4.00587e-05
          47    0.229942    0.230022 3.92442e-05
          48    0.230072    0.230023 3.84405e-05
          49    0.230354     0.23003 3.82425e-05
          50     0.22996    0.230029 3.75033e-05
