#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.528721   -0.528721           0
           2   -0.528693   -0.528707 9.98435e-06
           3    -0.52866   -0.528691 1.43427e-05
           4   -0.528716   -0.528697 1.20188e-05
           5   -0.528758    -0.52871 1.45129e-05
           6   -0.528777   -0.528721 1.58816e-05
           7   -0.528667   -0.528713 1.53591e-05
           8    -0.52854   -0.528692 2.42679e-05
           9   -0.528647   -0.528687 2.20711e-05
          10   -0.528639   -0.528682 2.03637e-05
          11   -0.528642   -0.528678 1.88378e-05
          12   -0.528482   -0.528662 2.33352e-05
          13   -0.528728   -0.528667 2.20822e-05
          14   -0.528538   -0.528658 2.23488e-05
          15   -0.528627   -0.528656 2.09499e-05
          16   -0.528663   -0.528656 1.96451e-05
          17   -0.528892    -0.52867  2.2859e-05
          18   -0.528722   -0.528673 2.17678e-05
          19   -0.528415   -0.528659 2.44802e-05
          20   -0.528536   -0.528653 2.40147e-05
          21   -0.528589    -0.52865 2.30645e-05
          22    -0.52867   -0.528651  2.2033e-05
          23   -0.528712   -0.528654  2.1232e-05
          24   -0.528687   -0.528655 2.03925e-05
          25   -0.528685   -0.528656 1.96118e-05
          26   -0.528876   -0.528665 2.05959e-05
          27   -0.528413   -0.528655 2.18368e-05
          28   -0.528405   -0.528646 2.28178e-05
          29   -0.528559   -0.528643 2.22275e-05
          30   -0.528583   -0.528641 2.15769e-05
          31   -0.528595    -0.52864 2.09319e-05
          32   -0.528635    -0.52864 2.02783e-05
          33   -0.528529   -0.528636 1.99388e-05
          34   -0.528742    -0.52864 1.95939e-05
          35   -0.528764   -0.528643 1.93546e-05
          36   -0.528563   -0.528641  1.8945e-05
          37   -0.528701   -0.528642 1.85022e-05
          38   -0.528601   -0.528641 1.80474e-05
          39   -0.528879   -0.528647 1.85841e-05
          40   -0.528645   -0.528647 1.81197e-05
          41   -0.528709   -0.528649 1.77395e-05
          42   -0.528517   -0.528646  1.7594e-05
          43   -0.528601   -0.528645 1.72161e-05
          44    -0.52868   -0.528645 1.68431e-05
          45   -0.528544   -0.528643 1.66204e-05
          46   -0.528499    -0.52864 1.65531e-05
          47   -0.528736   -0.528642 1.63255e-05
          48   -0.528701   -0.528643 1.60314e-05
          49   -0.528632   -0.528643 1.57059e-05
          50   -0.528749   -0.528645  1.5533e-05
