#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     7.37969     7.37969           0
           2     7.43622     7.40796   0.0199846
           3      7.3902     7.40204   0.0141722
           4     7.39122     7.39933   0.0108844
           5     7.38055     7.39558  0.00933326
           6     7.42338     7.40021  0.00885341
           7     7.44051     7.40597  0.00927312
           8      7.3683     7.40126  0.00923235
           9     7.40571     7.40175  0.00821975
          10     7.36653     7.39823  0.00811737
          11      7.3693      7.3956  0.00779384
          12      7.3424     7.39117  0.00831019
          13     7.42033     7.39341  0.00796789
          14     7.41764     7.39514  0.00758435
          15      7.3644     7.39309  0.00735041
          16     7.40842     7.39405  0.00695313
          17     7.42344     7.39578   0.0067556
          18      7.4196      7.3971  0.00650866
          19     7.38146     7.39628  0.00621796
          20     7.33816     7.39337  0.00655092
          21     7.40489     7.39392   0.0062619
          22     7.35046     7.39194  0.00628118
          23     7.40137     7.39235  0.00602143
          24      7.3428     7.39029  0.00611437
          25      7.3908     7.39031  0.00586982
          26     7.37002     7.38953  0.00569571
          27     7.41139     7.39034  0.00554198
          28     7.35765     7.38917  0.00546565
          29     7.34559     7.38767  0.00547992
          30     7.38957     7.38773  0.00529763
          31     7.42761     7.38902  0.00528061
          32     7.40533     7.38953  0.00514013
          33     7.40141     7.38989  0.00499696
          34     7.41322     7.39057   0.0048969
          35     7.33769     7.38906  0.00498467
          36      7.3679     7.38848  0.00488074
          37      7.3836     7.38834   0.0047506
          38      7.4059     7.38881    0.004648
          39     7.38742     7.38877  0.00452896
          40      7.3829     7.38862  0.00441811
          41     7.37342     7.38825  0.00432588
          42     7.38492     7.38817  0.00422361
          43     7.40388     7.38854  0.00414116
          44     7.31323     7.38683  0.00438647
          45     7.34774     7.38596  0.00437414
          46     7.42886     7.38689  0.00437734
          47     7.36487     7.38642   0.0043092
          48      7.4078     7.38687  0.00424238
          49     7.40425     7.38722   0.0041706
          50     7.40884     7.38766  0.00410955
