#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     4.40479     4.40479           0
           2      4.4201     4.41245  0.00541176
           3     4.41123     4.41204  0.00362303
           4     4.38621     4.40558  0.00621788
           5     4.42852     4.41017  0.00644872
           6      4.4107     4.41026  0.00537453
           7     4.41441     4.41085  0.00463933
           8     4.42332     4.41241   0.0043134
           9     4.42733     4.41407  0.00414036
          10     4.41901     4.41456  0.00375571
          11     4.42122     4.41517  0.00346275
          12     4.40162     4.41404  0.00335309
          13     4.41499     4.41411  0.00309596
          14     4.39848       4.413  0.00306954
          15     4.41124     4.41288  0.00286713
          16     4.43122     4.41403  0.00290803
          17     4.40281     4.41337  0.00281075
          18     4.41178     4.41328  0.00265598
          19     4.39927     4.41254  0.00261653
          20     4.40075     4.41195   0.0025512
          21     4.41876     4.41228  0.00245024
          22     4.40336     4.41187  0.00237215
          23     4.39356     4.41107  0.00239887
          24     4.39479      4.4104  0.00239293
          25     4.40455     4.41016  0.00230862
          26     4.43543     4.41113   0.0024157
          27     4.40804     4.41102  0.00232895
          28     4.41251     4.41107  0.00224638
          29     4.40775     4.41096  0.00217184
          30     4.41364     4.41105  0.00210128
          31     4.44955     4.41229  0.00237227
          32     4.39574     4.41177  0.00235381
          33     4.41671     4.41192  0.00228723
          34     4.42187     4.41221  0.00223858
          35     4.38444     4.41142  0.00231095
          36     4.39106     4.41085   0.0023149
          37     4.38838     4.41025  0.00233065
          38     4.41174     4.41029  0.00226965
          39     4.41724     4.41047  0.00221845
          40     4.42285     4.41077  0.00218449
          41     4.40992     4.41075  0.00213131
          42     4.40977     4.41073  0.00208069
          43     4.40562     4.41061   0.0020357
          44      4.3804     4.40993  0.00210202
          45     4.40685     4.40986  0.00205642
          46     4.40749     4.40981  0.00201236
          47     4.40587     4.40972  0.00197128
          48     4.41167     4.40976  0.00193063
          49     4.40691      4.4097  0.00189211
          50     4.43045     4.41012  0.00189923
