#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.423858    0.423858           0
           2    0.423294    0.423576 0.000199574
           3    0.421688    0.422946 0.000530844
           4    0.426731    0.423893 0.000910968
           5    0.422765    0.423667 0.000756175
           6    0.424501    0.423806 0.000642794
           7    0.422601    0.423634 0.000573571
           8     0.42313    0.423571 0.000505317
           9    0.423443    0.423557 0.000449371
          10    0.426109    0.423812 0.000471362
          11    0.425548     0.42397 0.000454166
          12    0.423542    0.423934 0.000417717
          13     0.42392    0.423933 0.000385586
          14     0.42458    0.423979   0.0003608
          15     0.42354     0.42395  0.00033793
          16    0.423343    0.423912 0.000318929
          17     0.42489    0.423969 0.000305312
          18     0.42299    0.423915 0.000293163
          19    0.425583    0.424003 0.000290587
          20    0.426856    0.424146 0.000309104
          21    0.421949    0.424041 0.000311574
          22    0.423739    0.424027 0.000297714
          23    0.421359    0.423911 0.000306537
          24    0.423593    0.423898 0.000294051
          25    0.423265    0.423873 0.000283378
          26    0.424558    0.423899 0.000273703
          27      0.4209    0.423788 0.000285221
          28    0.423252    0.423769 0.000275675
          29    0.422144    0.423713 0.000271805
          30    0.424861    0.423751 0.000265427
          31    0.424363    0.423771 0.000257598
          32    0.425373    0.423821 0.000254368
          33    0.422491    0.423781 0.000249831
          34    0.423031    0.423758 0.000243453
          35    0.425144    0.423798 0.000239694
          36    0.421918    0.423746 0.000238657
          37    0.422967    0.423725 0.000233134
          38    0.420844    0.423649 0.000239009
          39    0.420683    0.423573 0.000244684
          40    0.427915    0.423681 0.000261542
          41    0.422103    0.423643 0.000257981
          42    0.422477    0.423615 0.000253328
          43    0.422348    0.423586 0.000249145
          44    0.421702    0.423543 0.000247132
          45    0.424388    0.423562 0.000242353
          46    0.422149    0.423531 0.000239024
          47    0.424813    0.423558 0.000235489
          48    0.423436    0.423556 0.000230596
          49    0.424289    0.423571 0.000226375
          50    0.421273    0.423525 0.000226463
