#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         167    0.881894    0.886706 0.000687454
         168    0.887376     0.88671 0.000683374
         169    0.882633    0.886685 0.000679755
         170    0.879047     0.88664  0.00067724
         171    0.879385    0.886598 0.000674608
         172     0.87991    0.886559 0.000671805
         173    0.893127    0.886597 0.000668994
         174    0.884011    0.886582 0.000665314
         175    0.895894    0.886635 0.000663637
         176    0.886799    0.886636 0.000659867
         177    0.888095    0.886645  0.00065619
         178    0.887257    0.886648 0.000652513
         179    0.878274    0.886601 0.000650542
         180    0.896106    0.886654 0.000649067
         181    0.877883    0.886606 0.000647288
         182    0.885696    0.886601  0.00064375
         183    0.895085    0.886647   0.0006419
         184    0.879167    0.886606 0.000639697
         185    0.871603    0.886525  0.00064136
         186    0.902634    0.886612 0.000643732
         187    0.883976    0.886598 0.000640444
         188    0.885074     0.88659 0.000637089
         189    0.881248    0.886561 0.000634345
         190    0.894123    0.886601 0.000632253
         191    0.876582    0.886549 0.000631116
         192    0.899128    0.886614  0.00063122
         193    0.878665    0.886573 0.000629292
         194    0.880416    0.886541 0.000626848
         195    0.886825    0.886543 0.000623635
         196    0.868098    0.886449 0.000627513
         197    0.882942    0.886431  0.00062458
         198    0.895045    0.886474 0.000622939
         199    0.882261    0.886453 0.000620168
         200    0.899228    0.886517 0.000620348
         201    0.894944    0.886559 0.000618677
         202    0.901422    0.886633 0.000619974
         203    0.889191    0.886645 0.000617048
         204    0.879592    0.886611 0.000614991
         205    0.912616    0.886737 0.000624937
         206    0.893316    0.886769 0.000622719
         207    0.895899    0.886814 0.000621271
         208    0.896144    0.886858 0.000619901
         209    0.890398    0.886875 0.000617166
         210    0.859213    0.886744 0.000628127
         211    0.888927    0.886754 0.000625236
         212     0.88809     0.88676 0.000622318
         213    0.889983    0.886775 0.000619581
         214    0.888715    0.886784 0.000616752
         215     0.87087     0.88671 0.000618309
         216    0.877119    0.886666 0.000617039
         217    0.887098    0.886668 0.000614198
         218    0.884794    0.886659 0.000611441
         219    0.879212    0.886625 0.000609594
         220    0.882524    0.886607 0.000607108
         221    0.892769    0.886635 0.000605001
         222    0.910398    0.886742 0.000611672
         223    0.907908    0.886837 0.000616249
         224    0.865415    0.886741 0.000620874
         225    0.869784    0.886666 0.000622672
         226    0.894469      0.8867 0.000620873
         227    0.889834    0.886714 0.000618291
         228    0.894808    0.886749 0.000616598
         229    0.875838    0.886702 0.000615744
         230    0.880572    0.886675 0.000613643
         231    0.886831    0.886676 0.000610987
         232    0.898879    0.886728 0.000610613
         233    0.892018    0.886751 0.000608415
         234    0.867238    0.886668 0.000611502
         235    0.880662    0.886642 0.000609434
         236    0.872057     0.88658 0.000609977
         237    0.882531    0.886563 0.000607643
         238    0.882649    0.886547 0.000605312
         239    0.893682    0.886577 0.000603515
         240    0.897871    0.886624 0.000602833
         241    0.879134    0.886593 0.000601132
         242    0.869701    0.886523 0.000602687
         243     0.88594     0.88652 0.000600211
         244    0.877319    0.886483 0.000598935
         245    0.895002    0.886518 0.000597499
         246    0.885905    0.886515 0.000595075
         247     0.88439    0.886506 0.000592728
         248    0.893151    0.886533 0.000590943
         249    0.883305     0.88652 0.000588712
         250    0.876221    0.886479 0.000587797
         251    0.886185    0.886478 0.000585456
         252    0.875632    0.886435 0.000584713
         253    0.884934    0.886429 0.000582432
         254    0.872783    0.886375 0.000582611
         255    0.892757      0.8864 0.000580864
         256    0.896291    0.886439 0.000579878
         257    0.893416    0.886466 0.000578257
         258    0.887302    0.886469 0.000576025
         259    0.884041     0.88646 0.000573877
         260    0.881366     0.88644 0.000572004
         261    0.891305    0.886459 0.000570116
         262    0.884796    0.886453 0.000567975
         263    0.867807    0.886382 0.000570223
         264    0.888517     0.88639 0.000568121
         265    0.890932    0.886407 0.000566236
         266    0.877177    0.886372 0.000565169
         267    0.889436    0.886384 0.000563169
         268     0.89761    0.886426 0.000562623
         269    0.872109    0.886372 0.000563043
         270    0.886057    0.886371 0.000560959
         271    0.880718     0.88635 0.000559277
         272    0.884447    0.886343 0.000557264
         273    0.890256    0.886358 0.000555407
         274    0.889874     0.88637 0.000553529
         275    0.878558    0.886342 0.000552244
         276    0.896571    0.886379 0.000551485
         277    0.886614     0.88638 0.000549495
         278    0.882183    0.886365 0.000547726
         279    0.876937    0.886331 0.000546804
         280    0.888384    0.886338   0.0005449
         281    0.893641    0.886364 0.000543581
         282    0.870601    0.886309  0.00054452
         283    0.883532    0.886299 0.000542684
         284    0.876358    0.886264 0.000541901
         285    0.898064    0.886305 0.000541579
         286    0.892324    0.886326 0.000540094
         287    0.891869    0.886345 0.000538557
         288    0.891865    0.886365 0.000537028
         289    0.890357    0.886378 0.000535348
         290    0.891656    0.886397 0.000533811
         291     0.88454     0.88639 0.000532014
         292    0.878431    0.886363  0.00053089
         293    0.898434    0.886404 0.000530675
         294    0.882828    0.886392 0.000529009
         295    0.886455    0.886392 0.000527216
         296    0.892934    0.886414 0.000525898
         297    0.881326    0.886397 0.000524406
         298    0.877468    0.886367 0.000523501
         299    0.888698    0.886375 0.000521809
         300    0.883959    0.886367 0.000520131
         301    0.882138    0.886353 0.000518593
         302    0.883137    0.886342 0.000516985
         303    0.883901    0.886334 0.000515342
         304    0.871952    0.886287 0.000515814
         305    0.889155    0.886296 0.000514208
         306    0.874217    0.886257 0.000514041
         307    0.878071     0.88623 0.000513058
         308    0.890573    0.886244 0.000511586
         309    0.864753    0.886175 0.000514636
         310    0.872753    0.886131 0.000514794
         311    0.893274    0.886154  0.00051365
         312    0.899234    0.886196 0.000513712
         313    0.890246    0.886209 0.000512234
         314    0.877832    0.886183 0.000511297
         315    0.879003     0.88616 0.000510181
         316    0.886436    0.886161 0.000508567
         317     0.88704    0.886163 0.000506971
