#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         140   -0.974222    -0.97416 3.13602e-05
         141   -0.974033   -0.974159 3.11507e-05
         142   -0.973869   -0.974157 3.09985e-05
         143   -0.973588   -0.974153 3.10365e-05
         144   -0.973659    -0.97415 3.10103e-05
         145   -0.975171   -0.974157 3.15862e-05
         146   -0.974229   -0.974158 3.13737e-05
         147   -0.974076   -0.974157 3.11652e-05
         148   -0.974369   -0.974158 3.09876e-05
         149   -0.973808   -0.974156 3.08686e-05
         150   -0.974082   -0.974156 3.06668e-05
         151   -0.974322   -0.974157 3.04835e-05
         152   -0.974529   -0.974159  3.0381e-05
         153   -0.974022   -0.974158 3.01957e-05
         154    -0.97436    -0.97416 3.00279e-05
         155   -0.973786   -0.974157 2.99306e-05
         156   -0.974468   -0.974159 2.98052e-05
         157   -0.974368    -0.97416 2.96451e-05
         158   -0.974555   -0.974163 2.95627e-05
         159   -0.974288   -0.974164 2.93873e-05
         160   -0.974344   -0.974165 2.92252e-05
         161   -0.974163   -0.974165 2.90436e-05
         162   -0.974134   -0.974165  2.8865e-05
         163   -0.974031   -0.974164 2.86994e-05
         164   -0.974835   -0.974168 2.88147e-05
         165    -0.97474   -0.974171 2.88482e-05
         166   -0.974117   -0.974171 2.86763e-05
         167   -0.974447   -0.974173 2.85522e-05
         168   -0.974221   -0.974173 2.83837e-05
         169   -0.973657    -0.97417 2.83792e-05
         170   -0.973678   -0.974167 2.83597e-05
         171    -0.97414   -0.974167 2.81943e-05
         172   -0.973448   -0.974163 2.83381e-05
         173   -0.973977   -0.974162 2.81946e-05
         174   -0.974028   -0.974161 2.80431e-05
         175   -0.974237   -0.974161 2.78862e-05
         176   -0.974358   -0.974162 2.77501e-05
         177   -0.973775    -0.97416 2.76794e-05
         178   -0.973941   -0.974159 2.75513e-05
         179   -0.974372    -0.97416  2.7423e-05
         180   -0.973984   -0.974159  2.7288e-05
         181   -0.974091   -0.974159 2.71399e-05
         182   -0.973813   -0.974157  2.7057e-05
         183   -0.973678   -0.974154 2.70356e-05
         184   -0.974446   -0.974156 2.69353e-05
         185   -0.974851    -0.97416 2.70508e-05
         186   -0.974129    -0.97416 2.69059e-05
         187   -0.974103   -0.974159 2.67637e-05
         188   -0.974125   -0.974159 2.66219e-05
         189    -0.97363   -0.974156 2.66277e-05
         190   -0.974256   -0.974157 2.64927e-05
         191   -0.974703    -0.97416 2.65077e-05
         192   -0.974364   -0.974161 2.63911e-05
         193   -0.973777   -0.974159 2.63291e-05
         194   -0.974329    -0.97416 2.62081e-05
         195   -0.974269    -0.97416 2.60797e-05
         196   -0.974053    -0.97416 2.59524e-05
         197   -0.973649   -0.974157 2.59498e-05
         198   -0.973651   -0.974154 2.59442e-05
         199   -0.973871   -0.974153 2.58529e-05
         200   -0.973995   -0.974152 2.57358e-05
         201   -0.973805    -0.97415 2.56657e-05
         202   -0.974212   -0.974151 2.55404e-05
         203   -0.974476   -0.974152 2.54649e-05
         204   -0.974081   -0.974152 2.53425e-05
         205   -0.974184   -0.974152 2.52193e-05
         206   -0.974008   -0.974151 2.51066e-05
         207   -0.973975   -0.974151 2.49999e-05
         208   -0.974408   -0.974152 2.49103e-05
         209   -0.974263   -0.974152 2.47968e-05
         210   -0.974302   -0.974153  2.4689e-05
         211   -0.973825   -0.974152  2.4621e-05
         212   -0.973821    -0.97415 2.45541e-05
         213   -0.973976   -0.974149 2.44524e-05
         214   -0.974684   -0.974152 2.44656e-05
         215   -0.974147   -0.974152 2.43518e-05
         216   -0.973864    -0.97415 2.42755e-05
         217   -0.974011    -0.97415 2.41722e-05
         218   -0.974469   -0.974151 2.41057e-05
         219   -0.974625   -0.974153 2.40926e-05
         220    -0.97323   -0.974149 2.43457e-05
         221   -0.973931   -0.974148 2.42555e-05
         222   -0.973353   -0.974145  2.4409e-05
         223   -0.973846   -0.974143 2.43362e-05
         224   -0.973666   -0.974141 2.43205e-05
         225    -0.97381    -0.97414 2.42568e-05
         226   -0.973859   -0.974138 2.41813e-05
         227   -0.974216   -0.974139 2.40772e-05
         228   -0.974917   -0.974142 2.42124e-05
         229    -0.97414   -0.974142 2.41067e-05
         230   -0.974589   -0.974144 2.40801e-05
         231   -0.974316   -0.974145 2.39874e-05
         232   -0.974096   -0.974145 2.38849e-05
         233   -0.974281   -0.974145 2.37895e-05
         234   -0.974638   -0.974147 2.37809e-05
         235   -0.974882    -0.97415 2.38842e-05
         236   -0.974365   -0.974151 2.38002e-05
         237   -0.974506   -0.974153 2.37467e-05
         238   -0.974134   -0.974153 2.36471e-05
         239   -0.974698   -0.974155 2.36578e-05
         240   -0.973509   -0.974152  2.3712e-05
         241   -0.974376   -0.974153 2.36317e-05
         242   -0.974269   -0.974154 2.35389e-05
         243   -0.973716   -0.974152 2.35107e-05
         244   -0.974182   -0.974152 2.34147e-05
         245    -0.97457   -0.974154 2.33813e-05
         246   -0.974317   -0.974154 2.32956e-05
         247   -0.974101   -0.974154 2.32023e-05
         248   -0.974117   -0.974154 2.31092e-05
         249   -0.973462   -0.974151  2.3183e-05
         250   -0.974476   -0.974153 2.31266e-05
         251   -0.974233   -0.974153 2.30367e-05
         252   -0.974702   -0.974155 2.30482e-05
         253   -0.974381   -0.974156 2.29744e-05
