#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
         171     79.4221     79.0318   0.0367659
         172     79.4958     79.0345    0.036651
         173     79.8732     79.0394   0.0367583
         174     78.0721     79.0338    0.036965
         175     79.4304     79.0361   0.0368232
         176     78.5895     79.0335   0.0367013
         177     78.6368     79.0313   0.0365623
         178     79.4928     79.0339   0.0364487
         179     78.2844     79.0297   0.0364848
         180     79.2066     79.0307   0.0362954
         181     79.7083     79.0344   0.0362874
         182     78.9178     79.0338   0.0360937
         183     78.4307     79.0305   0.0360466
         184     79.1574     79.0312   0.0358573
         185     78.4828     79.0282   0.0357858
         186     79.3115     79.0297   0.0356258
         187     79.4742     79.0321   0.0355145
         188     78.6378       79.03   0.0353875
         189     79.5928      79.033   0.0353253
         190     78.9924     79.0328     0.03514
         191      78.993     79.0326   0.0349566
         192     79.5633     79.0353   0.0348837
         193     78.6457     79.0333   0.0347613
         194     78.9985     79.0331   0.0345826
         195     80.3771       79.04   0.0350853
         196     78.3009     79.0363   0.0351084
         197      79.389      79.038   0.0349758
         198     79.1558     79.0386   0.0348042
         199     78.2718     79.0348    0.034842
         200     78.3998     79.0316   0.0348122
         201     79.7392     79.0351   0.0348165
         202     79.7086     79.0385   0.0348034
         203     79.8847     79.0426   0.0348807
         204     79.1036     79.0429    0.034711
         205     78.9968     79.0427   0.0345424
         206     79.0971      79.043   0.0343758
         207     78.7829     79.0417   0.0342327
         208     78.8732     79.0409   0.0340777
         209     78.5621     79.0386   0.0339915
         210     79.7071     79.0418   0.0339784
         211     79.2994      79.043   0.0338393
         212     79.0475      79.043   0.0336797
         213     78.7613     79.0417   0.0335475
         214     78.8668     79.0409   0.0334007
         215     78.5923     79.0388   0.0333105
         216     78.2654     79.0352   0.0333481
         217     79.4918     79.0373   0.0332608
         218     79.4419     79.0392   0.0331599
         219     78.6964     79.0376   0.0330454
         220     79.0719     79.0378   0.0328956
         221      79.388     79.0394   0.0327849
         222     78.3248     79.0361   0.0327948
         223      78.558      79.034   0.0327178
         224     78.8052      79.033   0.0325877
         225      79.198     79.0337   0.0324511
         226     79.2067     79.0345   0.0323165
         227     79.1046     79.0348   0.0321756
         228     79.0089     79.0347   0.0320347
         229     78.4236      79.032   0.0320058
         230     79.1671     79.0326    0.031872
         231     78.7824     79.0315   0.0317524
