#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
         167    0.325355    0.329195 0.000246332
         168    0.329536    0.329197 0.000244874
         169    0.332441    0.329216 0.000244176
         170    0.333639    0.329242 0.000244122
         171    0.328622    0.329238 0.000242721
         172    0.334041    0.329266 0.000242911
         173     0.33023    0.329272 0.000241571
         174    0.331332    0.329284 0.000240473
         175    0.325973    0.329265 0.000239841
         176    0.327771    0.329256 0.000238629
         177    0.330751    0.329265  0.00023743
         178     0.33295    0.329285 0.000236997
         179    0.327644    0.329276  0.00023585
         180    0.331445    0.329288 0.000234848
         181    0.328959    0.329286 0.000233557
         182     0.33094    0.329295 0.000232451
         183    0.334045    0.329321 0.000232625
         184    0.326359    0.329305 0.000231917
         185    0.325594    0.329285  0.00023153
         186    0.328854    0.329283 0.000230297
         187     0.33182    0.329297 0.000229464
         188    0.328287    0.329291 0.000228306
         189    0.334479    0.329319 0.000228743
         190    0.327675     0.32931 0.000227702
         191     0.32666    0.329296 0.000226932
         192    0.328742    0.329293 0.000225769
         193      0.3323    0.329309 0.000225136
         194    0.327839    0.329301 0.000224103
         195    0.327228    0.329291 0.000223205
         196    0.329639    0.329292 0.000222074
         197    0.333634    0.329314 0.000222037
         198     0.33342    0.329335 0.000221882
         199    0.331857    0.329348 0.000221129
         200    0.331732     0.32936 0.000220344
         201    0.332449    0.329375 0.000219783
         202    0.328874    0.329373 0.000218709
         203    0.325498    0.329354 0.000218463
         204    0.331841    0.329366 0.000217732
         205    0.328797    0.329363 0.000216688
         206    0.331269    0.329372 0.000215833
         207    0.329806    0.329374 0.000214801
         208    0.328992    0.329372 0.000213776
         209    0.327176    0.329362 0.000213011
         210    0.327278    0.329352 0.000212228
         211    0.332788    0.329368 0.000211846
         212    0.331582    0.329379 0.000211104
         213    0.330952    0.329386 0.000210242
         214    0.324668    0.329364 0.000210413
         215    0.328479     0.32936 0.000209474
         216    0.331149    0.329368 0.000208668
         217    0.329686     0.32937 0.000207711
         218    0.324863    0.329349 0.000207785
         219    0.324086    0.329325 0.000208221
         220    0.337362    0.329362 0.000210455
         221    0.332436    0.329375 0.000209962
         222    0.333465    0.329394 0.000209823
         223    0.331568    0.329404 0.000209108
         224     0.33328    0.329421  0.00020889
         225    0.331617    0.329431 0.000208189
         226    0.330463    0.329435 0.000207318
         227     0.32858    0.329432 0.000206439
         228    0.323309    0.329405 0.000207272
         229    0.331637    0.329414 0.000206596
         230    0.326579    0.329402 0.000206066
         231    0.329069    0.329401 0.000205179
         232    0.327525    0.329393 0.000204454
         233    0.330986    0.329399  0.00020369
         234    0.325269    0.329382 0.000203583
         235    0.323302    0.329356 0.000204354
         236    0.327302    0.329347 0.000203673
         237    0.327032    0.329337 0.000203048
         238    0.330303    0.329341 0.000202236
         239     0.32535    0.329325 0.000202078
         240    0.335122    0.329349 0.000202674
         241    0.327456    0.329341 0.000201985
         242    0.327205    0.329332 0.000201344
         243    0.333107    0.329348 0.000201113
         244     0.32941    0.329348 0.000200289
         245    0.326242    0.329335 0.000199873
