#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         147   0.0166991-0.000168445   0.0029833
         148   0.0128542-8.04538e-05  0.00296444
         149  0.00279924 -6.1127e-05   0.0029446
         150  -0.0531808-0.000415258  0.00294619
         151  -0.0353335-0.000646504  0.00293574
         152  -0.0284486-0.000829413  0.00292212
         153   0.0661993-0.000391316  0.00293568
         154  -0.0212685-0.000526882  0.00291974
         155   0.0172303 -0.00041232  0.00290315
         156   0.0250546 -0.00024907  0.00288913
         157  0.00314694 -0.00022744  0.00287081
         158  -0.0496249-0.000540082  0.00286961
         159  -0.0105737-0.000603186  0.00285226
         160  -0.0695301 -0.00103398  0.00286678
         161  -0.0402599 -0.00127762  0.00285931
         162  -0.0046652 -0.00129853  0.00284173
         163   0.0465533 -0.00100496  0.00283942
         164  -0.0170273 -0.00110266  0.00282379
         165   0.0384406-0.000863002  0.00281683
         166   0.0172065-0.000754149  0.00280196
         167    0.023348-0.000609825   0.0027889
         168  -0.0079542-0.000653542  0.00277264
         169   0.0309876-0.000466316  0.00276255
         170  -0.0229889-0.000598802  0.00274947
         171   0.0433027-0.000342068  0.00274535
         172    0.018683-0.000231457  0.00273162
         173  -0.0200537-0.000346037  0.00271823
         174    0.051169-4.99734e-05  0.00271869
         175 -0.00301768-6.69318e-05   0.0027032
         176 -0.00945814-0.000120291  0.00268837
         177  -0.0022267-0.000132192  0.00267321
         178 -0.00850242-0.000179215   0.0026586
         179  -0.0182202-0.000280003  0.00264566
         180   0.0278697-0.000123616  0.00263558
         181   0.0016497-0.000113818  0.00262104
         182  -0.0104437-0.000170576  0.00260725
         183   0.0160356-8.20175e-05  0.00259451
         184   -0.028734-0.000237735  0.00258508
         185   0.0427982-5.10843e-06  0.00258155
         186 -0.00750896-4.54517e-05  0.00256798
         187  -0.0384085-0.000250602  0.00256243
         188   0.0436829-1.69132e-05  0.00255944
         189   0.0201659 8.98742e-05  0.00254812
         190   -0.023701-3.53407e-05  0.00253778
         191 -0.00854052-7.98705e-05  0.00252489
         192   0.0423491 0.000141114  0.00252139
         193  -0.0392087-6.27712e-05  0.00251656
         194   -0.026356-0.000198303  0.00250723
         195  -0.0296784-0.000349483  0.00249893
         196  0.00199638-0.000337514  0.00248621
         197   0.0090948-0.000289635  0.00247405
         198   0.0420083-7.60086e-05  0.00247076
         199  -0.0676393-0.000415523  0.00248156
         200  0.00196974-0.000403597  0.00246918
         201  0.00828138-0.000360388  0.00245727
         202  0.00090624-0.000354117  0.00244512
         203    0.051449-9.89294e-05  0.00244635
         204 -0.00962296-0.000145616  0.00243481
         205   0.0261284-1.74499e-05   0.0024263
         206  -0.0157011 -9.3584e-05  0.00241572
         207  0.00337374-7.68336e-05   0.0024041
         208   0.0092859-3.18205e-05  0.00239297
         209   0.0313654 0.000118405  0.00238623
         210  -0.0537486-0.000138104  0.00238861
         211   0.0307836 8.44455e-06  0.00238178
         212  -0.0220198-9.54622e-05  0.00237281
         213  -0.0338052-0.000253724  0.00236694
         214   0.0353395-8.74005e-05  0.00236172
         215  -0.0507242 -0.00032292  0.00236245
         216  -0.0531868 -0.00056766  0.00236416
         217  -0.0362263-0.000731986  0.00235897
         218   0.0230044-0.000623103  0.00235066
         219   0.0212119  -0.0005234  0.00234204
         220   -0.048854-0.000743085  0.00234167
         221 -0.00343552-0.000755268  0.00233111
         222   0.0501024-0.000526179  0.00233184
         223   0.0416774-0.000336925  0.00232905
         224  0.00859606-0.000297046  0.00231899
         225  -0.0666821-0.000592091  0.00232738
         226 -0.00517614-0.000612374  0.00231717
         227  -0.0433025-0.000800436  0.00231458
         228  -0.0184111-0.000877676  0.00230572
         229  0.00111948-0.000868955  0.00229566
         230   0.0134709-0.000806608  0.00228653
         231  -0.0222709-0.000899527  0.00227852
         232   0.0720025-0.000585294  0.00229026
         233   0.0148036-0.000519247  0.00228138
         234  -0.0108467-0.000563382  0.00227206
         235  0.00393246 -0.00054425  0.00226247
         236  -0.0265967-0.000654642  0.00225558
         237 -0.00481652-0.000672203  0.00224613
         238  -0.0127569-0.000722979  0.00223727
         239  -0.0538652-0.000945331  0.00223893
         240  0.00360168-0.000926385  0.00222968
         241   -0.110369  -0.0013805   0.0022662
         242  -0.0249384 -0.00147785  0.00225893
         243     2.4e-07 -0.00147177  0.00224964
         244  -0.0250206 -0.00156828  0.00224249
         245   0.0143743 -0.00150321  0.00223428
         246   0.0216769 -0.00140898  0.00222718
         247  -0.0576904 -0.00163684  0.00222979
         248 -0.00229088 -0.00163948   0.0022208
         249   0.0679318 -0.00136008  0.00222939
         250 -0.00454816 -0.00137283  0.00222051
         251  -0.0613143 -0.00161164  0.00222447
         252   0.0292512 -0.00148917  0.00221901
         253  -0.0248572 -0.00158153  0.00221216
         254  0.00998238   -0.001536  0.00220392
         255  -0.0302593 -0.00164864  0.00219815
         256   0.0435746 -0.00147199  0.00219665
         257 -0.00688628 -0.00149306  0.00218821
         258 -0.00158054  -0.0014934  0.00217972
         259 -0.00346156   -0.001501  0.00217132
         260  -0.0162999 -0.00155791  0.00216372
