#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
         171     78.9759     79.0833    0.027554
         172     78.3874     79.0792   0.0276893
         173     78.8441     79.0779   0.0275626
         174      78.918      79.077   0.0274195
         175     78.9657     79.0763   0.0272701
         176     79.2591     79.0774    0.027135
         177     78.6578      79.075    0.027085
         178     78.8999      79.074   0.0269507
         179     79.3056     79.0753   0.0268312
         180     78.8482      79.074   0.0267118
         181     78.9997     79.0736   0.0265673
         182     78.7018     79.0716   0.0264998
         183      78.573     79.0689   0.0264947
         184     79.3721     79.0705   0.0264019
         185     79.8268     79.0746   0.0265738
         186     79.0289     79.0743    0.026432
         187     79.0572     79.0743   0.0262908
         188     78.9982     79.0739   0.0261541
         189     78.4979     79.0708   0.0261926
         190     79.1237     79.0711   0.0260563
         191     79.6845     79.0743    0.026117
         192     79.1983     79.0749    0.025989
         193     78.7352     79.0732   0.0259139
         194     79.2567     79.0741   0.0257975
         195     79.1863     79.0747   0.0256717
         196     78.9153     79.0739   0.0255536
         197     78.5832     79.0714   0.0255449
         198     78.5224     79.0686    0.025566
         199     78.8333     79.0674   0.0254648
         200     78.9799      79.067   0.0253412
         201     78.7315     79.0653   0.0252701
         202     79.1136     79.0656   0.0251461
         203     79.3854     79.0672   0.0250715
         204     79.1642     79.0676   0.0249532
         205     79.0571     79.0676   0.0248315
         206     78.8684     79.0666   0.0247298
         207      78.838     79.0655   0.0246349
         208     79.2707     79.0665   0.0245362
         209     79.1188     79.0667   0.0244201
         210     79.1737     79.0672   0.0243091
         211     78.7841     79.0659   0.0242309
         212     78.7141     79.0642   0.0241734
         213     78.7899      79.063   0.0240942
         214     79.4913      79.065   0.0240646
         215     79.0694      79.065   0.0239527
         216     78.7286     79.0634   0.0238923
         217     78.9387     79.0629   0.0237892
         218     79.2662     79.0638   0.0236983
         219     79.5103     79.0658   0.0236776
         220     78.1297     79.0616   0.0239493
         221     78.8767     79.0607   0.0238556
         222     78.1542     79.0566    0.024095
         223     78.8193     79.0556   0.0240105
         224     78.5933     79.0535   0.0239918
         225      78.609     79.0515   0.0239664
         226     78.7993     79.0504   0.0238863
         227     79.1224     79.0507   0.0237832
         228     79.8075     79.0541   0.0239094
         229     79.1532     79.0545   0.0238089
         230     79.4775     79.0563   0.0237763
         231      79.371     79.0577   0.0237123
         232      79.017     79.0575   0.0236108
         233     79.2433     79.0583   0.0235229
         234     79.5387     79.0604   0.0235118
         235     79.7763     79.0634   0.0236083
         236     79.2507     79.0642   0.0235216
         237     79.4212     79.0657   0.0234705
         238     79.2105     79.0663   0.0233798
         239     79.5033     79.0682   0.0233533
         240     78.3463     79.0651   0.0234489
         241     79.3173     79.0662    0.023375
         242     79.1359     79.0665   0.0232801
         243     78.6956      79.065   0.0232343
         244     79.0727      79.065   0.0231391
         245     79.4719     79.0666   0.0231042
         246     79.2074     79.0672   0.0230174
         247     78.9972     79.0669   0.0229259
         248     78.9104     79.0663   0.0228422
         249     78.4253     79.0637    0.022895
         250     79.3997     79.0651   0.0228428
         251     79.1489     79.0654   0.0227543
         252     79.6547     79.0677   0.0227838
         253     79.3034     79.0687   0.0227128
         254     78.7335     79.0674   0.0226617
         255     78.9841      79.067   0.0225752
         256       79.45     79.0685   0.0225365
         257     78.6764      79.067   0.0225004
         258     79.3662     79.0682   0.0224431
         259     78.9492     79.0677   0.0223611
         260     78.8938      79.067   0.0222851
         261     78.7788     79.0659   0.0222271
         262     79.6428     79.0681    0.022251
         263     78.5164      79.066   0.0222651
         264     79.4392     79.0674   0.0222256
         265     78.9351     79.0669   0.0221473
         266     78.7517     79.0658   0.0220957
         267     78.9845     79.0655   0.0220151
         268     78.8416     79.0646   0.0219488
         269     78.8598     79.0639   0.0218804
         270     78.9031     79.0633   0.0218074
         271     79.1216     79.0635    0.021728
         272        79.2      79.064    0.021654
         273     79.4786     79.0655   0.0216278
         274     79.1778     79.0659   0.0215528
         275     79.1364     79.0662   0.0214759
         276     78.7938     79.0652   0.0214208
         277     78.6961     79.0639   0.0213848
         278     78.8346      79.063   0.0213238
         279     78.9043     79.0625    0.021255
         280     79.3253     79.0634   0.0211998
         281     78.7528     79.0623   0.0211531
         282      79.433     79.0636   0.0211189
         283      79.647     79.0657   0.0211447
         284     78.8355     79.0649   0.0210858
         285     78.5387      79.063   0.0210924
         286     79.3502      79.064   0.0210426
         287     78.8153     79.0631   0.0209871
         288     79.3601     79.0642   0.0209395
         289     78.0753     79.0608   0.0211448
         290     78.8657     79.0601   0.0210826
         291     78.9712     79.0598   0.0210123
         292     79.0118     79.0596    0.020941
         293     79.1492     79.0599   0.0208718
         294     78.5661     79.0582   0.0208683
         295     78.9696     79.0579   0.0207997
         296     78.9546     79.0576   0.0207324
         297     79.1921      79.058   0.0206675
         298      78.806     79.0572   0.0206155
         299     78.4812     79.0553   0.0206363
         300     79.1881     79.0557   0.0205723
         301     79.5955     79.0575    0.020582
         302     78.7759     79.0566   0.0205349
         303      79.077     79.0566   0.0204673
         304     78.7921     79.0558   0.0204184
         305     79.3794     79.0568    0.020379
         306     78.8267     79.0561   0.0203263
         307     78.8337     79.0554    0.020273
         308     79.1667     79.0557   0.0202104
         309     79.2501     79.0563   0.0201548
         310     79.0044     79.0562   0.0200905
         311      79.432     79.0574   0.0200622
         312     79.1292     79.0576   0.0199992
         313     79.2219     79.0581   0.0199422
         314     79.0719     79.0582   0.0198787
         315     79.4688     79.0595   0.0198583
         316     78.9663     79.0592   0.0197977
         317      78.583     79.0577   0.0197921
         318     78.5703     79.0562   0.0197891
         319     79.4381     79.0574   0.0197633
         320     79.4468     79.0586    0.019739
         321     79.2672     79.0592   0.0196882
         322     78.9015     79.0587   0.0196331
         323     79.6612     79.0606   0.0196607
         324     78.7777     79.0597   0.0196194
         325     79.1975     79.0602   0.0195637
         326      79.366     79.0611   0.0195261
         327     79.0109     79.0609    0.019467
         328     78.5842     79.0595   0.0194619
         329     78.7597     79.0586    0.019424
         330     78.6123     79.0572   0.0194122
         331     79.3408     79.0581   0.0193724
         332     79.2381     79.0586   0.0193217
         333     79.2866     79.0593   0.0192758
         334     78.9283     79.0589   0.0192221
         335     79.3759     79.0599    0.019188
         336     78.7129     79.0588   0.0191586
         337     79.1552     79.0591   0.0191039
         338     79.1707     79.0594   0.0190502
         339     79.5575     79.0609   0.0190506
         340     79.5255     79.0623   0.0190435
         341     79.2418     79.0628    0.018995
         342     78.5673     79.0614   0.0189946
         343     79.7225     79.0633   0.0190368
         344     78.8917     79.0628    0.018988
         345     78.9492     79.0625   0.0189358
         346      79.357     79.0633   0.0189002
         347     78.3763     79.0613   0.0189491
         348     79.1582     79.0616   0.0188967
         349     79.1284     79.0618   0.0188435
         350     78.8826     79.0613   0.0187966
         351     78.7069     79.0603   0.0187702
         352     78.6239      79.059   0.0187578
         353     79.2994     79.0597    0.018717
         354     78.8534     79.0591   0.0186732
         355     78.1549     79.0566   0.0187935
         356     79.1588     79.0569   0.0187429
         357     78.6675     79.0558   0.0187221
         358     78.2449     79.0535   0.0188063
         359     79.4716     79.0547     0.01879
         360     78.7489     79.0538   0.0187569
         361     78.8022     79.0531   0.0187179
         362     78.5386     79.0517   0.0187201
         363     78.9347     79.0514   0.0186713
         364     79.5881     79.0529   0.0186781
         365     79.5387     79.0542   0.0186743
         366     79.2558     79.0547   0.0186314
         367     79.0721     79.0548   0.0185807
         368     78.7171     79.0539   0.0185529
         369     79.1276     79.0541   0.0185037
         370      79.415     79.0551   0.0184794
         371     79.5347     79.0563   0.0184747
         372     78.0569     79.0537   0.0186194
         373     79.1305     79.0539   0.0185706
         374     79.0267     79.0538   0.0185211
         375     79.6591     79.0554   0.0185419
         376     78.8214     79.0548    0.018503
         377     78.7915     79.0541   0.0184671
         378     78.9071     79.0537   0.0184224
         379     79.2001     79.0541   0.0183778
         380     79.3109     79.0548   0.0183419
         381     79.5211      79.056   0.0183345
         382     79.0187     79.0559   0.0182868
         383     78.5024     79.0544   0.0182961
         384     78.4737     79.0529   0.0183108
         385      78.928     79.0526   0.0182661
         386     78.9988     79.0525   0.0182193
         387     79.0381     79.0524   0.0181723
         388      78.858     79.0519   0.0181324
         389     78.8602     79.0514   0.0180924
         390     79.1296     79.0516   0.0180472
         391     78.9336     79.0513   0.0180035
         392     78.8899     79.0509   0.0179623
         393     79.1388     79.0511    0.017918
         394     79.1685     79.0514    0.017875
         395     78.7593     79.0507    0.017845
         396     79.7001     79.0523   0.0178752
         397     79.8999     79.0545   0.0179572
         398     79.0622     79.0545   0.0179121
         399     78.5787     79.0533   0.0179069
         400     79.1048     79.0534   0.0178626
         401      79.448     79.0544   0.0178451
         402     79.4779     79.0555   0.0178318
         403     78.9575     79.0552   0.0177892
         404     78.8941     79.0548   0.0177496
         405     79.2713     79.0554   0.0177138
         406     77.7817     79.0522   0.0179459
         407     79.1592     79.0525   0.0179037
         408     79.4937     79.0536   0.0178924
         409     79.5626     79.0548   0.0178919
         410     78.8715     79.0544   0.0178539
         411     79.4889     79.0554   0.0178417
         412     79.2188     79.0558   0.0178028
         413     78.8276     79.0553   0.0177683
         414     79.0401     79.0552   0.0177254
         415     79.2687     79.0557   0.0176901
         416     78.7078     79.0549   0.0176674
         417     79.1537     79.0551   0.0176266
         418      78.862     79.0547   0.0175905
         419     79.3254     79.0553   0.0175604
         420     79.2088     79.0557   0.0175224
         421     79.2921     79.0563   0.0174897
         422     78.9719     79.0561   0.0174494
         423     79.3385     79.0567    0.017421
         424     79.2947     79.0573   0.0173889
         425     79.2833     79.0578   0.0173561
         426     78.6604     79.0569   0.0173404
         427     79.6338     79.0582   0.0173524
         428     79.1705     79.0585   0.0173138
         429     78.9478     79.0582   0.0172754
         430     79.2328     79.0586     0.01724
         431     79.4087     79.0595   0.0172191
         432     79.1398     79.0596   0.0171802
         433     79.0431     79.0596   0.0171406
         434     77.9459      79.057   0.0172921
         435     79.2292     79.0574   0.0172569
         436     78.9824     79.0573   0.0172182
         437     78.8588     79.0568   0.0171848
         438     79.3245     79.0574   0.0171564
         439     79.2479     79.0579   0.0171228
         440     78.6862      79.057   0.0171047
         441     79.4954      79.058   0.0170948
         442      79.733     79.0595   0.0171242
         443     79.3248     79.0601    0.017096
         444      79.638     79.0614    0.017107
         445     79.4004     79.0622   0.0170855
         446     79.6992     79.0636   0.0171068
         447     79.5266     79.0647   0.0170998
         448     79.1729     79.0649   0.0170633
         449     79.4789     79.0658   0.0170502
         450     79.0468     79.0658   0.0170124
         451     79.2484     79.0662   0.0169795
         452     79.5677     79.0673   0.0169781
         453      78.814     79.0667   0.0169499
         454     78.8069     79.0662   0.0169222
         455     79.5035     79.0671   0.0169123
         456     79.5665     79.0682   0.0169106
         457     79.2776     79.0687   0.0168798
         458     78.7368     79.0679   0.0168585
         459     79.0623     79.0679   0.0168218
         460     78.6927     79.0671    0.016805
         461     79.1328     79.0673   0.0167691
         462     79.5529     79.0683   0.0167657
         463     78.5938     79.0673   0.0167608
         464     78.5632     79.0662   0.0167599
         465     79.0664     79.0662   0.0167238
         466     79.5296     79.0672   0.0167175
         467     78.7023     79.0664   0.0166999
         468     79.0719     79.0664   0.0166642
         469     79.4234     79.0672   0.0166461
         470     79.1143     79.0673    0.016611
         471      79.065     79.0673   0.0165757
         472     79.0042     79.0672   0.0165411
         473     79.2834     79.0676   0.0165125
         474     79.2456      79.068   0.0164819
         475     79.1415     79.0681   0.0164479
         476     79.3931     79.0688   0.0164276
         477      79.767     79.0703   0.0164582
         478     79.2961     79.0708   0.0164305
         479     78.9884     79.0706   0.0163971
         480     79.2438     79.0709   0.0163669
         481     78.4704     79.0697   0.0163805
         482     78.9882     79.0695   0.0163474
         483     78.7776     79.0689   0.0163247
         484      79.013     79.0688   0.0162914
         485     79.2076     79.0691   0.0162603
         486     79.2912     79.0696   0.0162332
         487     78.7705     79.0689   0.0162115
         488     78.8145     79.0684   0.0161867
         489     79.0128     79.0683    0.016154
         490     79.1121     79.0684   0.0161213
         491     78.3587     79.0669   0.0161531
         492     79.3588     79.0675   0.0161311
         493     78.9794     79.0674   0.0160994
         494     78.2666     79.0657   0.0161482
         495     79.7382     79.0671   0.0161727
         496     79.2202     79.0674    0.016143
         497     79.3726      79.068   0.0161222
         498     78.6635     79.0672   0.0161103
         499     78.9657      79.067   0.0160793
         500     78.8333     79.0665   0.0160539
